epoch (ms),time (05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52613E+12,2018-05-12T16.54.10.950,284.165,0.94,-0.152,0.262
1.52613E+12,2018-05-12T16.54.11.019,284.234,0.934,-0.134,0.232
1.52613E+12,2018-05-12T16.54.11.019,284.234,0.939,-0.096,0.197
1.52613E+12,2018-05-12T16.54.11.019,284.234,0.949,-0.061,0.194
1.52613E+12,2018-05-12T16.54.11.068,284.283,0.974,-0.019,0.218
1.52613E+12,2018-05-12T16.54.11.068,284.283,1.007,0.036,0.235
1.52613E+12,2018-05-12T16.54.11.068,284.283,1.06,0.074,0.217
1.52613E+12,2018-05-12T16.54.11.139,284.354,1.072,0.082,0.195
1.52613E+12,2018-05-12T16.54.11.139,284.354,1.029,0.072,0.221
1.52613E+12,2018-05-12T16.54.11.139,284.354,1.022,0.058,0.264
1.52613E+12,2018-05-12T16.54.11.213,284.428,1.047,0.037,0.294
1.52613E+12,2018-05-12T16.54.11.213,284.428,1.054,0.014,0.286
1.52613E+12,2018-05-12T16.54.11.213,284.428,1.006,-0.026,0.263
1.52613E+12,2018-05-12T16.54.11.267,284.482,0.944,-0.086,0.22
1.52613E+12,2018-05-12T16.54.11.267,284.482,0.897,-0.161,0.194
1.52613E+12,2018-05-12T16.54.11.267,284.482,0.855,-0.238,0.2
1.52613E+12,2018-05-12T16.54.11.314,284.529,0.818,-0.294,0.216
1.52613E+12,2018-05-12T16.54.11.314,284.529,0.77,-0.325,0.218
1.52613E+12,2018-05-12T16.54.11.314,284.529,0.75,-0.347,0.185
1.52613E+12,2018-05-12T16.54.11.426,284.641,0.771,-0.351,0.147
1.52613E+12,2018-05-12T16.54.11.426,284.641,0.816,-0.34,0.084
1.52613E+12,2018-05-12T16.54.11.426,284.641,0.869,-0.278,0.034
1.52613E+12,2018-05-12T16.54.11.508,284.723,0.98,-0.15,-0.044
1.52613E+12,2018-05-12T16.54.11.508,284.723,1.139,0.021,-0.173
1.52613E+12,2018-05-12T16.54.11.508,284.723,1.265,0.223,-0.33
1.52613E+12,2018-05-12T16.54.11.599,284.814,1.291,0.404,-0.415
1.52613E+12,2018-05-12T16.54.11.599,284.814,1.223,0.414,-0.42
1.52613E+12,2018-05-12T16.54.11.599,284.814,1.159,0.215,-0.47
1.52613E+12,2018-05-12T16.54.11.600,284.815,1.153,0.021,-0.488
1.52613E+12,2018-05-12T16.54.11.600,284.815,1.184,-0.025,-0.434
1.52613E+12,2018-05-12T16.54.11.600,284.815,1.156,-0.046,-0.359
