epoch (ms),time (05:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52613E+12,2018-05-12T16.54.10.179,283.428,-18.354,-15.976,-2.683
1.52613E+12,2018-05-12T16.54.10.179,283.428,-15.305,-15.061,-4.451
1.52613E+12,2018-05-12T16.54.10.238,283.487,-12.622,-16.768,-8.11
1.52613E+12,2018-05-12T16.54.10.238,283.487,-11.524,-18.72,-8.902
1.52613E+12,2018-05-12T16.54.10.238,283.487,-15.122,-18.841,-4.634
1.52613E+12,2018-05-12T16.54.10.363,283.612,-22.866,-20.122,1.28
1.52613E+12,2018-05-12T16.54.10.363,283.612,-27.073,-18.963,4.756
1.52613E+12,2018-05-12T16.54.10.363,283.612,-27.073,-16.159,2.805
1.52613E+12,2018-05-12T16.54.10.371,283.62,-26.89,-13.537,0.488
1.52613E+12,2018-05-12T16.54.10.371,283.62,-28.537,-9.634,0.793
1.52613E+12,2018-05-12T16.54.10.371,283.62,-30.793,-7.5,0.305
1.52613E+12,2018-05-12T16.54.10.400,283.649,-32.622,-7.439,-2.683
1.52613E+12,2018-05-12T16.54.10.400,283.649,-36.89,-11.037,-5.061
1.52613E+12,2018-05-12T16.54.10.400,283.649,-44.451,-16.463,-3.659
1.52613E+12,2018-05-12T16.54.10.542,283.791,-50.244,-18.902,0.122
1.52613E+12,2018-05-12T16.54.10.542,283.791,-49.878,-18.415,1.89
1.52613E+12,2018-05-12T16.54.10.542,283.791,-46.402,-19.634,-1.341
1.52613E+12,2018-05-12T16.54.10.547,283.796,-39.024,-16.341,-8.537
1.52613E+12,2018-05-12T16.54.10.547,283.796,-33.78,-16.159,-13.476
1.52613E+12,2018-05-12T16.54.10.547,283.796,-31.646,-20.305,-12.012
1.52613E+12,2018-05-12T16.54.10.571,283.82,-24.634,-24.146,-6.463
1.52613E+12,2018-05-12T16.54.10.571,283.82,-10.793,-22.134,-2.683
1.52613E+12,2018-05-12T16.54.10.571,283.82,-0.61,-18.11,0.976
1.52613E+12,2018-05-12T16.54.10.637,283.886,-0.427,-19.085,9.512
1.52613E+12,2018-05-12T16.54.10.637,283.886,-0.976,-22.988,21.463
1.52613E+12,2018-05-12T16.54.10.637,283.886,1.646,-25.732,31.951
1.52613E+12,2018-05-12T16.54.10.852,284.101,3.049,-29.024,37.317
1.52613E+12,2018-05-12T16.54.10.852,284.101,0.305,-34.451,37.439
1.52613E+12,2018-05-12T16.54.10.852,284.101,-3.232,-35.671,35.549
1.52613E+12,2018-05-12T16.54.10.853,284.102,-2.866,-33.354,34.329
1.52613E+12,2018-05-12T16.54.10.853,284.102,3.049,-30.915,31.159
1.52613E+12,2018-05-12T16.54.10.853,284.102,7.439,-30.366,25.549
1.52613E+12,2018-05-12T16.54.10.854,284.103,5.61,-33.11,20.793
1.52613E+12,2018-05-12T16.54.10.854,284.103,2.866,-33.049,18.902
1.52613E+12,2018-05-12T16.54.10.854,284.103,4.39,-27.622,19.085
1.52613E+12,2018-05-12T16.54.10.929,284.178,6.768,-23.293,19.573
1.52613E+12,2018-05-12T16.54.10.929,284.178,6.098,-23.293,19.634
1.52613E+12,2018-05-12T16.54.10.929,284.178,3.293,-22.561,20.061
1.52613E+12,2018-05-12T16.54.10.941,284.19,0.427,-19.695,19.024
1.52613E+12,2018-05-12T16.54.10.941,284.19,-2.439,-18.537,15.549
1.52613E+12,2018-05-12T16.54.10.941,284.19,-3.476,-14.939,12.134
1.52613E+12,2018-05-12T16.54.11.006,284.255,-2.439,-10.915,6.402
1.52613E+12,2018-05-12T16.54.11.006,284.255,-0.61,-6.585,-0.976
1.52613E+12,2018-05-12T16.54.11.006,284.255,-0.61,-0.854,-4.512
1.52613E+12,2018-05-12T16.54.11.040,284.289,-4.939,-1.951,-4.817
1.52613E+12,2018-05-12T16.54.11.040,284.289,-9.146,-6.646,-2.927
1.52613E+12,2018-05-12T16.54.11.040,284.289,-4.756,-4.146,0.183
1.52613E+12,2018-05-12T16.54.11.107,284.356,6.524,1.951,3.293
1.52613E+12,2018-05-12T16.54.11.107,284.356,13.841,-4.451,5.61
1.52613E+12,2018-05-12T16.54.11.107,284.356,15.549,-12.317,13.476
1.52613E+12,2018-05-12T16.54.11.211,284.46,12.805,-18.415,28.902
1.52613E+12,2018-05-12T16.54.11.211,284.46,15.366,-24.39,39.451
1.52613E+12,2018-05-12T16.54.11.211,284.46,26.28,-28.232,38.293
1.52613E+12,2018-05-12T16.54.11.241,284.49,33.598,-36.341,34.146
1.52613E+12,2018-05-12T16.54.11.241,284.49,29.878,-42.866,36.463
1.52613E+12,2018-05-12T16.54.11.241,284.49,15.366,-46.22,44.573
1.52613E+12,2018-05-12T16.54.11.309,284.558,-1.463,-48.598,50.061
1.52613E+12,2018-05-12T16.54.11.309,284.558,-11.89,-45.305,46.22
1.52613E+12,2018-05-12T16.54.11.309,284.558,-11.524,-29.939,36.28
1.52613E+12,2018-05-12T16.54.11.337,284.586,-16.037,-15.976,29.512
1.52613E+12,2018-05-12T16.54.11.337,284.586,-32.439,-8.049,25
1.52613E+12,2018-05-12T16.54.11.337,284.586,-46.89,-2.805,15.244
1.52613E+12,2018-05-12T16.54.11.429,284.678,-51.098,5.061,0.122
1.52613E+12,2018-05-12T16.54.11.429,284.678,-43.293,19.268,-13.963
1.52613E+12,2018-05-12T16.54.11.429,284.678,-27.988,29.39,-26.341
1.52613E+12,2018-05-12T16.54.11.598,284.847,-13.049,28.72,-33.293
1.52613E+12,2018-05-12T16.54.11.598,284.847,-3.232,13.171,-22.134
1.52613E+12,2018-05-12T16.54.11.598,284.847,14.939,-7.073,8.78
