epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1526022611528,2018-05-11T12:10:11.528,0.000,0.557,-0.351,-0.737
1526022611548,2018-05-11T12:10:11.548,0.020,0.561,-0.352,-0.746
1526022611567,2018-05-11T12:10:11.567,0.039,0.560,-0.352,-0.743
1526022611588,2018-05-11T12:10:11.588,0.060,0.560,-0.353,-0.742
1526022611607,2018-05-11T12:10:11.607,0.079,0.560,-0.352,-0.742
1526022611627,2018-05-11T12:10:11.627,0.099,0.562,-0.352,-0.743
1526022611646,2018-05-11T12:10:11.646,0.118,0.561,-0.353,-0.744
1526022611665,2018-05-11T12:10:11.665,0.137,0.560,-0.353,-0.741
1526022611686,2018-05-11T12:10:11.686,0.158,0.561,-0.353,-0.743
1526022611705,2018-05-11T12:10:11.705,0.177,0.561,-0.354,-0.742
1526022611725,2018-05-11T12:10:11.725,0.197,0.561,-0.352,-0.743
1526022611744,2018-05-11T12:10:11.744,0.216,0.561,-0.353,-0.743
1526022611765,2018-05-11T12:10:11.765,0.237,0.562,-0.354,-0.741
1526022611784,2018-05-11T12:10:11.784,0.256,0.560,-0.353,-0.742
1526022611804,2018-05-11T12:10:11.804,0.276,0.561,-0.354,-0.744
1526022611823,2018-05-11T12:10:11.823,0.295,0.561,-0.354,-0.743
1526022611844,2018-05-11T12:10:11.844,0.316,0.560,-0.354,-0.744
1526022611863,2018-05-11T12:10:11.863,0.335,0.562,-0.354,-0.743
1526022611882,2018-05-11T12:10:11.882,0.354,0.560,-0.354,-0.743
1526022611903,2018-05-11T12:10:11.903,0.375,0.562,-0.354,-0.743
1526022611922,2018-05-11T12:10:11.922,0.394,0.560,-0.354,-0.743
1526022611942,2018-05-11T12:10:11.942,0.414,0.561,-0.352,-0.743
1526022611961,2018-05-11T12:10:11.961,0.433,0.562,-0.353,-0.743
1526022611982,2018-05-11T12:10:11.982,0.454,0.561,-0.353,-0.744
1526022612001,2018-05-11T12:10:12.001,0.473,0.562,-0.353,-0.741
1526022612021,2018-05-11T12:10:12.021,0.493,0.561,-0.354,-0.743
1526022612040,2018-05-11T12:10:12.040,0.512,0.560,-0.353,-0.743
1526022612061,2018-05-11T12:10:12.061,0.533,0.562,-0.353,-0.742
1526022612080,2018-05-11T12:10:12.080,0.552,0.562,-0.352,-0.743
1526022612099,2018-05-11T12:10:12.099,0.571,0.561,-0.354,-0.743
1526022612119,2018-05-11T12:10:12.119,0.591,0.562,-0.353,-0.743
1526022612138,2018-05-11T12:10:12.138,0.610,0.561,-0.353,-0.742
1526022612159,2018-05-11T12:10:12.159,0.631,0.562,-0.354,-0.743
1526022612178,2018-05-11T12:10:12.178,0.650,0.561,-0.352,-0.743
1526022612198,2018-05-11T12:10:12.198,0.670,0.560,-0.354,-0.744
1526022612217,2018-05-11T12:10:12.217,0.689,0.561,-0.353,-0.744
1526022612238,2018-05-11T12:10:12.238,0.710,0.560,-0.353,-0.742
1526022612257,2018-05-11T12:10:12.257,0.729,0.561,-0.352,-0.743
1526022612278,2018-05-11T12:10:12.278,0.750,0.562,-0.353,-0.740
1526022612297,2018-05-11T12:10:12.297,0.769,0.561,-0.354,-0.742
1526022612316,2018-05-11T12:10:12.316,0.788,0.561,-0.353,-0.742
1526022612336,2018-05-11T12:10:12.336,0.808,0.560,-0.352,-0.741
1526022612355,2018-05-11T12:10:12.355,0.827,0.561,-0.352,-0.744
1526022612376,2018-05-11T12:10:12.376,0.848,0.562,-0.353,-0.742
1526022612395,2018-05-11T12:10:12.395,0.867,0.561,-0.354,-0.743
1526022612415,2018-05-11T12:10:12.415,0.887,0.561,-0.353,-0.742
1526022612434,2018-05-11T12:10:12.434,0.906,0.562,-0.353,-0.743
1526022612455,2018-05-11T12:10:12.455,0.927,0.562,-0.353,-0.743
1526022612474,2018-05-11T12:10:12.474,0.946,0.561,-0.352,-0.741
1526022612494,2018-05-11T12:10:12.494,0.966,0.560,-0.353,-0.742
1526022612513,2018-05-11T12:10:12.513,0.985,0.562,-0.353,-0.743
1526022612532,2018-05-11T12:10:12.532,1.004,0.560,-0.352,-0.740
1526022612553,2018-05-11T12:10:12.553,1.025,0.559,-0.352,-0.741
1526022612572,2018-05-11T12:10:12.572,1.044,0.561,-0.350,-0.743
1526022612592,2018-05-11T12:10:12.592,1.064,0.561,-0.352,-0.744
1526022612612,2018-05-11T12:10:12.612,1.084,0.562,-0.353,-0.741
1526022612632,2018-05-11T12:10:12.632,1.104,0.562,-0.353,-0.743
1526022612651,2018-05-11T12:10:12.651,1.123,0.561,-0.352,-0.742
1526022612672,2018-05-11T12:10:12.672,1.144,0.561,-0.351,-0.740
1526022612691,2018-05-11T12:10:12.691,1.163,0.562,-0.352,-0.742
1526022612711,2018-05-11T12:10:12.711,1.183,0.562,-0.353,-0.743
1526022612730,2018-05-11T12:10:12.730,1.202,0.562,-0.354,-0.744
1526022612751,2018-05-11T12:10:12.751,1.223,0.561,-0.353,-0.743
1526022612770,2018-05-11T12:10:12.770,1.242,0.561,-0.351,-0.743
1526022612789,2018-05-11T12:10:12.789,1.261,0.561,-0.353,-0.744
1526022612809,2018-05-11T12:10:12.809,1.281,0.561,-0.353,-0.742
1526022612828,2018-05-11T12:10:12.828,1.300,0.563,-0.349,-0.743
1526022612849,2018-05-11T12:10:12.849,1.321,0.571,-0.333,-0.747
1526022612868,2018-05-11T12:10:12.868,1.340,0.568,-0.338,-0.745
1526022612888,2018-05-11T12:10:12.888,1.360,0.552,-0.370,-0.741
1526022612907,2018-05-11T12:10:12.907,1.379,0.548,-0.375,-0.741
1526022612928,2018-05-11T12:10:12.928,1.400,0.548,-0.377,-0.740
1526022612947,2018-05-11T12:10:12.947,1.419,0.548,-0.378,-0.738
1526022612967,2018-05-11T12:10:12.967,1.439,0.547,-0.381,-0.738
1526022612987,2018-05-11T12:10:12.987,1.459,0.547,-0.381,-0.737
1526022613006,2018-05-11T12:10:13.006,1.478,0.549,-0.380,-0.737
1526022613026,2018-05-11T12:10:13.026,1.498,0.551,-0.376,-0.738
1526022613045,2018-05-11T12:10:13.045,1.517,0.554,-0.372,-0.737
1526022613066,2018-05-11T12:10:13.066,1.538,0.554,-0.369,-0.740
1526022613085,2018-05-11T12:10:13.085,1.557,0.557,-0.366,-0.740
1526022613105,2018-05-11T12:10:13.105,1.577,0.559,-0.361,-0.739
1526022613124,2018-05-11T12:10:13.124,1.596,0.560,-0.358,-0.741
1526022613145,2018-05-11T12:10:13.145,1.617,0.562,-0.355,-0.741
1526022613164,2018-05-11T12:10:13.164,1.636,0.565,-0.348,-0.743
1526022613184,2018-05-11T12:10:13.184,1.656,0.570,-0.335,-0.747
1526022613203,2018-05-11T12:10:13.203,1.675,0.568,-0.337,-0.747
1526022613222,2018-05-11T12:10:13.222,1.694,0.562,-0.353,-0.744
1526022613243,2018-05-11T12:10:13.243,1.715,0.557,-0.354,-0.741
1526022613262,2018-05-11T12:10:13.262,1.734,0.557,-0.357,-0.741
1526022613282,2018-05-11T12:10:13.282,1.754,0.557,-0.359,-0.742
1526022613301,2018-05-11T12:10:13.301,1.773,0.557,-0.360,-0.744
1526022613322,2018-05-11T12:10:13.322,1.794,0.558,-0.360,-0.740
1526022613341,2018-05-11T12:10:13.341,1.813,0.559,-0.359,-0.740
1526022613362,2018-05-11T12:10:13.362,1.834,0.561,-0.359,-0.741
1526022613381,2018-05-11T12:10:13.381,1.853,0.560,-0.356,-0.740
1526022613401,2018-05-11T12:10:13.401,1.873,0.563,-0.354,-0.741
1526022613420,2018-05-11T12:10:13.420,1.892,0.561,-0.353,-0.741
1526022613439,2018-05-11T12:10:13.439,1.911,0.562,-0.350,-0.743
1526022613460,2018-05-11T12:10:13.460,1.932,0.564,-0.347,-0.745
1526022613479,2018-05-11T12:10:13.479,1.951,0.563,-0.349,-0.745
1526022613499,2018-05-11T12:10:13.499,1.971,0.561,-0.352,-0.742
1526022613518,2018-05-11T12:10:13.518,1.990,0.559,-0.354,-0.742
1526022613539,2018-05-11T12:10:13.539,2.011,0.560,-0.356,-0.742
1526022613558,2018-05-11T12:10:13.558,2.030,0.558,-0.354,-0.743
1526022613578,2018-05-11T12:10:13.578,2.050,0.560,-0.355,-0.743
1526022613597,2018-05-11T12:10:13.597,2.069,0.561,-0.356,-0.741
1526022613618,2018-05-11T12:10:13.618,2.090,0.559,-0.355,-0.742
1526022613637,2018-05-11T12:10:13.637,2.109,0.564,-0.354,-0.740
1526022613657,2018-05-11T12:10:13.657,2.129,0.576,-0.361,-0.729
1526022613676,2018-05-11T12:10:13.676,2.148,0.582,-0.362,-0.728
1526022613696,2018-05-11T12:10:13.696,2.168,0.569,-0.353,-0.740
1526022613716,2018-05-11T12:10:13.716,2.188,0.559,-0.335,-0.752
1526022613735,2018-05-11T12:10:13.735,2.207,0.575,-0.313,-0.764
1526022613756,2018-05-11T12:10:13.756,2.228,0.555,-0.280,-0.789
1526022613775,2018-05-11T12:10:13.775,2.247,0.552,-0.306,-0.790
1526022613795,2018-05-11T12:10:13.795,2.267,0.503,-0.477,-0.730
1526022613814,2018-05-11T12:10:13.814,2.286,0.518,-0.433,-0.760
1526022613835,2018-05-11T12:10:13.835,2.307,0.433,-0.358,-0.827
1526022613854,2018-05-11T12:10:13.854,2.326,0.440,-0.363,-0.829
1526022613874,2018-05-11T12:10:13.874,2.346,0.495,-0.237,-0.859
1526022613893,2018-05-11T12:10:13.893,2.365,0.490,-0.318,-0.924
1526022613912,2018-05-11T12:10:13.912,2.384,0.682,-0.484,-1.022
1526022613933,2018-05-11T12:10:13.933,2.405,0.755,-0.408,-0.992
1526022613952,2018-05-11T12:10:13.952,2.424,0.649,-0.425,-0.952
1526022613972,2018-05-11T12:10:13.972,2.444,0.630,-0.444,-0.874
1526022613991,2018-05-11T12:10:13.991,2.463,0.660,-0.453,-0.759
1526022614012,2018-05-11T12:10:14.012,2.484,0.664,-0.478,-0.633
1526022614031,2018-05-11T12:10:14.031,2.503,0.641,-0.527,-0.526
1526022614051,2018-05-11T12:10:14.051,2.523,0.587,-0.544,-0.461
1526022614071,2018-05-11T12:10:14.071,2.543,0.552,-0.479,-0.490
1526022614091,2018-05-11T12:10:14.091,2.563,0.563,-0.428,-0.564
1526022614110,2018-05-11T12:10:14.110,2.582,0.615,-0.431,-0.612
1526022614129,2018-05-11T12:10:14.129,2.601,0.671,-0.491,-0.603
1526022614150,2018-05-11T12:10:14.150,2.622,0.728,-0.552,-0.583
1526022614169,2018-05-11T12:10:14.169,2.641,0.770,-0.578,-0.582
