epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1526022611508,2018-05-11T12:10:11.508,0.000,0.061,0.549,0.427
1526022611528,2018-05-11T12:10:11.528,0.020,0.549,0.122,0.854
1526022611548,2018-05-11T12:10:11.548,0.040,-0.122,0.244,0.488
1526022611567,2018-05-11T12:10:11.567,0.059,-0.183,0.366,0.488
1526022611588,2018-05-11T12:10:11.588,0.080,-0.122,0.366,0.549
1526022611607,2018-05-11T12:10:11.607,0.099,-0.122,0.366,0.549
1526022611627,2018-05-11T12:10:11.627,0.119,-0.183,0.366,0.549
1526022611646,2018-05-11T12:10:11.646,0.138,-0.122,0.427,0.549
1526022611665,2018-05-11T12:10:11.665,0.157,-0.183,0.366,0.488
1526022611686,2018-05-11T12:10:11.686,0.178,-0.183,0.305,0.488
1526022611705,2018-05-11T12:10:11.705,0.197,-0.183,0.244,0.488
1526022611725,2018-05-11T12:10:11.725,0.217,-0.183,0.305,0.549
1526022611744,2018-05-11T12:10:11.744,0.236,-0.183,0.305,0.488
1526022611765,2018-05-11T12:10:11.765,0.257,-0.183,0.366,0.488
1526022611784,2018-05-11T12:10:11.784,0.276,-0.122,0.305,0.549
1526022611804,2018-05-11T12:10:11.804,0.296,-0.183,0.366,0.549
1526022611823,2018-05-11T12:10:11.823,0.315,-0.183,0.305,0.549
1526022611844,2018-05-11T12:10:11.844,0.336,-0.122,0.366,0.549
1526022611863,2018-05-11T12:10:11.863,0.355,-0.122,0.366,0.488
1526022611882,2018-05-11T12:10:11.882,0.374,-0.183,0.244,0.488
1526022611903,2018-05-11T12:10:11.903,0.395,-0.244,0.305,0.488
1526022611922,2018-05-11T12:10:11.922,0.414,-0.183,0.366,0.549
1526022611942,2018-05-11T12:10:11.942,0.434,-0.183,0.305,0.549
1526022611961,2018-05-11T12:10:11.961,0.453,-0.122,0.427,0.549
1526022611982,2018-05-11T12:10:11.982,0.474,-0.183,0.366,0.488
1526022612001,2018-05-11T12:10:12.001,0.493,-0.183,0.427,0.488
1526022612021,2018-05-11T12:10:12.021,0.513,-0.244,0.366,0.549
1526022612040,2018-05-11T12:10:12.040,0.532,-0.122,0.305,0.488
1526022612061,2018-05-11T12:10:12.061,0.553,-0.183,0.305,0.488
1526022612080,2018-05-11T12:10:12.080,0.572,-0.122,0.305,0.427
1526022612099,2018-05-11T12:10:12.099,0.591,-0.122,0.305,0.427
1526022612119,2018-05-11T12:10:12.119,0.611,-0.183,0.305,0.549
1526022612138,2018-05-11T12:10:12.138,0.630,-0.244,0.366,0.488
1526022612159,2018-05-11T12:10:12.159,0.651,-0.244,0.366,0.488
1526022612178,2018-05-11T12:10:12.178,0.670,-0.122,0.305,0.488
1526022612198,2018-05-11T12:10:12.198,0.690,-0.122,0.366,0.610
1526022612217,2018-05-11T12:10:12.217,0.709,-0.183,0.305,0.549
1526022612238,2018-05-11T12:10:12.238,0.730,-0.183,0.366,0.488
1526022612257,2018-05-11T12:10:12.257,0.749,-0.122,0.305,0.488
1526022612278,2018-05-11T12:10:12.278,0.770,-0.183,0.366,0.488
1526022612297,2018-05-11T12:10:12.297,0.789,-0.183,0.366,0.488
1526022612316,2018-05-11T12:10:12.316,0.808,-0.122,0.366,0.488
1526022612336,2018-05-11T12:10:12.336,0.828,-0.122,0.366,0.488
1526022612355,2018-05-11T12:10:12.355,0.847,-0.122,0.305,0.549
1526022612376,2018-05-11T12:10:12.376,0.868,-0.061,0.366,0.488
1526022612395,2018-05-11T12:10:12.395,0.887,-0.183,0.305,0.549
1526022612415,2018-05-11T12:10:12.415,0.907,-0.122,0.366,0.488
1526022612434,2018-05-11T12:10:12.434,0.926,-0.061,0.366,0.488
1526022612455,2018-05-11T12:10:12.455,0.947,-0.122,0.305,0.488
1526022612474,2018-05-11T12:10:12.474,0.966,-0.183,0.305,0.549
1526022612494,2018-05-11T12:10:12.494,0.986,-0.183,0.305,0.549
1526022612513,2018-05-11T12:10:12.513,1.005,-0.183,0.305,0.549
1526022612534,2018-05-11T12:10:12.534,1.026,-0.244,0.305,0.427
1526022612553,2018-05-11T12:10:12.553,1.045,-0.122,0.366,0.488
1526022612572,2018-05-11T12:10:12.572,1.064,-0.183,0.366,0.488
1526022612592,2018-05-11T12:10:12.592,1.084,-0.183,0.427,0.488
1526022612612,2018-05-11T12:10:12.612,1.104,-0.122,0.366,0.488
1526022612632,2018-05-11T12:10:12.632,1.124,-0.061,0.366,0.488
1526022612651,2018-05-11T12:10:12.651,1.143,-0.122,0.305,0.610
1526022612672,2018-05-11T12:10:12.672,1.164,-0.061,0.305,0.549
1526022612691,2018-05-11T12:10:12.691,1.183,-0.122,0.305,0.488
1526022612711,2018-05-11T12:10:12.711,1.203,-0.183,0.366,0.488
1526022612730,2018-05-11T12:10:12.730,1.222,-0.183,0.366,0.488
