epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1526022611444,2018-05-11T12:10:11.444,0.000,-0.000011312,0.000008375,0.000055687
1526022611485,2018-05-11T12:10:11.485,0.041,-0.000010937,0.000007313,0.000055687
1526022611525,2018-05-11T12:10:11.525,0.081,-0.000010563,0.000007688,0.000055687
1526022611566,2018-05-11T12:10:11.566,0.122,-0.000009500,0.000007688,0.000056875
1526022611605,2018-05-11T12:10:11.605,0.161,-0.000010563,0.000008000,0.000056563
1526022611646,2018-05-11T12:10:11.646,0.202,-0.000010188,0.000008375,0.000055312
1526022611687,2018-05-11T12:10:11.687,0.243,-0.000010188,0.000007688,0.000055312
1526022611727,2018-05-11T12:10:11.727,0.283,-0.000009875,0.000008000,0.000056125
1526022611768,2018-05-11T12:10:11.768,0.324,-0.000009500,0.000008000,0.000056125
1526022611809,2018-05-11T12:10:11.809,0.365,-0.000009875,0.000007688,0.000055750
1526022611848,2018-05-11T12:10:11.848,0.404,-0.000010937,0.000007313,0.000054500
1526022611889,2018-05-11T12:10:11.889,0.445,-0.000010937,0.000007313,0.000055312
1526022611930,2018-05-11T12:10:11.930,0.486,-0.000011687,0.000008000,0.000055312
1526022611970,2018-05-11T12:10:11.970,0.526,-0.000010937,0.000007313,0.000055312
1526022612011,2018-05-11T12:10:12.011,0.567,-0.000010188,0.000007313,0.000055687
1526022612052,2018-05-11T12:10:12.052,0.608,-0.000011687,0.000007688,0.000055312
1526022612092,2018-05-11T12:10:12.092,0.648,-0.000010563,0.000007688,0.000056125
1526022612133,2018-05-11T12:10:12.133,0.689,-0.000010937,0.000007313,0.000055375
1526022612174,2018-05-11T12:10:12.174,0.730,-0.000010188,0.000006562,0.000054937
1526022612213,2018-05-11T12:10:12.213,0.769,-0.000011312,0.000007688,0.000055750
1526022612254,2018-05-11T12:10:12.254,0.810,-0.000010937,0.000007313,0.000054563
1526022612295,2018-05-11T12:10:12.295,0.851,-0.000009500,0.000007688,0.000056125
1526022612335,2018-05-11T12:10:12.335,0.891,-0.000010188,0.000007313,0.000056125
1526022612376,2018-05-11T12:10:12.376,0.932,-0.000010188,0.000007313,0.000057375
1526022612417,2018-05-11T12:10:12.417,0.973,-0.000009875,0.000006938,0.000055750
1526022612456,2018-05-11T12:10:12.456,1.012,-0.000010563,0.000007313,0.000055312
1526022612497,2018-05-11T12:10:12.497,1.053,-0.000010937,0.000007313,0.000056125
1526022612537,2018-05-11T12:10:12.537,1.093,-0.000010563,0.000006938,0.000055750
1526022612578,2018-05-11T12:10:12.578,1.134,-0.000010937,0.000007313,0.000056187
1526022612619,2018-05-11T12:10:12.619,1.175,-0.000009500,0.000008000,0.000055312
1526022612658,2018-05-11T12:10:12.658,1.214,-0.000010188,0.000007688,0.000054563
1526022612699,2018-05-11T12:10:12.699,1.255,-0.000010188,0.000008375,0.000055000
1526022612740,2018-05-11T12:10:12.740,1.296,-0.000009500,0.000006562,0.000055750
1526022612780,2018-05-11T12:10:12.780,1.336,-0.000010188,0.000006938,0.000054937
1526022612821,2018-05-11T12:10:12.821,1.377,-0.000010188,0.000006938,0.000056563
1526022612862,2018-05-11T12:10:12.862,1.418,-0.000010937,0.000006187,0.000054563
1526022612902,2018-05-11T12:10:12.902,1.458,-0.000009875,0.000008000,0.000055312
1526022612943,2018-05-11T12:10:12.943,1.499,-0.000010188,0.000008375,0.000055000
1526022612984,2018-05-11T12:10:12.984,1.540,-0.000009875,0.000007313,0.000056125
1526022613023,2018-05-11T12:10:13.023,1.579,-0.000010188,0.000007313,0.000055375
1526022613064,2018-05-11T12:10:13.064,1.620,-0.000009500,0.000006938,0.000055750
1526022613105,2018-05-11T12:10:13.105,1.661,-0.000010937,0.000006938,0.000054937
1526022613145,2018-05-11T12:10:13.145,1.701,-0.000010937,0.000006938,0.000054937
1526022613186,2018-05-11T12:10:13.186,1.742,-0.000010937,0.000007688,0.000056187
1526022613227,2018-05-11T12:10:13.227,1.783,-0.000010188,0.000007313,0.000055750
1526022613266,2018-05-11T12:10:13.266,1.822,-0.000010188,0.000007688,0.000056938
1526022613307,2018-05-11T12:10:13.307,1.863,-0.000009875,0.000008750,0.000055750
1526022613348,2018-05-11T12:10:13.348,1.904,-0.000009875,0.000007313,0.000055312
1526022613388,2018-05-11T12:10:13.388,1.944,-0.000010188,0.000007313,0.000056125
1526022613429,2018-05-11T12:10:13.429,1.985,-0.000010563,0.000008375,0.000055312
1526022613468,2018-05-11T12:10:13.468,2.024,-0.000010937,0.000006562,0.000056563
1526022613509,2018-05-11T12:10:13.509,2.065,-0.000011312,0.000007313,0.000055375
1526022613550,2018-05-11T12:10:13.550,2.106,-0.000011687,0.000006938,0.000054937
1526022613590,2018-05-11T12:10:13.590,2.146,-0.000011312,0.000007313,0.000054937
1526022613631,2018-05-11T12:10:13.631,2.187,-0.000010563,0.000007313,0.000056938
1526022613672,2018-05-11T12:10:13.672,2.228,-0.000010188,0.000008375,0.000055750
1526022613712,2018-05-11T12:10:13.712,2.268,-0.000009875,0.000006562,0.000054500
1526022613753,2018-05-11T12:10:13.753,2.309,-0.000010188,0.000006562,0.000055312
1526022613794,2018-05-11T12:10:13.794,2.350,-0.000007313,0.000006187,0.000053750
1526022613833,2018-05-11T12:10:13.833,2.389,-0.000004750,0.000005875,0.000053750
1526022613874,2018-05-11T12:10:13.874,2.430,-0.000002938,0.000005500,0.000051750
1526022613915,2018-05-11T12:10:13.915,2.471,-0.000000750,0.000002938,0.000051000
1526022613955,2018-05-11T12:10:13.955,2.511,-0.000001125,0.000001125,0.000050937
1526022613996,2018-05-11T12:10:13.996,2.552,-0.000002562,-0.000000688,0.000051750
1526022614037,2018-05-11T12:10:14.037,2.593,-0.000004375,-0.000001813,0.000051750
1526022614076,2018-05-11T12:10:14.076,2.632,-0.000005500,-0.000000312,0.000053750
