epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1526031778629,2018-05-11T14:42:58.629,0.000,-0.732,0.106,0.840
1526031778648,2018-05-11T14:42:58.648,0.019,-0.589,0.102,0.806
1526031778668,2018-05-11T14:42:58.668,0.039,-0.552,0.034,0.672
1526031778687,2018-05-11T14:42:58.687,0.058,-0.521,0.066,0.660
1526031778708,2018-05-11T14:42:58.708,0.079,-0.441,0.186,0.751
1526031778727,2018-05-11T14:42:58.727,0.098,-0.373,0.353,0.757
1526031778747,2018-05-11T14:42:58.747,0.118,-0.350,0.430,0.672
1526031778766,2018-05-11T14:42:58.766,0.137,-0.299,0.417,0.703
1526031778787,2018-05-11T14:42:58.787,0.158,-0.284,0.438,0.811
1526031778806,2018-05-11T14:42:58.806,0.177,-0.291,0.374,0.901
1526031778825,2018-05-11T14:42:58.825,0.196,-0.314,0.382,0.876
1526031778846,2018-05-11T14:42:58.846,0.217,-0.337,0.260,0.860
1526031778865,2018-05-11T14:42:58.865,0.236,-0.345,0.184,1.052
1526031778885,2018-05-11T14:42:58.885,0.256,-0.426,0.156,1.236
1526031778904,2018-05-11T14:42:58.904,0.275,-0.588,0.025,1.290
1526031778925,2018-05-11T14:42:58.925,0.296,-0.733,-0.040,1.358
1526031778944,2018-05-11T14:42:58.944,0.315,-0.774,-0.110,1.376
1526031778964,2018-05-11T14:42:58.964,0.335,-0.866,-0.272,1.329
1526031778983,2018-05-11T14:42:58.983,0.354,-0.941,-0.371,1.208
1526031779004,2018-05-11T14:42:59.004,0.375,-0.889,-0.424,1.189
1526031779023,2018-05-11T14:42:59.023,0.394,-0.938,-0.511,1.153
1526031779043,2018-05-11T14:42:59.043,0.414,-1.112,-0.633,1.037
1526031779062,2018-05-11T14:42:59.062,0.433,-1.242,-0.630,0.765
1526031779081,2018-05-11T14:42:59.081,0.452,-1.267,-0.535,0.591
1526031779102,2018-05-11T14:42:59.102,0.473,-1.104,-0.604,0.625
1526031779121,2018-05-11T14:42:59.121,0.492,-0.860,-0.631,0.648
1526031779141,2018-05-11T14:42:59.141,0.512,-0.694,-0.423,0.563
