epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1526031778608,2018-05-11T14:42:58.608,0.000,-36.220,-41.280,26.037
1526031778629,2018-05-11T14:42:58.629,0.021,-31.585,-35.610,26.402
1526031778648,2018-05-11T14:42:58.648,0.040,-8.720,9.756,48.354
1526031778668,2018-05-11T14:42:58.668,0.060,-4.268,37.805,98.720
1526031778687,2018-05-11T14:42:58.687,0.079,-25.976,-3.110,130.793
1526031778708,2018-05-11T14:42:58.708,0.100,-62.744,-25.915,144.695
1526031778727,2018-05-11T14:42:58.727,0.119,-91.646,7.805,144.878
1526031778747,2018-05-11T14:42:58.747,0.139,-73.171,42.500,136.585
1526031778766,2018-05-11T14:42:58.766,0.158,-12.683,76.402,111.951
1526031778787,2018-05-11T14:42:58.787,0.179,65.854,111.951,74.512
1526031778806,2018-05-11T14:42:58.806,0.198,76.829,84.207,21.098
1526031778826,2018-05-11T14:42:58.826,0.218,19.268,13.598,-36.951
1526031778846,2018-05-11T14:42:58.846,0.238,-15.122,-41.890,-86.646
1526031778865,2018-05-11T14:42:58.865,0.257,0.000,-61.890,-119.146
1526031778885,2018-05-11T14:42:58.885,0.277,35.915,-38.537,-139.207
1526031778904,2018-05-11T14:42:58.904,0.296,67.744,2.195,-127.012
1526031778925,2018-05-11T14:42:58.925,0.317,79.878,8.598,-84.756
1526031778944,2018-05-11T14:42:58.944,0.336,65.610,-23.476,-64.329
1526031778964,2018-05-11T14:42:58.964,0.356,51.159,-54.085,-71.707
1526031778983,2018-05-11T14:42:58.983,0.375,54.695,-47.988,-78.841
1526031779004,2018-05-11T14:42:59.004,0.396,79.695,-25.122,-97.317
1526031779023,2018-05-11T14:42:59.023,0.415,113.598,9.329,-129.512
1526031779043,2018-05-11T14:42:59.043,0.435,141.402,43.841,-155.610
1526031779062,2018-05-11T14:42:59.062,0.454,118.171,63.659,-171.951
1526031779081,2018-05-11T14:42:59.081,0.473,66.220,72.195,-174.268
1526031779102,2018-05-11T14:42:59.102,0.494,29.878,88.780,-147.744
1526031779121,2018-05-11T14:42:59.121,0.513,7.927,80.610,-103.537
1526031779141,2018-05-11T14:42:59.141,0.533,-6.220,32.622,-80.671
1526031779160,2018-05-11T14:42:59.160,0.552,23.476,-29.878,-81.463
1526031779181,2018-05-11T14:42:59.181,0.573,62.805,-73.232,-98.963
1526031779200,2018-05-11T14:42:59.200,0.592,83.963,-96.646,-121.768
1526031779221,2018-05-11T14:42:59.221,0.613,92.561,-106.890,-145.244
1526031779240,2018-05-11T14:42:59.240,0.632,87.317,-115.976,-174.329
1526031779260,2018-05-11T14:42:59.260,0.652,68.476,-132.561,-193.476
1526031779279,2018-05-11T14:42:59.279,0.671,52.500,-113.537,-173.049
1526031779298,2018-05-11T14:42:59.298,0.690,19.817,-137.317,-92.439
1526031779319,2018-05-11T14:42:59.319,0.711,19.329,-168.720,-65.549
1526031779338,2018-05-11T14:42:59.338,0.730,117.012,-106.341,-159.634
1526031779358,2018-05-11T14:42:59.358,0.750,64.329,-69.573,-65.976
1526031779377,2018-05-11T14:42:59.377,0.769,-9.390,-101.768,-103.354
1526031779398,2018-05-11T14:42:59.398,0.790,-80.610,-41.707,-182.683
1526031779417,2018-05-11T14:42:59.417,0.809,-74.268,-7.012,-220.183
1526031779437,2018-05-11T14:42:59.437,0.829,-23.171,-40.305,-222.012
1526031779456,2018-05-11T14:42:59.456,0.848,18.537,-17.378,-200.427
1526031779477,2018-05-11T14:42:59.477,0.869,60.427,-34.756,-159.085
1526031779496,2018-05-11T14:42:59.496,0.888,93.780,-75.305,-106.951
1526031779515,2018-05-11T14:42:59.515,0.907,91.402,-84.085,-89.573
1526031779535,2018-05-11T14:42:59.535,0.927,49.939,-48.537,-97.622
1526031779554,2018-05-11T14:42:59.554,0.946,28.780,-25.915,-84.024
1526031779575,2018-05-11T14:42:59.575,0.967,34.695,-31.159,-57.561
1526031779594,2018-05-11T14:42:59.594,0.986,38.354,-11.280,-27.500
1526031779615,2018-05-11T14:42:59.615,1.007,37.683,7.317,2.866
1526031779634,2018-05-11T14:42:59.634,1.026,46.768,1.341,10.610
1526031779654,2018-05-11T14:42:59.654,1.046,69.024,-14.573,17.134
1526031779673,2018-05-11T14:42:59.673,1.065,78.598,-22.561,25.854
1526031779694,2018-05-11T14:42:59.694,1.086,76.829,-27.561,36.220
1526031779713,2018-05-11T14:42:59.713,1.105,79.024,-36.768,44.024
1526031779732,2018-05-11T14:42:59.732,1.124,69.634,-31.402,36.463
1526031779752,2018-05-11T14:42:59.752,1.144,63.415,-10.976,36.707
1526031779771,2018-05-11T14:42:59.771,1.163,66.037,-8.293,51.098
1526031779792,2018-05-11T14:42:59.792,1.184,51.524,-27.561,32.195
1526031779811,2018-05-11T14:42:59.811,1.203,11.585,-60.915,-21.402
1526031779831,2018-05-11T14:42:59.831,1.223,-21.524,-78.720,-36.402
1526031779850,2018-05-11T14:42:59.850,1.242,-33.415,-67.317,-23.537
1526031779871,2018-05-11T14:42:59.871,1.263,-41.768,-62.439,-24.756
1526031779890,2018-05-11T14:42:59.890,1.282,-47.317,-71.220,-27.439
1526031779910,2018-05-11T14:42:59.910,1.302,-40.061,-75.671,-40.915
1526031779929,2018-05-11T14:42:59.929,1.321,-26.585,-84.146,-57.256
1526031779949,2018-05-11T14:42:59.949,1.341,-25.976,-108.841,-48.537
1526031779969,2018-05-11T14:42:59.969,1.361,-33.354,-120.732,-35.183
1526031779988,2018-05-11T14:42:59.988,1.380,-28.476,-105.122,-28.598
1526031780009,2018-05-11T14:43:00.009,1.401,-25.427,-98.780,-17.988
1526031780028,2018-05-11T14:43:00.028,1.420,-20.183,-102.012,-26.646
1526031780048,2018-05-11T14:43:00.048,1.440,-20.976,-87.378,-42.805
1526031780067,2018-05-11T14:43:00.067,1.459,-26.768,-74.817,-34.390
1526031780088,2018-05-11T14:43:00.088,1.480,-35.427,-78.171,-30.488
