epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1526031778443,2018-05-11T14:42:58.443,0.000,0.000034063,-0.000021750,0.000002313
1526031778482,2018-05-11T14:42:58.482,0.039,0.000033000,-0.000023562,-0.000002313
1526031778523,2018-05-11T14:42:58.523,0.080,0.000031937,-0.000022500,-0.000005500
1526031778564,2018-05-11T14:42:58.564,0.121,0.000030125,-0.000023938,-0.000008687
1526031778604,2018-05-11T14:42:58.604,0.161,0.000028312,-0.000023938,-0.000012188
1526031778645,2018-05-11T14:42:58.645,0.202,0.000029000,-0.000024625,-0.000012625
1526031778686,2018-05-11T14:42:58.686,0.243,0.000027187,-0.000026500,-0.000012625
1526031778725,2018-05-11T14:42:58.725,0.282,0.000024625,-0.000028312,-0.000015375
1526031778766,2018-05-11T14:42:58.766,0.323,0.000024312,-0.000031563,-0.000014187
1526031778807,2018-05-11T14:42:58.807,0.364,0.000025375,-0.000033375,-0.000011000
1526031778847,2018-05-11T14:42:58.847,0.404,0.000027187,-0.000033000,-0.000013000
1526031778888,2018-05-11T14:42:58.888,0.445,0.000030438,-0.000030813,-0.000013812
1526031778929,2018-05-11T14:42:58.929,0.486,0.000030813,-0.000031563,-0.000014562
1526031778969,2018-05-11T14:42:58.969,0.526,0.000029000,-0.000029750,-0.000015000
1526031779010,2018-05-11T14:42:59.010,0.567,0.000027563,-0.000026813,-0.000013812
1526031779051,2018-05-11T14:42:59.051,0.608,0.000030125,-0.000024625,-0.000009062
1526031779090,2018-05-11T14:42:59.090,0.647,0.000031937,-0.000018875,-0.000004688
1526031779131,2018-05-11T14:42:59.131,0.688,0.000033375,-0.000015188,-0.000000750
1526031779172,2018-05-11T14:42:59.172,0.729,0.000032625,-0.000012688,-0.000001125
1526031779212,2018-05-11T14:42:59.212,0.769,0.000031937,-0.000009438,-0.000003937
1526031779253,2018-05-11T14:42:59.253,0.810,0.000031937,-0.000005438,-0.000007875
1526031779294,2018-05-11T14:42:59.294,0.851,0.000030438,-0.000001438,-0.000010625
1526031779333,2018-05-11T14:42:59.333,0.890,0.000028625,0.000001125,-0.000014187
1526031779374,2018-05-11T14:42:59.374,0.931,0.000027187,0.000002188,-0.000016563
1526031779414,2018-05-11T14:42:59.414,0.971,0.000025750,0.000008750,-0.000016187
1526031779455,2018-05-11T14:42:59.455,1.012,0.000022813,0.000014562,-0.000017313
1526031779496,2018-05-11T14:42:59.496,1.053,0.000021000,0.000014562,-0.000019688
