epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1526023081837,2018-05-11T12:18:01.837,0.000,-0.802,0.156,-0.652
1526023081857,2018-05-11T12:18:01.857,0.020,-0.807,0.162,-0.653
1526023081876,2018-05-11T12:18:01.876,0.039,-0.807,0.163,-0.651
1526023081897,2018-05-11T12:18:01.897,0.060,-0.806,0.150,-0.655
1526023081916,2018-05-11T12:18:01.916,0.079,-0.806,0.152,-0.655
1526023081937,2018-05-11T12:18:01.937,0.100,-0.806,0.162,-0.654
1526023081956,2018-05-11T12:18:01.956,0.119,-0.807,0.166,-0.655
1526023081976,2018-05-11T12:18:01.976,0.139,-0.800,0.162,-0.662
1526023081995,2018-05-11T12:18:01.995,0.158,-0.808,0.156,-0.652
1526023082016,2018-05-11T12:18:02.016,0.179,-0.812,0.160,-0.643
1526023082035,2018-05-11T12:18:02.035,0.198,-0.806,0.182,-0.646
1526023082054,2018-05-11T12:18:02.054,0.217,-0.788,0.172,-0.681
1526023082074,2018-05-11T12:18:02.074,0.237,-0.799,0.147,-0.667
1526023082093,2018-05-11T12:18:02.093,0.256,-0.805,0.158,-0.655
1526023082114,2018-05-11T12:18:02.114,0.277,-0.811,0.163,-0.647
1526023082133,2018-05-11T12:18:02.133,0.296,-0.806,0.168,-0.649
1526023082153,2018-05-11T12:18:02.153,0.316,-0.803,0.169,-0.655
1526023082172,2018-05-11T12:18:02.172,0.335,-0.803,0.168,-0.654
1526023082193,2018-05-11T12:18:02.193,0.356,-0.805,0.166,-0.649
1526023082212,2018-05-11T12:18:02.212,0.375,-0.808,0.163,-0.647
1526023082232,2018-05-11T12:18:02.232,0.395,-0.806,0.163,-0.652
1526023082251,2018-05-11T12:18:02.251,0.414,-0.803,0.166,-0.654
1526023082270,2018-05-11T12:18:02.270,0.433,-0.806,0.169,-0.652
1526023082291,2018-05-11T12:18:02.291,0.454,-0.808,0.164,-0.648
1526023082310,2018-05-11T12:18:02.310,0.473,-0.805,0.166,-0.651
1526023082331,2018-05-11T12:18:02.331,0.494,-0.806,0.171,-0.651
1526023082350,2018-05-11T12:18:02.350,0.513,-0.805,0.173,-0.650
1526023082370,2018-05-11T12:18:02.370,0.533,-0.805,0.170,-0.650
1526023082389,2018-05-11T12:18:02.389,0.552,-0.807,0.171,-0.647
1526023082410,2018-05-11T12:18:02.410,0.573,-0.806,0.168,-0.648
1526023082429,2018-05-11T12:18:02.429,0.592,-0.805,0.167,-0.651
1526023082449,2018-05-11T12:18:02.449,0.612,-0.806,0.169,-0.652
1526023082468,2018-05-11T12:18:02.468,0.631,-0.806,0.168,-0.651
1526023082487,2018-05-11T12:18:02.487,0.650,-0.807,0.168,-0.647
1526023082508,2018-05-11T12:18:02.508,0.671,-0.808,0.168,-0.647
1526023082527,2018-05-11T12:18:02.527,0.690,-0.810,0.164,-0.647
1526023082547,2018-05-11T12:18:02.547,0.710,-0.810,0.142,-0.650
1526023082566,2018-05-11T12:18:02.566,0.729,-0.790,0.171,-0.675
1526023082587,2018-05-11T12:18:02.587,0.750,-0.809,0.208,-0.634
1526023082606,2018-05-11T12:18:02.606,0.769,-0.804,0.229,-0.634
1526023082626,2018-05-11T12:18:02.626,0.789,-0.798,0.209,-0.649
1526023082645,2018-05-11T12:18:02.645,0.808,-0.805,0.187,-0.644
1526023082666,2018-05-11T12:18:02.666,0.829,-0.802,0.192,-0.646
1526023082685,2018-05-11T12:18:02.685,0.848,-0.802,0.185,-0.646
1526023082704,2018-05-11T12:18:02.704,0.867,-0.801,0.182,-0.650
1526023082725,2018-05-11T12:18:02.725,0.888,-0.800,0.217,-0.647
1526023082744,2018-05-11T12:18:02.744,0.907,-0.811,0.200,-0.647
1526023082764,2018-05-11T12:18:02.764,0.927,-0.792,0.235,-0.632
1526023082783,2018-05-11T12:18:02.783,0.946,-0.802,0.244,-0.625
1526023082804,2018-05-11T12:18:02.804,0.967,-0.800,0.192,-0.652
1526023082823,2018-05-11T12:18:02.823,0.986,-0.802,0.199,-0.645
1526023082843,2018-05-11T12:18:02.843,1.006,-0.802,0.213,-0.638
1526023082862,2018-05-11T12:18:02.862,1.025,-0.803,0.204,-0.644
1526023082883,2018-05-11T12:18:02.883,1.046,-0.801,0.207,-0.642
1526023082902,2018-05-11T12:18:02.902,1.065,-0.802,0.207,-0.642
1526023082921,2018-05-11T12:18:02.921,1.084,-0.801,0.208,-0.643
1526023082941,2018-05-11T12:18:02.941,1.104,-0.800,0.208,-0.643
1526023082960,2018-05-11T12:18:02.960,1.123,-0.802,0.203,-0.643
1526023082981,2018-05-11T12:18:02.981,1.144,-0.804,0.204,-0.642
1526023083000,2018-05-11T12:18:03.000,1.163,-0.803,0.204,-0.644
1526023083020,2018-05-11T12:18:03.020,1.183,-0.802,0.206,-0.643
1526023083040,2018-05-11T12:18:03.040,1.203,-0.802,0.208,-0.641
1526023083060,2018-05-11T12:18:03.060,1.223,-0.803,0.207,-0.642
1526023083079,2018-05-11T12:18:03.079,1.242,-0.802,0.207,-0.644
1526023083100,2018-05-11T12:18:03.100,1.263,-0.802,0.209,-0.640
1526023083119,2018-05-11T12:18:03.119,1.282,-0.802,0.205,-0.642
1526023083138,2018-05-11T12:18:03.138,1.301,-0.802,0.210,-0.642
1526023083158,2018-05-11T12:18:03.158,1.321,-0.800,0.201,-0.645
1526023083177,2018-05-11T12:18:03.177,1.340,-0.801,0.204,-0.641
1526023083198,2018-05-11T12:18:03.198,1.361,-0.801,0.206,-0.642
1526023083217,2018-05-11T12:18:03.217,1.380,-0.798,0.208,-0.645
1526023083237,2018-05-11T12:18:03.237,1.400,-0.800,0.205,-0.643
1526023083256,2018-05-11T12:18:03.256,1.419,-0.800,0.208,-0.645
1526023083277,2018-05-11T12:18:03.277,1.440,-0.802,0.209,-0.643
1526023083296,2018-05-11T12:18:03.296,1.459,-0.803,0.207,-0.644
1526023083316,2018-05-11T12:18:03.316,1.479,-0.801,0.202,-0.643
1526023083335,2018-05-11T12:18:03.335,1.498,-0.802,0.203,-0.642
1526023083356,2018-05-11T12:18:03.356,1.519,-0.800,0.206,-0.645
1526023083375,2018-05-11T12:18:03.375,1.538,-0.801,0.205,-0.643
1526023083394,2018-05-11T12:18:03.394,1.557,-0.800,0.207,-0.642
1526023083415,2018-05-11T12:18:03.415,1.578,-0.802,0.207,-0.644
1526023083434,2018-05-11T12:18:03.434,1.597,-0.802,0.204,-0.641
1526023083454,2018-05-11T12:18:03.454,1.617,-0.802,0.203,-0.644
1526023083473,2018-05-11T12:18:03.473,1.636,-0.802,0.207,-0.643
1526023083494,2018-05-11T12:18:03.494,1.657,-0.801,0.207,-0.644
1526023083513,2018-05-11T12:18:03.513,1.676,-0.801,0.207,-0.643
1526023083533,2018-05-11T12:18:03.533,1.696,-0.803,0.203,-0.642
1526023083552,2018-05-11T12:18:03.552,1.715,-0.801,0.208,-0.640
1526023083573,2018-05-11T12:18:03.573,1.736,-0.798,0.205,-0.643
1526023083592,2018-05-11T12:18:03.592,1.755,-0.801,0.206,-0.644
1526023083611,2018-05-11T12:18:03.611,1.774,-0.800,0.208,-0.641
1526023083631,2018-05-11T12:18:03.631,1.794,-0.802,0.207,-0.644
1526023083650,2018-05-11T12:18:03.650,1.813,-0.802,0.207,-0.642
1526023083671,2018-05-11T12:18:03.671,1.834,-0.802,0.209,-0.641
1526023083690,2018-05-11T12:18:03.690,1.853,-0.801,0.204,-0.641
1526023083710,2018-05-11T12:18:03.710,1.873,-0.800,0.195,-0.648
1526023083729,2018-05-11T12:18:03.729,1.892,-0.800,0.206,-0.646
1526023083750,2018-05-11T12:18:03.750,1.913,-0.801,0.203,-0.644
1526023083769,2018-05-11T12:18:03.769,1.932,-0.800,0.208,-0.644
1526023083790,2018-05-11T12:18:03.790,1.953,-0.801,0.208,-0.645
1526023083809,2018-05-11T12:18:03.809,1.972,-0.798,0.197,-0.647
1526023083828,2018-05-11T12:18:03.828,1.991,-0.800,0.202,-0.645
1526023083848,2018-05-11T12:18:03.848,2.011,-0.800,0.205,-0.644
1526023083867,2018-05-11T12:18:03.867,2.030,-0.798,0.203,-0.645
1526023083888,2018-05-11T12:18:03.888,2.051,-0.800,0.209,-0.645
1526023083907,2018-05-11T12:18:03.907,2.070,-0.799,0.208,-0.645
1526023083927,2018-05-11T12:18:03.927,2.090,-0.800,0.201,-0.646
1526023083946,2018-05-11T12:18:03.946,2.109,-0.799,0.206,-0.643
1526023083967,2018-05-11T12:18:03.967,2.130,-0.796,0.202,-0.646
1526023083986,2018-05-11T12:18:03.986,2.149,-0.798,0.205,-0.646
1526023084006,2018-05-11T12:18:04.006,2.169,-0.800,0.207,-0.646
1526023084025,2018-05-11T12:18:04.025,2.188,-0.797,0.215,-0.645
1526023084044,2018-05-11T12:18:04.044,2.207,-0.799,0.213,-0.643
