epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1526023081818,2018-05-11T12:18:01.818,0.000,0.427,-0.305,-0.915
1526023081837,2018-05-11T12:18:01.837,0.019,0.366,-0.427,-0.793
1526023081857,2018-05-11T12:18:01.857,0.039,0.122,0.305,0.244
1526023081876,2018-05-11T12:18:01.876,0.058,0.488,0.366,-0.610
1526023081897,2018-05-11T12:18:01.897,0.079,0.610,0.732,-0.976
1526023081916,2018-05-11T12:18:01.916,0.098,-0.793,0.671,1.280
1526023081937,2018-05-11T12:18:01.937,0.119,-1.951,0.671,2.805
1526023081956,2018-05-11T12:18:01.956,0.138,-2.378,1.220,2.073
1526023081976,2018-05-11T12:18:01.976,0.158,-1.585,0.976,1.463
1526023081995,2018-05-11T12:18:01.995,0.177,-1.951,-0.366,1.280
1526023082016,2018-05-11T12:18:02.016,0.198,-3.720,1.341,1.890
1526023082035,2018-05-11T12:18:02.035,0.217,-5.549,5.305,0.122
1526023082054,2018-05-11T12:18:02.054,0.236,-4.817,5.915,-5.427
1526023082074,2018-05-11T12:18:02.074,0.256,-3.171,-0.305,-5.000
1526023082093,2018-05-11T12:18:02.093,0.275,-0.061,-3.415,2.256
1526023082114,2018-05-11T12:18:02.114,0.296,-1.098,-3.049,3.110
1526023082133,2018-05-11T12:18:02.133,0.315,-2.378,-1.098,2.439
1526023082153,2018-05-11T12:18:02.153,0.335,-2.195,-0.061,1.402
1526023082172,2018-05-11T12:18:02.172,0.354,-1.098,-0.610,0.915
1526023082193,2018-05-11T12:18:02.193,0.375,-0.122,-1.037,0.732
1526023082212,2018-05-11T12:18:02.212,0.394,-0.061,-0.305,0.793
1526023082232,2018-05-11T12:18:02.232,0.414,-0.976,0.671,0.793
1526023082251,2018-05-11T12:18:02.251,0.433,-1.220,0.366,1.341
1526023082270,2018-05-11T12:18:02.270,0.452,-0.915,-0.549,1.463
1526023082291,2018-05-11T12:18:02.291,0.473,-0.976,-0.610,1.220
1526023082310,2018-05-11T12:18:02.310,0.492,-1.707,-0.061,1.829
1526023082331,2018-05-11T12:18:02.331,0.513,-1.829,-0.122,2.073
1526023082350,2018-05-11T12:18:02.350,0.532,-1.037,-0.549,1.646
1526023082370,2018-05-11T12:18:02.370,0.552,-0.488,-0.549,1.037
1526023082389,2018-05-11T12:18:02.389,0.571,-0.183,-0.061,0.793
1526023082410,2018-05-11T12:18:02.410,0.592,-0.427,0.305,0.427
