epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1526023081759,2018-05-11T12:18:01.759,0.000,-0.000002562,-0.000014875,0.000049187
1526023081799,2018-05-11T12:18:01.799,0.040,-0.000002938,-0.000014500,0.000050062
1526023081840,2018-05-11T12:18:01.840,0.081,-0.000001875,-0.000014875,0.000049562
1526023081881,2018-05-11T12:18:01.881,0.122,-0.000002188,-0.000013750,0.000050437
1526023081920,2018-05-11T12:18:01.920,0.161,-0.000001125,-0.000015563,0.000049625
1526023081961,2018-05-11T12:18:01.961,0.202,-0.000000750,-0.000015563,0.000049625
1526023082001,2018-05-11T12:18:02.001,0.242,-0.000001500,-0.000014500,0.000049625
1526023082042,2018-05-11T12:18:02.042,0.283,-0.000002188,-0.000015188,0.000049625
1526023082083,2018-05-11T12:18:02.083,0.324,-0.000001875,-0.000015563,0.000050813
1526023082123,2018-05-11T12:18:02.123,0.364,-0.000001500,-0.000015563,0.000050000
1526023082164,2018-05-11T12:18:02.164,0.405,-0.000001500,-0.000015937,0.000050437
1526023082205,2018-05-11T12:18:02.205,0.446,-0.000001875,-0.000015563,0.000050813
1526023082244,2018-05-11T12:18:02.244,0.485,-0.000001500,-0.000015188,0.000050000
1526023082285,2018-05-11T12:18:02.285,0.526,-0.000000750,-0.000015937,0.000050375
1526023082326,2018-05-11T12:18:02.326,0.567,-0.000000375,-0.000015937,0.000049187
1526023082366,2018-05-11T12:18:02.366,0.607,-0.000001125,-0.000016313,0.000051188
1526023082407,2018-05-11T12:18:02.407,0.648,-0.000001875,-0.000017000,0.000050813
1526023082448,2018-05-11T12:18:02.448,0.689,-0.000000750,-0.000016313,0.000050437
1526023082487,2018-05-11T12:18:02.487,0.728,-0.000000750,-0.000015937,0.000048813
1526023082528,2018-05-11T12:18:02.528,0.769,-0.000000750,-0.000015563,0.000049625
1526023082569,2018-05-11T12:18:02.569,0.810,-0.000000750,-0.000015188,0.000050062
1526023082609,2018-05-11T12:18:02.609,0.850,-0.000001125,-0.000015563,0.000050437
1526023082650,2018-05-11T12:18:02.650,0.891,-0.000002188,-0.000015563,0.000049250
1526023082691,2018-05-11T12:18:02.691,0.932,-0.000001500,-0.000015937,0.000049625
1526023082730,2018-05-11T12:18:02.730,0.971,-0.000001875,-0.000015188,0.000049625
1526023082771,2018-05-11T12:18:02.771,1.012,-0.000001125,-0.000016313,0.000050000
1526023082812,2018-05-11T12:18:02.812,1.053,-0.000002188,-0.000015937,0.000049250
1526023082852,2018-05-11T12:18:02.852,1.093,-0.000002188,-0.000015937,0.000049250
1526023082893,2018-05-11T12:18:02.893,1.134,-0.000001500,-0.000015188,0.000049625
1526023082934,2018-05-11T12:18:02.934,1.175,-0.000001875,-0.000015188,0.000048875
1526023082974,2018-05-11T12:18:02.974,1.215,-0.000001500,-0.000017000,0.000049250
1526023083015,2018-05-11T12:18:03.015,1.256,-0.000001125,-0.000015563,0.000048813
1526023083056,2018-05-11T12:18:03.056,1.297,-0.000002938,-0.000015188,0.000050062
1526023083095,2018-05-11T12:18:03.095,1.336,-0.000001500,-0.000015937,0.000048062
1526023083136,2018-05-11T12:18:03.136,1.377,-0.000001500,-0.000015563,0.000049625
1526023083177,2018-05-11T12:18:03.177,1.418,-0.000002938,-0.000016687,0.000050000
1526023083217,2018-05-11T12:18:03.217,1.458,-0.000001500,-0.000015563,0.000050062
1526023083258,2018-05-11T12:18:03.258,1.499,-0.000002938,-0.000016313,0.000050437
1526023083297,2018-05-11T12:18:03.297,1.538,-0.000002188,-0.000015937,0.000050062
1526023083338,2018-05-11T12:18:03.338,1.579,-0.000001875,-0.000015563,0.000049687
1526023083379,2018-05-11T12:18:03.379,1.620,-0.000001125,-0.000015188,0.000049625
1526023083419,2018-05-11T12:18:03.419,1.660,-0.000001500,-0.000016687,0.000049250
1526023083460,2018-05-11T12:18:03.460,1.701,-0.000001500,-0.000015937,0.000049625
1526023083501,2018-05-11T12:18:03.501,1.742,-0.000002562,-0.000015563,0.000050437
1526023083541,2018-05-11T12:18:03.541,1.782,-0.000001875,-0.000017375,0.000050062
1526023083582,2018-05-11T12:18:03.582,1.823,-0.000001500,-0.000016313,0.000049250
1526023083623,2018-05-11T12:18:03.623,1.864,-0.000002188,-0.000015563,0.000049250
1526023083662,2018-05-11T12:18:03.662,1.903,-0.000000750,-0.000015563,0.000050062
1526023083703,2018-05-11T12:18:03.703,1.944,-0.000002938,-0.000016687,0.000049625
1526023083744,2018-05-11T12:18:03.744,1.985,-0.000001125,-0.000016313,0.000050062
1526023083784,2018-05-11T12:18:03.784,2.025,-0.000001125,-0.000015937,0.000049687
1526023083825,2018-05-11T12:18:03.825,2.066,-0.000001500,-0.000015563,0.000049250
1526023083866,2018-05-11T12:18:03.866,2.107,-0.000001125,-0.000015563,0.000049250
1526023083905,2018-05-11T12:18:03.905,2.146,-0.000002562,-0.000014875,0.000050437
1526023083946,2018-05-11T12:18:03.946,2.187,-0.000002188,-0.000015937,0.000049250
1526023083987,2018-05-11T12:18:03.987,2.228,-0.000001125,-0.000015188,0.000050437
1526023084027,2018-05-11T12:18:04.027,2.268,-0.000001875,-0.000015188,0.000050062
1526023084068,2018-05-11T12:18:04.068,2.309,-0.000002562,-0.000015937,0.000050062
1526023084109,2018-05-11T12:18:04.109,2.350,-0.000001500,-0.000015563,0.000050062
1526023084148,2018-05-11T12:18:04.148,2.389,-0.000001875,-0.000015563,0.000049250
1526023084189,2018-05-11T12:18:04.189,2.430,-0.000001125,-0.000016687,0.000050000
1526023084230,2018-05-11T12:18:04.230,2.471,-0.000002188,-0.000016687,0.000050437
1526023084270,2018-05-11T12:18:04.270,2.511,-0.000001125,-0.000016687,0.000048438
