epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1526020382000,2018-05-11T11:33:02.000,0.000,-0.098,-0.866,-0.505
1526020382019,2018-05-11T11:33:02.019,0.019,-0.110,-0.867,-0.515
1526020382040,2018-05-11T11:33:02.040,0.040,-0.093,-0.867,-0.509
1526020382059,2018-05-11T11:33:02.059,0.059,-0.095,-0.871,-0.502
1526020382079,2018-05-11T11:33:02.079,0.079,-0.071,-0.882,-0.511
1526020382098,2018-05-11T11:33:02.098,0.098,-0.080,-0.876,-0.509
1526020382119,2018-05-11T11:33:02.119,0.119,-0.085,-0.872,-0.510
1526020382138,2018-05-11T11:33:02.138,0.138,-0.090,-0.871,-0.508
1526020382157,2018-05-11T11:33:02.157,0.157,-0.090,-0.875,-0.505
1526020382177,2018-05-11T11:33:02.177,0.177,-0.095,-0.874,-0.503
1526020382196,2018-05-11T11:33:02.196,0.196,-0.094,-0.876,-0.504
1526020382217,2018-05-11T11:33:02.217,0.217,-0.112,-0.876,-0.500
1526020382236,2018-05-11T11:33:02.236,0.236,-0.125,-0.875,-0.493
1526020382256,2018-05-11T11:33:02.256,0.256,-0.129,-0.875,-0.496
1526020382275,2018-05-11T11:33:02.275,0.275,-0.137,-0.876,-0.490
1526020382296,2018-05-11T11:33:02.296,0.296,-0.137,-0.878,-0.488
1526020382315,2018-05-11T11:33:02.315,0.315,-0.146,-0.876,-0.490
1526020382335,2018-05-11T11:33:02.335,0.335,-0.151,-0.876,-0.480
1526020382354,2018-05-11T11:33:02.354,0.354,-0.144,-0.880,-0.477
1526020382375,2018-05-11T11:33:02.375,0.375,-0.150,-0.880,-0.479
1526020382394,2018-05-11T11:33:02.394,0.394,-0.144,-0.879,-0.483
1526020382413,2018-05-11T11:33:02.413,0.413,-0.144,-0.878,-0.488
1526020382434,2018-05-11T11:33:02.434,0.434,-0.142,-0.880,-0.484
1526020382453,2018-05-11T11:33:02.453,0.453,-0.139,-0.880,-0.484
1526020382473,2018-05-11T11:33:02.473,0.473,-0.141,-0.878,-0.487
1526020382492,2018-05-11T11:33:02.492,0.492,-0.143,-0.875,-0.494
1526020382513,2018-05-11T11:33:02.513,0.513,-0.143,-0.874,-0.498
1526020382532,2018-05-11T11:33:02.532,0.532,-0.143,-0.871,-0.502
1526020382552,2018-05-11T11:33:02.552,0.552,-0.145,-0.872,-0.501
1526020382571,2018-05-11T11:33:02.571,0.571,-0.144,-0.872,-0.499
1526020382592,2018-05-11T11:33:02.592,0.592,-0.146,-0.869,-0.503
1526020382611,2018-05-11T11:33:02.611,0.611,-0.145,-0.869,-0.501
1526020382630,2018-05-11T11:33:02.630,0.630,-0.145,-0.873,-0.495
1526020382650,2018-05-11T11:33:02.650,0.650,-0.143,-0.875,-0.493
1526020382669,2018-05-11T11:33:02.669,0.669,-0.144,-0.874,-0.497
1526020382690,2018-05-11T11:33:02.690,0.690,-0.146,-0.874,-0.492
1526020382709,2018-05-11T11:33:02.709,0.709,-0.146,-0.875,-0.490
1526020382729,2018-05-11T11:33:02.729,0.729,-0.143,-0.879,-0.487
1526020382749,2018-05-11T11:33:02.749,0.749,-0.141,-0.879,-0.484
1526020382769,2018-05-11T11:33:02.769,0.769,-0.144,-0.879,-0.488
1526020382788,2018-05-11T11:33:02.788,0.788,-0.142,-0.877,-0.492
1526020382809,2018-05-11T11:33:02.809,0.809,-0.144,-0.877,-0.489
1526020382828,2018-05-11T11:33:02.828,0.828,-0.144,-0.876,-0.489
1526020382847,2018-05-11T11:33:02.847,0.847,-0.145,-0.875,-0.492
1526020382867,2018-05-11T11:33:02.867,0.867,-0.143,-0.876,-0.491
1526020382886,2018-05-11T11:33:02.886,0.886,-0.134,-0.875,-0.496
1526020382907,2018-05-11T11:33:02.907,0.907,-0.118,-0.876,-0.504
1526020382926,2018-05-11T11:33:02.926,0.926,-0.161,-0.870,-0.495
1526020382946,2018-05-11T11:33:02.946,0.946,-0.180,-0.855,-0.500
1526020382965,2018-05-11T11:33:02.965,0.965,-0.144,-0.895,-0.460
1526020382986,2018-05-11T11:33:02.986,0.986,-0.115,-0.894,-0.470
1526020383005,2018-05-11T11:33:03.005,1.005,-0.092,-0.885,-0.495
1526020383025,2018-05-11T11:33:03.025,1.025,-0.157,-0.875,-0.483
1526020383044,2018-05-11T11:33:03.044,1.044,-0.158,-0.863,-0.503
1526020383063,2018-05-11T11:33:03.063,1.063,-0.134,-0.875,-0.490
1526020383084,2018-05-11T11:33:03.084,1.084,-0.106,-0.891,-0.471
1526020383103,2018-05-11T11:33:03.103,1.103,-0.053,-0.891,-0.491
1526020383124,2018-05-11T11:33:03.124,1.124,-0.062,-0.890,-0.496
1526020383143,2018-05-11T11:33:03.143,1.143,-0.146,-0.884,-0.474
1526020383163,2018-05-11T11:33:03.163,1.163,-0.144,-0.876,-0.482
1526020383182,2018-05-11T11:33:03.182,1.182,-0.109,-0.879,-0.490
1526020383203,2018-05-11T11:33:03.203,1.203,-0.114,-0.877,-0.500
1526020383222,2018-05-11T11:33:03.222,1.222,-0.118,-0.873,-0.499
1526020383242,2018-05-11T11:33:03.242,1.242,-0.102,-0.875,-0.500
1526020383261,2018-05-11T11:33:03.261,1.261,-0.089,-0.881,-0.494
1526020383280,2018-05-11T11:33:03.280,1.280,-0.079,-0.885,-0.495
1526020383301,2018-05-11T11:33:03.301,1.301,-0.094,-0.881,-0.493
1526020383320,2018-05-11T11:33:03.320,1.320,-0.103,-0.878,-0.495
1526020383340,2018-05-11T11:33:03.340,1.340,-0.112,-0.877,-0.494
1526020383359,2018-05-11T11:33:03.359,1.359,-0.111,-0.878,-0.492
1526020383380,2018-05-11T11:33:03.380,1.380,-0.110,-0.880,-0.490
1526020383399,2018-05-11T11:33:03.399,1.399,-0.112,-0.879,-0.488
1526020383419,2018-05-11T11:33:03.419,1.419,-0.119,-0.877,-0.491
1526020383438,2018-05-11T11:33:03.438,1.438,-0.134,-0.874,-0.490
1526020383459,2018-05-11T11:33:03.459,1.459,-0.127,-0.877,-0.487
1526020383478,2018-05-11T11:33:03.478,1.478,-0.097,-0.883,-0.496
1526020383497,2018-05-11T11:33:03.497,1.497,-0.097,-0.883,-0.494
1526020383518,2018-05-11T11:33:03.518,1.518,-0.115,-0.881,-0.488
1526020383537,2018-05-11T11:33:03.537,1.537,-0.098,-0.873,-0.495
1526020383557,2018-05-11T11:33:03.557,1.557,-0.104,-0.884,-0.483
1526020383576,2018-05-11T11:33:03.576,1.576,-0.161,-0.892,-0.464
1526020383597,2018-05-11T11:33:03.597,1.597,-0.105,-0.884,-0.488
1526020383616,2018-05-11T11:33:03.616,1.616,-0.123,-0.883,-0.477
1526020383636,2018-05-11T11:33:03.636,1.636,-0.122,-0.885,-0.477
1526020383655,2018-05-11T11:33:03.655,1.655,-0.112,-0.887,-0.479
1526020383676,2018-05-11T11:33:03.676,1.676,-0.120,-0.886,-0.477
1526020383695,2018-05-11T11:33:03.695,1.695,-0.114,-0.886,-0.479
1526020383715,2018-05-11T11:33:03.715,1.715,-0.118,-0.884,-0.480
1526020383734,2018-05-11T11:33:03.734,1.734,-0.122,-0.884,-0.483
1526020383753,2018-05-11T11:33:03.753,1.753,-0.127,-0.880,-0.480
1526020383774,2018-05-11T11:33:03.774,1.774,-0.125,-0.881,-0.481
1526020383793,2018-05-11T11:33:03.793,1.793,-0.120,-0.883,-0.481
1526020383813,2018-05-11T11:33:03.813,1.813,-0.109,-0.883,-0.487
1526020383833,2018-05-11T11:33:03.833,1.833,-0.119,-0.881,-0.490
1526020383853,2018-05-11T11:33:03.853,1.853,-0.120,-0.882,-0.487
1526020383872,2018-05-11T11:33:03.872,1.872,-0.125,-0.882,-0.483
1526020383893,2018-05-11T11:33:03.893,1.893,-0.122,-0.886,-0.487
1526020383912,2018-05-11T11:33:03.912,1.912,-0.134,-0.884,-0.480
1526020383932,2018-05-11T11:33:03.932,1.932,-0.137,-0.883,-0.470
1526020383951,2018-05-11T11:33:03.951,1.951,-0.137,-0.887,-0.465
1526020383970,2018-05-11T11:33:03.970,1.970,-0.133,-0.892,-0.458
1526020383991,2018-05-11T11:33:03.991,1.991,-0.079,-0.878,-0.471
1526020384010,2018-05-11T11:33:04.010,2.010,-0.050,-0.875,-0.469
1526020384030,2018-05-11T11:33:04.030,2.030,-0.133,-0.906,-0.431
1526020384049,2018-05-11T11:33:04.049,2.049,-0.138,-0.913,-0.443
1526020384070,2018-05-11T11:33:04.070,2.070,-0.107,-0.915,-0.446
1526020384089,2018-05-11T11:33:04.089,2.089,-0.074,-0.879,-0.496
1526020384109,2018-05-11T11:33:04.109,2.109,-0.038,-0.883,-0.490
1526020384128,2018-05-11T11:33:04.128,2.128,-0.083,-0.893,-0.471
1526020384149,2018-05-11T11:33:04.149,2.149,-0.042,-0.889,-0.470
1526020384168,2018-05-11T11:33:04.168,2.168,-0.046,-0.898,-0.477
1526020384187,2018-05-11T11:33:04.187,2.187,-0.081,-0.896,-0.473
1526020384208,2018-05-11T11:33:04.208,2.208,-0.056,-0.875,-0.490
1526020384227,2018-05-11T11:33:04.227,2.227,-0.020,-0.876,-0.506
1526020384247,2018-05-11T11:33:04.247,2.247,-0.020,-0.873,-0.514
1526020384266,2018-05-11T11:33:04.266,2.266,-0.037,-0.865,-0.515
1526020384287,2018-05-11T11:33:04.287,2.287,-0.037,-0.865,-0.510
1526020384306,2018-05-11T11:33:04.306,2.306,-0.021,-0.868,-0.506
1526020384326,2018-05-11T11:33:04.326,2.326,0.009,-0.872,-0.507
1526020384345,2018-05-11T11:33:04.345,2.345,0.039,-0.874,-0.509
1526020384366,2018-05-11T11:33:04.366,2.366,0.042,-0.873,-0.508
1526020384385,2018-05-11T11:33:04.385,2.385,0.023,-0.872,-0.500
1526020384404,2018-05-11T11:33:04.404,2.404,0.047,-0.868,-0.510
1526020384424,2018-05-11T11:33:04.424,2.424,0.056,-0.866,-0.518
1526020384443,2018-05-11T11:33:04.443,2.443,0.049,-0.866,-0.509
1526020384464,2018-05-11T11:33:04.464,2.464,0.043,-0.872,-0.507
1526020384483,2018-05-11T11:33:04.483,2.483,-0.023,-0.875,-0.492
1526020384503,2018-05-11T11:33:04.503,2.503,-0.259,-0.949,-0.428
1526020384522,2018-05-11T11:33:04.522,2.522,-0.326,-0.878,-0.479
1526020384543,2018-05-11T11:33:04.543,2.543,-0.070,-0.907,-0.557
1526020384562,2018-05-11T11:33:04.562,2.562,-0.170,-1.338,-0.601
1526020384583,2018-05-11T11:33:04.583,2.583,-0.143,-1.250,-0.451
1526020384602,2018-05-11T11:33:04.602,2.602,0.049,-0.928,-0.159
