epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1526020381979,2018-05-11T11:33:01.979,0.000,-3.110,14.085,11.829
1526020382000,2018-05-11T11:33:02.000,0.021,-3.354,13.354,11.768
1526020382019,2018-05-11T11:33:02.019,0.040,-3.171,8.720,7.500
1526020382040,2018-05-11T11:33:02.040,0.061,-0.366,7.683,2.622
1526020382059,2018-05-11T11:33:02.059,0.080,4.634,22.195,6.280
1526020382079,2018-05-11T11:33:02.079,0.100,3.720,20.732,4.878
1526020382098,2018-05-11T11:33:02.098,0.119,-1.585,-2.195,3.902
1526020382119,2018-05-11T11:33:02.119,0.140,-0.976,-4.085,6.768
1526020382138,2018-05-11T11:33:02.138,0.159,1.341,-2.500,9.146
1526020382157,2018-05-11T11:33:02.157,0.178,3.415,-1.951,11.280
1526020382177,2018-05-11T11:33:02.177,0.198,5.549,3.902,16.280
1526020382196,2018-05-11T11:33:02.196,0.217,7.195,5.488,20.061
1526020382217,2018-05-11T11:33:02.217,0.238,6.829,-0.610,21.341
1526020382236,2018-05-11T11:33:02.236,0.257,6.951,0.610,21.220
1526020382256,2018-05-11T11:33:02.256,0.277,7.683,5.915,20.976
1526020382275,2018-05-11T11:33:02.275,0.296,7.134,4.085,18.476
1526020382296,2018-05-11T11:33:02.296,0.317,6.098,1.707,15.122
1526020382315,2018-05-11T11:33:02.315,0.336,5.305,0.793,12.988
1526020382335,2018-05-11T11:33:02.335,0.356,4.573,-0.610,8.902
1526020382354,2018-05-11T11:33:02.354,0.375,3.110,2.134,6.159
1526020382375,2018-05-11T11:33:02.375,0.396,0.366,1.646,3.841
1526020382394,2018-05-11T11:33:02.394,0.415,-1.829,0.732,1.524
1526020382413,2018-05-11T11:33:02.413,0.434,-2.439,1.341,1.220
1526020382434,2018-05-11T11:33:02.434,0.455,-2.927,1.829,0.732
1526020382453,2018-05-11T11:33:02.453,0.474,-4.268,2.195,1.280
1526020382473,2018-05-11T11:33:02.473,0.494,-5.549,2.195,2.012
1526020382492,2018-05-11T11:33:02.492,0.513,-5.854,2.439,2.378
1526020382513,2018-05-11T11:33:02.513,0.534,-5.366,2.317,2.195
1526020382532,2018-05-11T11:33:02.532,0.553,-4.329,1.768,1.951
1526020382552,2018-05-11T11:33:02.552,0.573,-2.500,0.976,1.463
1526020382571,2018-05-11T11:33:02.571,0.592,-1.463,0.488,1.280
1526020382592,2018-05-11T11:33:02.592,0.613,-0.732,0.061,1.402
1526020382611,2018-05-11T11:33:02.611,0.632,1.463,-0.244,0.610
1526020382630,2018-05-11T11:33:02.630,0.651,2.927,-0.549,-0.061
1526020382650,2018-05-11T11:33:02.650,0.671,2.744,-0.549,-0.061
1526020382669,2018-05-11T11:33:02.669,0.690,2.683,-0.793,0.183
1526020382690,2018-05-11T11:33:02.690,0.711,3.293,-0.915,-0.061
1526020382709,2018-05-11T11:33:02.709,0.730,3.415,-0.671,-0.732
1526020382729,2018-05-11T11:33:02.729,0.750,2.866,-0.488,-1.159
1526020382749,2018-05-11T11:33:02.749,0.770,1.951,-0.244,-0.732
1526020382769,2018-05-11T11:33:02.769,0.790,0.488,0.061,-0.183
1526020382788,2018-05-11T11:33:02.788,0.809,-0.061,0.305,0.000
1526020382809,2018-05-11T11:33:02.809,0.830,0.305,0.061,-0.061
1526020382828,2018-05-11T11:33:02.828,0.849,0.366,0.000,-0.305
1526020382847,2018-05-11T11:33:02.847,0.868,0.549,-0.427,-0.671
1526020382867,2018-05-11T11:33:02.867,0.888,1.037,-1.585,-1.829
1526020382886,2018-05-11T11:33:02.886,0.907,0.854,-3.963,-3.232
1526020382907,2018-05-11T11:33:02.907,0.928,-3.110,-19.756,-9.085
1526020382926,2018-05-11T11:33:02.926,0.947,-6.829,-36.890,-14.390
1526020382946,2018-05-11T11:33:02.946,0.967,-5.427,-38.293,-25.976
1526020382965,2018-05-11T11:33:02.965,0.986,3.232,-19.573,-27.195
1526020382986,2018-05-11T11:33:02.986,1.007,6.524,5.366,-11.463
1526020383005,2018-05-11T11:33:03.005,1.026,-4.451,-11.890,-14.268
1526020383025,2018-05-11T11:33:03.025,1.046,-10.793,-29.634,-17.561
1526020383044,2018-05-11T11:33:03.044,1.065,-2.866,-11.402,-15.549
1526020383063,2018-05-11T11:33:03.063,1.084,2.500,-8.415,-24.268
1526020383084,2018-05-11T11:33:03.084,1.105,5.122,-0.793,-23.293
1526020383103,2018-05-11T11:33:03.103,1.124,2.012,0.305,-16.890
1526020383124,2018-05-11T11:33:03.124,1.145,-12.073,-41.280,-22.439
1526020383143,2018-05-11T11:33:03.143,1.164,-16.220,-57.134,-19.939
1526020383163,2018-05-11T11:33:03.163,1.184,-5.671,-16.341,-5.915
1526020383182,2018-05-11T11:33:03.182,1.203,-0.976,5.305,-1.890
1526020383203,2018-05-11T11:33:03.203,1.224,-2.622,2.500,-3.171
1526020383222,2018-05-11T11:33:03.222,1.243,-1.829,3.049,-5.000
1526020383242,2018-05-11T11:33:03.242,1.263,0.610,5.366,-6.890
1526020383261,2018-05-11T11:33:03.261,1.282,2.256,4.756,-5.915
