epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1526020381918,2018-05-11T11:33:01.918,0.000,-0.000023250,0.000047625,0.000009875
1526020381958,2018-05-11T11:33:01.958,0.040,-0.000022563,0.000048375,0.000009875
1526020381999,2018-05-11T11:33:01.999,0.081,-0.000021125,0.000047625,0.000009062
1526020382038,2018-05-11T11:33:02.038,0.120,-0.000020750,0.000048313,0.000009875
1526020382079,2018-05-11T11:33:02.079,0.161,-0.000020750,0.000047250,0.000009875
1526020382120,2018-05-11T11:33:02.120,0.202,-0.000020000,0.000048687,0.000008687
1526020382160,2018-05-11T11:33:02.160,0.242,-0.000020000,0.000048313,0.000008687
1526020382201,2018-05-11T11:33:02.201,0.283,-0.000018188,0.000047250,0.000008312
1526020382242,2018-05-11T11:33:02.242,0.324,-0.000018188,0.000047625,0.000009500
1526020382281,2018-05-11T11:33:02.281,0.363,-0.000016375,0.000048000,0.000008687
1526020382322,2018-05-11T11:33:02.322,0.404,-0.000016750,0.000048687,0.000007500
1526020382363,2018-05-11T11:33:02.363,0.445,-0.000016750,0.000048375,0.000007500
1526020382403,2018-05-11T11:33:02.403,0.485,-0.000017500,0.000049062,0.000009500
1526020382444,2018-05-11T11:33:02.444,0.526,-0.000016750,0.000048375,0.000007938
1526020382485,2018-05-11T11:33:02.485,0.567,-0.000016750,0.000048687,0.000008312
1526020382524,2018-05-11T11:33:02.524,0.606,-0.000016375,0.000048687,0.000009875
1526020382565,2018-05-11T11:33:02.565,0.647,-0.000017125,0.000048687,0.000010313
1526020382606,2018-05-11T11:33:02.606,0.688,-0.000017812,0.000048687,0.000009875
1526020382646,2018-05-11T11:33:02.646,0.728,-0.000016375,0.000048687,0.000008687
1526020382687,2018-05-11T11:33:02.687,0.769,-0.000017500,0.000049062,0.000008687
1526020382728,2018-05-11T11:33:02.728,0.810,-0.000017812,0.000048687,0.000008687
1526020382768,2018-05-11T11:33:02.768,0.850,-0.000017812,0.000049062,0.000009875
1526020382809,2018-05-11T11:33:02.809,0.891,-0.000018188,0.000049438,0.000008312
1526020382848,2018-05-11T11:33:02.848,0.930,-0.000016750,0.000049062,0.000007938
1526020382889,2018-05-11T11:33:02.889,0.971,-0.000017125,0.000049062,0.000008312
1526020382930,2018-05-11T11:33:02.930,1.012,-0.000017437,0.000049062,0.000009125
1526020382970,2018-05-11T11:33:02.970,1.052,-0.000017812,0.000048375,0.000007875
1526020383011,2018-05-11T11:33:03.011,1.093,-0.000018562,0.000048687,0.000009500
1526020383052,2018-05-11T11:33:03.052,1.134,-0.000019312,0.000047250,0.000009062
1526020383091,2018-05-11T11:33:03.091,1.173,-0.000020375,0.000047625,0.000010313
1526020383132,2018-05-11T11:33:03.132,1.214,-0.000020750,0.000047250,0.000010313
1526020383173,2018-05-11T11:33:03.173,1.255,-0.000021813,0.000047250,0.000010688
1526020383213,2018-05-11T11:33:03.213,1.295,-0.000020375,0.000046875,0.000009875
1526020383254,2018-05-11T11:33:03.254,1.336,-0.000021437,0.000046563,0.000011062
1526020383295,2018-05-11T11:33:03.295,1.377,-0.000021125,0.000047625,0.000011062
1526020383334,2018-05-11T11:33:03.334,1.416,-0.000020750,0.000047625,0.000009500
1526020383375,2018-05-11T11:33:03.375,1.457,-0.000020375,0.000047625,0.000011062
1526020383416,2018-05-11T11:33:03.416,1.498,-0.000021125,0.000046875,0.000010688
1526020383456,2018-05-11T11:33:03.456,1.538,-0.000020750,0.000047250,0.000011500
1526020383497,2018-05-11T11:33:03.497,1.579,-0.000020375,0.000048000,0.000009875
1526020383538,2018-05-11T11:33:03.538,1.620,-0.000020750,0.000048375,0.000010313
1526020383578,2018-05-11T11:33:03.578,1.660,-0.000021125,0.000046875,0.000010688
1526020383619,2018-05-11T11:33:03.619,1.701,-0.000020750,0.000049062,0.000010688
1526020383660,2018-05-11T11:33:03.660,1.742,-0.000019625,0.000047625,0.000011875
1526020383699,2018-05-11T11:33:03.699,1.781,-0.000020750,0.000046500,0.000009875
1526020383740,2018-05-11T11:33:03.740,1.822,-0.000021437,0.000047250,0.000010688
1526020383781,2018-05-11T11:33:03.781,1.863,-0.000020750,0.000048375,0.000009875
1526020383821,2018-05-11T11:33:03.821,1.903,-0.000021437,0.000047625,0.000009125
1526020383862,2018-05-11T11:33:03.862,1.944,-0.000021437,0.000048375,0.000011062
1526020383903,2018-05-11T11:33:03.903,1.985,-0.000019312,0.000048375,0.000010313
1526020383942,2018-05-11T11:33:03.942,2.024,-0.000019312,0.000048000,0.000009500
1526020383983,2018-05-11T11:33:03.983,2.065,-0.000020375,0.000047625,0.000009500
1526020384024,2018-05-11T11:33:04.024,2.106,-0.000021125,0.000048000,0.000008312
1526020384064,2018-05-11T11:33:04.064,2.146,-0.000021125,0.000046500,0.000008687
1526020384105,2018-05-11T11:33:04.105,2.187,-0.000021813,0.000047250,0.000007938
1526020384146,2018-05-11T11:33:04.146,2.228,-0.000022563,0.000047250,0.000007875
1526020384186,2018-05-11T11:33:04.186,2.268,-0.000022563,0.000045812,0.000007875
1526020384227,2018-05-11T11:33:04.227,2.309,-0.000023625,0.000046563,0.000009500
