epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1526023036781,2018-05-11T12:17:16.781,0.000,0.093,-0.189,-1.053
1526023036800,2018-05-11T12:17:16.800,0.019,0.088,-0.184,-1.059
1526023036821,2018-05-11T12:17:16.821,0.040,0.092,-0.180,-1.047
1526023036840,2018-05-11T12:17:16.840,0.059,0.073,-0.163,-1.043
1526023036860,2018-05-11T12:17:16.860,0.079,0.047,-0.144,-1.048
1526023036879,2018-05-11T12:17:16.879,0.098,0.044,-0.128,-1.047
1526023036900,2018-05-11T12:17:16.900,0.119,0.034,-0.147,-1.040
1526023036919,2018-05-11T12:17:16.919,0.138,0.009,-0.153,-1.032
1526023036938,2018-05-11T12:17:16.938,0.157,-0.027,-0.135,-0.999
1526023036958,2018-05-11T12:17:16.958,0.177,-0.046,-0.112,-0.957
1526023036978,2018-05-11T12:17:16.978,0.197,-0.048,-0.123,-0.936
1526023036998,2018-05-11T12:17:16.998,0.217,-0.062,-0.133,-0.918
1526023037017,2018-05-11T12:17:17.017,0.236,-0.062,-0.118,-0.887
1526023037038,2018-05-11T12:17:17.038,0.257,-0.052,-0.104,-0.878
1526023037057,2018-05-11T12:17:17.057,0.276,-0.014,-0.112,-0.914
1526023037077,2018-05-11T12:17:17.077,0.296,0.078,-0.107,-0.941
1526023037096,2018-05-11T12:17:17.096,0.315,0.174,-0.124,-0.979
1526023037117,2018-05-11T12:17:17.117,0.336,0.235,-0.145,-1.035
1526023037136,2018-05-11T12:17:17.136,0.355,0.290,-0.167,-1.092
1526023037155,2018-05-11T12:17:17.155,0.374,0.320,-0.181,-1.143
1526023037175,2018-05-11T12:17:17.175,0.394,0.316,-0.184,-1.155
1526023037194,2018-05-11T12:17:17.194,0.413,0.292,-0.171,-1.107
1526023037215,2018-05-11T12:17:17.215,0.434,0.266,-0.162,-1.058
1526023037234,2018-05-11T12:17:17.234,0.453,0.235,-0.153,-1.016
1526023037254,2018-05-11T12:17:17.254,0.473,0.211,-0.146,-0.982
1526023037273,2018-05-11T12:17:17.273,0.492,0.203,-0.148,-0.961
1526023037294,2018-05-11T12:17:17.294,0.513,0.197,-0.149,-0.953
1526023037313,2018-05-11T12:17:17.313,0.532,0.208,-0.169,-0.958
1526023037333,2018-05-11T12:17:17.333,0.552,0.209,-0.175,-0.979
1526023037353,2018-05-11T12:17:17.353,0.572,0.191,-0.166,-0.999
1526023037372,2018-05-11T12:17:17.372,0.591,0.194,-0.167,-0.989
1526023037392,2018-05-11T12:17:17.392,0.611,0.197,-0.177,-0.969
1526023037411,2018-05-11T12:17:17.411,0.630,0.169,-0.164,-0.969
1526023037432,2018-05-11T12:17:17.432,0.651,0.147,-0.138,-0.979
1526023037451,2018-05-11T12:17:17.451,0.670,0.125,-0.125,-0.980
1526023037471,2018-05-11T12:17:17.471,0.690,0.112,-0.125,-0.975
1526023037490,2018-05-11T12:17:17.490,0.709,0.107,-0.132,-0.983
1526023037511,2018-05-11T12:17:17.511,0.730,0.100,-0.132,-1.005
1526023037530,2018-05-11T12:17:17.530,0.749,0.092,-0.127,-1.025
1526023037550,2018-05-11T12:17:17.550,0.769,0.093,-0.126,-1.022
1526023037569,2018-05-11T12:17:17.569,0.788,0.094,-0.127,-1.008
1526023037588,2018-05-11T12:17:17.588,0.807,0.105,-0.131,-0.999
1526023037609,2018-05-11T12:17:17.609,0.828,0.117,-0.146,-0.997
1526023037628,2018-05-11T12:17:17.628,0.847,0.138,-0.153,-0.998
1526023037648,2018-05-11T12:17:17.648,0.867,0.154,-0.159,-1.002
1526023037667,2018-05-11T12:17:17.667,0.886,0.165,-0.165,-1.007
1526023037688,2018-05-11T12:17:17.688,0.907,0.168,-0.165,-1.000
1526023037707,2018-05-11T12:17:17.707,0.926,0.165,-0.163,-0.983
1526023037728,2018-05-11T12:17:17.728,0.947,0.159,-0.173,-0.974
1526023037747,2018-05-11T12:17:17.747,0.966,0.158,-0.173,-0.958
1526023037767,2018-05-11T12:17:17.767,0.986,0.160,-0.167,-0.965
1526023037786,2018-05-11T12:17:17.786,1.005,0.152,-0.161,-0.986
1526023037805,2018-05-11T12:17:17.805,1.024,0.144,-0.156,-1.002
1526023037826,2018-05-11T12:17:17.826,1.045,0.145,-0.161,-0.997
1526023037845,2018-05-11T12:17:17.845,1.064,0.152,-0.167,-1.000
1526023037865,2018-05-11T12:17:17.865,1.084,0.146,-0.166,-1.008
1526023037884,2018-05-11T12:17:17.884,1.103,0.136,-0.165,-1.004
1526023037905,2018-05-11T12:17:17.905,1.124,0.132,-0.159,-0.995
1526023037924,2018-05-11T12:17:17.924,1.143,0.131,-0.161,-0.997
1526023037944,2018-05-11T12:17:17.944,1.163,0.135,-0.169,-0.997
1526023037963,2018-05-11T12:17:17.963,1.182,0.138,-0.167,-0.986
1526023037984,2018-05-11T12:17:17.984,1.203,0.143,-0.165,-0.992
1526023038003,2018-05-11T12:17:18.003,1.222,0.154,-0.169,-0.994
1526023038022,2018-05-11T12:17:18.022,1.241,0.162,-0.172,-0.999
1526023038042,2018-05-11T12:17:18.042,1.261,0.160,-0.172,-1.010
1526023038062,2018-05-11T12:17:18.062,1.281,0.165,-0.184,-1.004
1526023038082,2018-05-11T12:17:18.082,1.301,0.165,-0.183,-0.995
1526023038101,2018-05-11T12:17:18.101,1.320,0.157,-0.175,-1.023
1526023038122,2018-05-11T12:17:18.122,1.341,0.153,-0.185,-1.044
1526023038141,2018-05-11T12:17:18.141,1.360,0.150,-0.197,-1.025
1526023038161,2018-05-11T12:17:18.161,1.380,0.139,-0.196,-1.000
1526023038180,2018-05-11T12:17:18.180,1.399,0.131,-0.194,-0.999
1526023038201,2018-05-11T12:17:18.201,1.420,0.130,-0.208,-0.991
1526023038220,2018-05-11T12:17:18.220,1.439,0.125,-0.207,-0.968
1526023038240,2018-05-11T12:17:18.240,1.459,0.121,-0.208,-0.958
1526023038259,2018-05-11T12:17:18.259,1.478,0.118,-0.220,-0.957
1526023038278,2018-05-11T12:17:18.278,1.497,0.114,-0.223,-0.965
1526023038299,2018-05-11T12:17:18.299,1.518,0.118,-0.232,-0.984
1526023038318,2018-05-11T12:17:18.318,1.537,0.122,-0.226,-1.026
1526023038338,2018-05-11T12:17:18.338,1.557,0.117,-0.215,-1.065
1526023038357,2018-05-11T12:17:18.357,1.576,0.119,-0.221,-1.056
1526023038378,2018-05-11T12:17:18.378,1.597,0.112,-0.219,-1.041
1526023038397,2018-05-11T12:17:18.397,1.616,0.098,-0.222,-1.042
1526023038417,2018-05-11T12:17:18.417,1.636,0.097,-0.236,-1.032
1526023038437,2018-05-11T12:17:18.437,1.656,0.079,-0.249,-1.002
1526023038457,2018-05-11T12:17:18.457,1.676,0.059,-0.251,-0.954
1526023038476,2018-05-11T12:17:18.476,1.695,0.059,-0.257,-0.938
1526023038495,2018-05-11T12:17:18.495,1.714,0.058,-0.257,-0.949
1526023038516,2018-05-11T12:17:18.516,1.735,0.062,-0.254,-0.932
1526023038535,2018-05-11T12:17:18.535,1.754,0.065,-0.257,-0.895
1526023038555,2018-05-11T12:17:18.555,1.774,0.058,-0.271,-0.888
1526023038574,2018-05-11T12:17:18.574,1.793,0.029,-0.227,-0.999
1526023038595,2018-05-11T12:17:18.595,1.814,-0.006,-0.146,-1.104
1526023038614,2018-05-11T12:17:18.614,1.833,-0.008,-0.112,-1.059
1526023038634,2018-05-11T12:17:18.634,1.853,-0.025,-0.142,-0.906
1526023038653,2018-05-11T12:17:18.653,1.872,-0.051,-0.175,-0.773
1526023038674,2018-05-11T12:17:18.674,1.893,-0.085,-0.179,-0.698
1526023038693,2018-05-11T12:17:18.693,1.912,-0.141,-0.178,-0.666
1526023038712,2018-05-11T12:17:18.712,1.931,-0.164,-0.188,-0.672
1526023038732,2018-05-11T12:17:18.732,1.951,-0.166,-0.231,-0.694
1526023038751,2018-05-11T12:17:18.751,1.970,-0.152,-0.253,-0.766
1526023038772,2018-05-11T12:17:18.772,1.991,-0.106,-0.210,-0.942
1526023038791,2018-05-11T12:17:18.791,2.010,-0.041,-0.167,-1.030
1526023038812,2018-05-11T12:17:18.812,2.031,-0.024,-0.202,-0.934
1526023038831,2018-05-11T12:17:18.831,2.050,-0.070,-0.243,-0.978
1526023038851,2018-05-11T12:17:18.851,2.070,-0.084,-0.216,-1.199
1526023038870,2018-05-11T12:17:18.870,2.089,-0.048,-0.160,-1.402
1526023038891,2018-05-11T12:17:18.891,2.110,0.039,-0.202,-1.413
1526023038910,2018-05-11T12:17:18.910,2.129,0.122,-0.354,-1.225
1526023038929,2018-05-11T12:17:18.929,2.148,0.105,-0.416,-1.113
1526023038949,2018-05-11T12:17:18.949,2.168,-0.004,-0.320,-1.265
1526023038968,2018-05-11T12:17:18.968,2.187,-0.070,-0.268,-1.396
1526023038989,2018-05-11T12:17:18.989,2.208,-0.017,-0.295,-1.283
1526023039008,2018-05-11T12:17:19.008,2.227,-0.018,-0.282,-1.175
1526023039028,2018-05-11T12:17:19.028,2.247,-0.090,-0.252,-1.212
1526023039047,2018-05-11T12:17:19.047,2.266,-0.085,-0.208,-1.235
1526023039068,2018-05-11T12:17:19.068,2.287,0.029,-0.196,-1.262
1526023039087,2018-05-11T12:17:19.087,2.306,0.104,-0.218,-1.214
1526023039107,2018-05-11T12:17:19.107,2.326,0.159,-0.240,-1.216
1526023039126,2018-05-11T12:17:19.126,2.345,0.174,-0.263,-1.250
1526023039145,2018-05-11T12:17:19.145,2.364,0.103,-0.204,-1.287
1526023039166,2018-05-11T12:17:19.166,2.385,0.005,-0.107,-1.335
1526023039185,2018-05-11T12:17:19.185,2.404,-0.057,-0.084,-1.291
1526023039206,2018-05-11T12:17:19.206,2.425,-0.027,-0.079,-1.289
1526023039225,2018-05-11T12:17:19.225,2.444,-0.009,-0.071,-1.301
1526023039245,2018-05-11T12:17:19.245,2.464,-0.054,-0.065,-1.205
1526023039264,2018-05-11T12:17:19.264,2.483,-0.089,-0.066,-1.113
1526023039285,2018-05-11T12:17:19.285,2.504,-0.103,-0.075,-1.068
1526023039304,2018-05-11T12:17:19.304,2.523,-0.121,-0.076,-1.049
1526023039324,2018-05-11T12:17:19.324,2.543,-0.104,-0.093,-1.026
1526023039343,2018-05-11T12:17:19.343,2.562,-0.065,-0.122,-1.039
1526023039362,2018-05-11T12:17:19.362,2.581,-0.050,-0.141,-1.084
1526023039383,2018-05-11T12:17:19.383,2.602,-0.054,-0.157,-1.065
1526023039402,2018-05-11T12:17:19.402,2.621,-0.058,-0.119,-1.099
1526023039422,2018-05-11T12:17:19.422,2.641,-0.017,-0.133,-1.125
1526023039441,2018-05-11T12:17:19.441,2.660,-0.008,-0.214,-1.054
1526023039462,2018-05-11T12:17:19.462,2.681,0.022,-0.190,-1.005
1526023039481,2018-05-11T12:17:19.481,2.700,0.028,-0.175,-1.025
1526023039501,2018-05-11T12:17:19.501,2.720,-0.026,-0.187,-1.025
1526023039520,2018-05-11T12:17:19.520,2.739,-0.064,-0.151,-1.003
1526023039541,2018-05-11T12:17:19.541,2.760,-0.071,-0.125,-1.019
1526023039560,2018-05-11T12:17:19.560,2.779,-0.105,-0.106,-1.014
1526023039579,2018-05-11T12:17:19.579,2.798,-0.160,-0.079,-1.006
