epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1526023036761,2018-05-11T12:17:16.761,0.000,-24.390,-24.085,-5.976
1526023036781,2018-05-11T12:17:16.781,0.020,-24.390,-25.976,-6.098
1526023036800,2018-05-11T12:17:16.800,0.039,-22.805,-34.695,-6.707
1526023036821,2018-05-11T12:17:16.821,0.060,-19.390,-36.463,-4.512
1526023036840,2018-05-11T12:17:16.840,0.079,-13.232,-24.512,-1.646
1526023036860,2018-05-11T12:17:16.860,0.099,-7.012,-12.134,-1.524
1526023036879,2018-05-11T12:17:16.879,0.118,-5.000,-13.354,-4.329
1526023036900,2018-05-11T12:17:16.900,0.139,-13.841,-31.220,-6.341
1526023036919,2018-05-11T12:17:16.919,0.158,-18.659,-42.866,-3.659
1526023036938,2018-05-11T12:17:16.938,0.177,-13.293,-41.280,-0.549
1526023036958,2018-05-11T12:17:16.958,0.197,-5.549,-32.134,-2.805
1526023036978,2018-05-11T12:17:16.978,0.217,-2.927,-12.805,-9.085
1526023036998,2018-05-11T12:17:16.998,0.237,0.732,15.549,-13.110
1526023037017,2018-05-11T12:17:17.017,0.256,3.171,41.646,-16.037
1526023037038,2018-05-11T12:17:17.038,0.277,-5.793,59.024,-22.805
1526023037057,2018-05-11T12:17:17.057,0.296,-16.585,63.963,-29.329
1526023037077,2018-05-11T12:17:17.077,0.316,-13.963,63.659,-31.037
1526023037096,2018-05-11T12:17:17.096,0.335,-0.244,79.085,-32.500
1526023037117,2018-05-11T12:17:17.117,0.356,12.622,96.890,-32.195
1526023037136,2018-05-11T12:17:17.136,0.375,14.512,89.756,-28.963
1526023037155,2018-05-11T12:17:17.155,0.394,2.622,55.427,-22.317
1526023037175,2018-05-11T12:17:17.175,0.414,-7.134,17.500,-14.695
1526023037194,2018-05-11T12:17:17.194,0.433,-3.110,-4.024,-9.451
1526023037215,2018-05-11T12:17:17.215,0.454,5.915,-9.207,-6.341
1526023037234,2018-05-11T12:17:17.234,0.473,8.354,-12.927,-3.720
1526023037254,2018-05-11T12:17:17.254,0.493,8.659,-19.878,-2.622
1526023037273,2018-05-11T12:17:17.273,0.512,6.463,-26.159,-1.768
1526023037294,2018-05-11T12:17:17.294,0.533,2.683,-27.744,0.000
1526023037313,2018-05-11T12:17:17.313,0.552,2.012,-21.402,1.707
1526023037333,2018-05-11T12:17:17.333,0.572,3.354,-10.915,4.878
1526023037353,2018-05-11T12:17:17.353,0.592,3.415,-7.866,7.195
1526023037372,2018-05-11T12:17:17.372,0.611,3.232,-13.354,7.012
1526023037392,2018-05-11T12:17:17.392,0.631,-1.463,-15.610,8.902
1526023037411,2018-05-11T12:17:17.411,0.650,-5.732,-14.085,12.927
1526023037432,2018-05-11T12:17:17.432,0.671,-5.305,-12.500,15.549
1526023037451,2018-05-11T12:17:17.451,0.690,-2.744,-8.293,14.512
1526023037471,2018-05-11T12:17:17.471,0.710,0.000,-4.207,11.037
