epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1526023036689,2018-05-11T12:17:16.689,0.000,-0.000004000,0.000033437,0.000044812
1526023036730,2018-05-11T12:17:16.730,0.041,-0.000001875,0.000032688,0.000046438
1526023036771,2018-05-11T12:17:16.771,0.082,-0.000001875,0.000030875,0.000045625
1526023036811,2018-05-11T12:17:16.811,0.122,0.000000312,0.000031250,0.000046438
1526023036852,2018-05-11T12:17:16.852,0.163,-0.000000750,0.000031937,0.000046063
1526023036893,2018-05-11T12:17:16.893,0.204,0.000000000,0.000031625,0.000046438
1526023036932,2018-05-11T12:17:16.932,0.243,0.000000000,0.000030875,0.000045625
1526023036973,2018-05-11T12:17:16.973,0.284,0.000000312,0.000031250,0.000046000
1526023037014,2018-05-11T12:17:17.014,0.325,-0.000000750,0.000032312,0.000046438
1526023037054,2018-05-11T12:17:17.054,0.365,-0.000002188,0.000031937,0.000047250
1526023037095,2018-05-11T12:17:17.095,0.406,-0.000005125,0.000031250,0.000048000
1526023037136,2018-05-11T12:17:17.136,0.447,-0.000008375,0.000031250,0.000048000
1526023037175,2018-05-11T12:17:17.175,0.486,-0.000008750,0.000030875,0.000047625
1526023037216,2018-05-11T12:17:17.216,0.527,-0.000009125,0.000031250,0.000047625
1526023037257,2018-05-11T12:17:17.257,0.568,-0.000009125,0.000031625,0.000047625
1526023037297,2018-05-11T12:17:17.297,0.608,-0.000008375,0.000030875,0.000048438
1526023037338,2018-05-11T12:17:17.338,0.649,-0.000007313,0.000031250,0.000047625
1526023037379,2018-05-11T12:17:17.379,0.690,-0.000006562,0.000032312,0.000046812
1526023037418,2018-05-11T12:17:17.418,0.729,-0.000007313,0.000030875,0.000047250
1526023037459,2018-05-11T12:17:17.459,0.770,-0.000006938,0.000032000,0.000047625
1526023037500,2018-05-11T12:17:17.500,0.811,-0.000005500,0.000031625,0.000047250
1526023037540,2018-05-11T12:17:17.540,0.851,-0.000004750,0.000032312,0.000048000
1526023037581,2018-05-11T12:17:17.581,0.892,-0.000006187,0.000032312,0.000046812
1526023037622,2018-05-11T12:17:17.622,0.933,-0.000005813,0.000031625,0.000047625
1526023037662,2018-05-11T12:17:17.662,0.973,-0.000006938,0.000031937,0.000047250
1526023037703,2018-05-11T12:17:17.703,1.014,-0.000007625,0.000032312,0.000047625
1526023037744,2018-05-11T12:17:17.744,1.055,-0.000005813,0.000032312,0.000046063
1526023037783,2018-05-11T12:17:17.783,1.094,-0.000006938,0.000032688,0.000047250
1526023037824,2018-05-11T12:17:17.824,1.135,-0.000006938,0.000032688,0.000047625
1526023037865,2018-05-11T12:17:17.865,1.176,-0.000005500,0.000032312,0.000046438
1526023037905,2018-05-11T12:17:17.905,1.216,-0.000005813,0.000031937,0.000046875
1526023037946,2018-05-11T12:17:17.946,1.257,-0.000006187,0.000032312,0.000046812
1526023037987,2018-05-11T12:17:17.987,1.298,-0.000005813,0.000032312,0.000047250
1526023038026,2018-05-11T12:17:18.026,1.337,-0.000006187,0.000033063,0.000047250
1526023038067,2018-05-11T12:17:18.067,1.378,-0.000006562,0.000033437,0.000045687
1526023038108,2018-05-11T12:17:18.108,1.419,-0.000005125,0.000033437,0.000046063
1526023038148,2018-05-11T12:17:18.148,1.459,-0.000005125,0.000034125,0.000046438
1526023038189,2018-05-11T12:17:18.189,1.500,-0.000005813,0.000034125,0.000046063
1526023038229,2018-05-11T12:17:18.229,1.540,-0.000005125,0.000034125,0.000044875
1526023038270,2018-05-11T12:17:18.270,1.581,-0.000004375,0.000033437,0.000045625
1526023038311,2018-05-11T12:17:18.311,1.622,-0.000003688,0.000033812,0.000044500
1526023038350,2018-05-11T12:17:18.350,1.661,-0.000004000,0.000034875,0.000045312
1526023038391,2018-05-11T12:17:18.391,1.702,-0.000003688,0.000033437,0.000043688
1526023038432,2018-05-11T12:17:18.432,1.743,-0.000002188,0.000033437,0.000043688
1526023038472,2018-05-11T12:17:18.472,1.783,-0.000002938,0.000034875,0.000043688
1526023038513,2018-05-11T12:17:18.513,1.824,-0.000000750,0.000034125,0.000042937
1526023038554,2018-05-11T12:17:18.554,1.865,0.000000688,0.000034875,0.000042125
1526023038593,2018-05-11T12:17:18.593,1.904,0.000002500,0.000034500,0.000042875
1526023038634,2018-05-11T12:17:18.634,1.945,0.000002125,0.000034500,0.000042125
1526023038675,2018-05-11T12:17:18.675,1.986,0.000001438,0.000033750,0.000043250
1526023038715,2018-05-11T12:17:18.715,2.026,0.000001813,0.000033063,0.000042500
1526023038756,2018-05-11T12:17:18.756,2.067,0.000001438,0.000032312,0.000044063
1526023038797,2018-05-11T12:17:18.797,2.108,0.000002500,0.000030500,0.000044500
1526023038836,2018-05-11T12:17:18.836,2.147,0.000002875,0.000029812,0.000046438
1526023038877,2018-05-11T12:17:18.877,2.188,0.000002875,0.000029062,0.000047187
1526023038918,2018-05-11T12:17:18.918,2.229,0.000000312,0.000028000,0.000048438
1526023038958,2018-05-11T12:17:18.958,2.269,0.000002875,0.000026875,0.000049187
1526023038999,2018-05-11T12:17:18.999,2.310,0.000002875,0.000027250,0.000047625
1526023039040,2018-05-11T12:17:19.040,2.351,0.000004688,0.000027625,0.000047250
1526023039080,2018-05-11T12:17:19.080,2.391,0.000005438,0.000025813,0.000047625
1526023039121,2018-05-11T12:17:19.121,2.432,0.000007562,0.000026187,0.000047250
1526023039162,2018-05-11T12:17:19.162,2.473,0.000009375,0.000024375,0.000048000
1526023039201,2018-05-11T12:17:19.201,2.512,0.000010500,0.000022875,0.000048000
1526023039242,2018-05-11T12:17:19.242,2.553,0.000012688,0.000022187,0.000046875
1526023039283,2018-05-11T12:17:19.283,2.594,0.000012313,0.000021437,0.000047250
1526023039323,2018-05-11T12:17:19.323,2.634,0.000014875,0.000020375,0.000047250
1526023039364,2018-05-11T12:17:19.364,2.675,0.000015563,0.000018562,0.000046875
1526023039405,2018-05-11T12:17:19.405,2.716,0.000014875,0.000017812,0.000048062
1526023039444,2018-05-11T12:17:19.444,2.755,0.000015188,0.000017812,0.000049187
1526023039485,2018-05-11T12:17:19.485,2.796,0.000014875,0.000016375,0.000050062
