elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
0,1.951,0.793,1.524
0,1.707,0.427,1.402
0,1.037,0.305,1.098
0.031,0.061,2.561,1.585
0.031,-1.402,3.963,0.549
0.031,-3.232,2.5,0.244
0.06,-3.963,0.122,1.341
0.06,-2.988,-1.89,1.646
0.06,-1.951,-2.561,1.402
0.089,-1.28,-2.5,1.098
0.09,-1.22,-2.134,0.915
0.09,-1.28,-1.646,0.976
0.12,-1.098,-1.707,1.037
0.12,-0.671,-1.829,1.098
0.12,-0.305,-1.524,0.915
0.15,-0.244,-0.732,0.671
0.15,-0.244,0.671,0.427
0.15,0.183,1.707,0.366
0.18,1.098,1.768,0.427
0.18,1.89,1.463,0.305
0.18,2.256,1.524,0.183
0.21,2.317,1.768,0.244
0.21,1.646,2.317,0.305
0.21,1.341,3.11,0.427
0.233,1.524,3.598,0.305
0.233,1.768,3.11,0.305
0.233,1.89,1.768,0.305
0.262,1.89,0,0.671
0.262,1.768,-1.28,1.098
0.262,0.854,-1.707,1.341
0.292,0,-1.28,1.402
0.292,-0.488,-0.549,1.22
0.292,-0.183,-0.122,1.28
0.322,1.037,0.183,1.402
0.322,2.378,0.244,1.341
0.322,3.11,0.244,1.463
0.353,3.293,0.732,1.585
0.353,3.049,1.89,1.585
0.353,2.439,1.829,1.707
0.385,1.768,1.098,1.951
0.385,1.585,0.183,2.134
0.385,1.829,-0.122,2.134
0.412,2.012,-0.122,2.073
0.412,2.378,-0.183,1.829
0.412,2.683,-0.61,1.646
0.442,2.988,-0.915,1.707
0.442,3.171,-0.61,1.646
0.442,3.293,0.122,1.646
0.473,3.476,0.854,1.585
0.473,3.354,0.854,1.768
0.473,2.927,0.488,1.646
0.502,2.195,-0.061,1.829
0.502,1.341,-0.305,2.134
0.502,0.61,-0.061,2.195
0.54,0.183,-0.183,2.317
0.54,0.366,-0.549,2.439
0.54,0.305,-0.488,2.317
0.562,0.061,0.122,1.951
0.562,0.122,0.732,1.768
0.562,0.915,1.402,1.89
0.592,1.89,2.256,1.768
0.592,2.5,2.866,1.524
0.592,2.683,2.927,1.463
0.623,2.317,2.195,1.585
0.623,1.463,2.073,1.463
0.623,0.976,1.768,0.976
0.652,0.793,1.159,0.732
0.652,1.524,0.61,0.732
0.653,1.951,0.061,0.488
0.682,2.256,-0.671,0.366
0.682,2.683,-1.341,0.671
0.682,3.11,-2.134,0.732
0.712,3.171,-2.256,0.793
