epoch (ms),time (05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1517305030946,2018-01-30T14:37:10.946,0.000,0.388,-0.072,-0.919
1517305030962,2018-01-30T14:37:10.962,0.016,0.388,-0.072,-0.919
1517305030969,2018-01-30T14:37:10.969,0.023,0.388,-0.071,-0.919
1517305030986,2018-01-30T14:37:10.986,0.040,0.387,-0.071,-0.919
1517305030997,2018-01-30T14:37:10.997,0.051,0.387,-0.070,-0.919
1517305031004,2018-01-30T14:37:11.004,0.058,0.387,-0.070,-0.919
1517305031013,2018-01-30T14:37:11.013,0.067,0.387,-0.070,-0.919
1517305031021,2018-01-30T14:37:11.021,0.075,0.388,-0.070,-0.919
1517305031029,2018-01-30T14:37:11.029,0.083,0.388,-0.071,-0.919
1517305031043,2018-01-30T14:37:11.043,0.097,0.389,-0.071,-0.919
1517305031050,2018-01-30T14:37:11.050,0.104,0.389,-0.072,-0.918
1517305031058,2018-01-30T14:37:11.058,0.112,0.389,-0.072,-0.918
1517305031073,2018-01-30T14:37:11.073,0.127,0.389,-0.072,-0.918
1517305031088,2018-01-30T14:37:11.088,0.142,0.389,-0.072,-0.918
1517305031095,2018-01-30T14:37:11.095,0.149,0.389,-0.072,-0.918
1517305031107,2018-01-30T14:37:11.107,0.161,0.389,-0.070,-0.919
1517305031112,2018-01-30T14:37:11.112,0.166,0.388,-0.069,-0.919
1517305031118,2018-01-30T14:37:11.118,0.172,0.387,-0.066,-0.919
1517305031132,2018-01-30T14:37:11.132,0.186,0.387,-0.064,-0.920
1517305031140,2018-01-30T14:37:11.140,0.194,0.386,-0.061,-0.921
1517305031154,2018-01-30T14:37:11.154,0.208,0.385,-0.058,-0.921
1517305031163,2018-01-30T14:37:11.163,0.217,0.384,-0.056,-0.922
1517305031171,2018-01-30T14:37:11.171,0.225,0.383,-0.055,-0.922
1517305031193,2018-01-30T14:37:11.193,0.247,0.383,-0.053,-0.922
1517305031200,2018-01-30T14:37:11.200,0.254,0.382,-0.052,-0.923
1517305031209,2018-01-30T14:37:11.209,0.263,0.382,-0.052,-0.923
1517305031215,2018-01-30T14:37:11.215,0.269,0.382,-0.051,-0.923
1517305031222,2018-01-30T14:37:11.222,0.276,0.382,-0.050,-0.923
1517305031230,2018-01-30T14:37:11.230,0.284,0.382,-0.050,-0.923
1517305031245,2018-01-30T14:37:11.245,0.299,0.382,-0.049,-0.923
1517305031254,2018-01-30T14:37:11.254,0.308,0.382,-0.049,-0.923
1517305031261,2018-01-30T14:37:11.261,0.315,0.382,-0.048,-0.923
1517305031277,2018-01-30T14:37:11.277,0.331,0.382,-0.048,-0.923
1517305031283,2018-01-30T14:37:11.283,0.337,0.383,-0.048,-0.923
1517305031298,2018-01-30T14:37:11.298,0.352,0.383,-0.047,-0.923
1517305031305,2018-01-30T14:37:11.305,0.359,0.383,-0.047,-0.923
1517305031313,2018-01-30T14:37:11.313,0.367,0.383,-0.046,-0.923
1517305031322,2018-01-30T14:37:11.322,0.376,0.383,-0.045,-0.923
1517305031336,2018-01-30T14:37:11.336,0.390,0.382,-0.043,-0.923
1517305031344,2018-01-30T14:37:11.344,0.398,0.382,-0.042,-0.923
1517305031360,2018-01-30T14:37:11.360,0.414,0.381,-0.040,-0.924
1517305031366,2018-01-30T14:37:11.366,0.420,0.381,-0.038,-0.924
1517305031375,2018-01-30T14:37:11.375,0.429,0.381,-0.037,-0.924
1517305031389,2018-01-30T14:37:11.389,0.443,0.381,-0.035,-0.924
1517305031395,2018-01-30T14:37:11.395,0.449,0.381,-0.034,-0.924
1517305031405,2018-01-30T14:37:11.405,0.459,0.382,-0.033,-0.924
1517305031427,2018-01-30T14:37:11.427,0.481,0.382,-0.032,-0.923
1517305031445,2018-01-30T14:37:11.445,0.499,0.383,-0.032,-0.923
1517305031450,2018-01-30T14:37:11.450,0.504,0.385,-0.031,-0.923
1517305031456,2018-01-30T14:37:11.456,0.510,0.386,-0.031,-0.922
1517305031461,2018-01-30T14:37:11.461,0.515,0.387,-0.031,-0.922
1517305031473,2018-01-30T14:37:11.473,0.527,0.388,-0.031,-0.921
1517305031479,2018-01-30T14:37:11.479,0.533,0.388,-0.030,-0.921
1517305031516,2018-01-30T14:37:11.516,0.570,0.389,-0.030,-0.921
1517305031520,2018-01-30T14:37:11.520,0.574,0.389,-0.030,-0.921
1517305031524,2018-01-30T14:37:11.524,0.578,0.388,-0.029,-0.921
1517305031534,2018-01-30T14:37:11.534,0.588,0.388,-0.028,-0.921
1517305031563,2018-01-30T14:37:11.563,0.617,0.387,-0.027,-0.922
1517305031666,2018-01-30T14:37:11.666,0.720,0.388,-0.028,-0.921
1517305031676,2018-01-30T14:37:11.676,0.730,0.389,-0.029,-0.921
1517305031680,2018-01-30T14:37:11.680,0.734,0.389,-0.029,-0.921
1517305031685,2018-01-30T14:37:11.685,0.739,0.389,-0.029,-0.921
1517305031690,2018-01-30T14:37:11.690,0.744,0.388,-0.028,-0.921
