epoch (ms),time (05:00),elapsed (s),pitch (deg),roll (deg),yaw (deg),heading (deg)
1517305092009,2018-01-30T14:38:12.009,0.000,63.201,-13.794,359.625,359.625
1517305092016,2018-01-30T14:38:12.016,0.007,62.866,-13.925,359.234,359.234
1517305092023,2018-01-30T14:38:12.023,0.014,62.408,-14.058,358.745,358.745
1517305092046,2018-01-30T14:38:12.046,0.037,61.659,-14.172,357.909,357.909
1517305092056,2018-01-30T14:38:12.056,0.047,60.706,-14.266,356.770,356.770
1517305092063,2018-01-30T14:38:12.063,0.054,59.760,-14.334,355.779,355.779
1517305092070,2018-01-30T14:38:12.070,0.061,58.955,-14.371,355.062,355.062
1517305092083,2018-01-30T14:38:12.083,0.074,58.282,-14.391,354.437,354.437
1517305092091,2018-01-30T14:38:12.091,0.082,57.599,-14.426,353.677,353.677
1517305092098,2018-01-30T14:38:12.098,0.089,56.793,-14.511,352.637,352.637
1517305092106,2018-01-30T14:38:12.106,0.097,55.830,-14.676,351.253,351.253
1517305092121,2018-01-30T14:38:12.121,0.112,54.708,-14.936,349.500,349.500
1517305092128,2018-01-30T14:38:12.128,0.119,53.480,-15.274,347.446,347.446
1517305092135,2018-01-30T14:38:12.135,0.126,52.266,-15.645,345.300,345.300
1517305092151,2018-01-30T14:38:12.151,0.142,51.137,-15.943,343.170,343.170
1517305092159,2018-01-30T14:38:12.159,0.150,50.139,-16.050,341.146,341.146
1517305092166,2018-01-30T14:38:12.166,0.157,49.320,-16.179,339.530,339.530
1517305092181,2018-01-30T14:38:12.181,0.172,48.609,-16.535,338.224,338.224
1517305092188,2018-01-30T14:38:12.188,0.179,48.016,-16.983,337.001,337.001
1517305092195,2018-01-30T14:38:12.195,0.186,47.492,-17.374,335.927,335.927
1517305092211,2018-01-30T14:38:12.211,0.202,47.015,-17.696,335.057,335.057
1517305092218,2018-01-30T14:38:12.218,0.209,46.676,-18.015,334.344,334.344
1517305092226,2018-01-30T14:38:12.226,0.217,46.476,-18.370,333.710,333.710
1517305092243,2018-01-30T14:38:12.243,0.234,46.332,-18.742,333.175,333.175
1517305092256,2018-01-30T14:38:12.256,0.247,46.177,-19.069,332.779,332.779
1517305092263,2018-01-30T14:38:12.263,0.254,46.015,-19.302,332.599,332.599
1517305092271,2018-01-30T14:38:12.271,0.262,45.888,-19.361,332.673,332.673
1517305092278,2018-01-30T14:38:12.278,0.269,45.777,-19.222,332.921,332.921
1517305092293,2018-01-30T14:38:12.293,0.284,45.584,-19.124,333.047,333.047
1517305092301,2018-01-30T14:38:12.301,0.292,45.419,-19.069,333.122,333.122
