epoch (ms),time (05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1517305092054,2018-01-30T14:38:12.054,0.000,0.043,-0.028,0.172
1517305092061,2018-01-30T14:38:12.061,0.007,-0.007,-0.114,0.042
1517305092069,2018-01-30T14:38:12.069,0.015,-0.093,-0.141,-0.015
1517305092077,2018-01-30T14:38:12.077,0.023,-0.089,-0.107,0.027
1517305092085,2018-01-30T14:38:12.085,0.031,-0.021,-0.077,0.033
1517305092094,2018-01-30T14:38:12.094,0.040,0.051,-0.067,-0.016
1517305092100,2018-01-30T14:38:12.100,0.046,0.055,-0.070,-0.073
1517305092108,2018-01-30T14:38:12.108,0.054,0.057,-0.071,-0.087
1517305092125,2018-01-30T14:38:12.125,0.071,0.007,-0.090,-0.058
1517305092130,2018-01-30T14:38:12.130,0.076,-0.060,-0.119,-0.036
1517305092139,2018-01-30T14:38:12.139,0.085,-0.060,-0.146,-0.046
1517305092154,2018-01-30T14:38:12.154,0.100,-0.078,-0.118,-0.084
1517305092162,2018-01-30T14:38:12.162,0.108,-0.263,-0.057,-0.038
1517305092168,2018-01-30T14:38:12.168,0.114,-0.271,-0.122,-0.003
1517305092183,2018-01-30T14:38:12.183,0.129,-0.190,-0.130,0.036
1517305092190,2018-01-30T14:38:12.190,0.136,-0.136,-0.064,0.040
1517305092197,2018-01-30T14:38:12.197,0.143,-0.167,-0.059,0.043
1517305092212,2018-01-30T14:38:12.212,0.158,-0.201,-0.108,0.029
1517305092220,2018-01-30T14:38:12.220,0.166,-0.185,-0.145,0.001
1517305092234,2018-01-30T14:38:12.234,0.180,-0.155,-0.133,0.000
1517305092245,2018-01-30T14:38:12.245,0.191,-0.080,-0.127,0.013
1517305092260,2018-01-30T14:38:12.260,0.206,-0.035,-0.135,0.022
1517305092266,2018-01-30T14:38:12.266,0.212,-0.017,-0.125,0.016
1517305092273,2018-01-30T14:38:12.273,0.219,-0.004,-0.080,-0.048
1517305092280,2018-01-30T14:38:12.280,0.226,0.012,-0.160,-0.021
1517305092295,2018-01-30T14:38:12.295,0.241,-0.022,-0.209,0.002
1517305092304,2018-01-30T14:38:12.304,0.250,-0.025,-0.208,-0.023
1517305092312,2018-01-30T14:38:12.312,0.258,0.011,-0.227,-0.041
1517305092326,2018-01-30T14:38:12.326,0.272,0.037,-0.191,-0.064
1517305092332,2018-01-30T14:38:12.332,0.278,0.049,-0.144,-0.087
1517305092341,2018-01-30T14:38:12.341,0.287,0.059,-0.144,-0.078
1517305092356,2018-01-30T14:38:12.356,0.302,0.046,-0.161,-0.066
1517305092384,2018-01-30T14:38:12.384,0.330,0.024,-0.197,-0.041
1517305092399,2018-01-30T14:38:12.399,0.345,0.020,-0.232,-0.027
1517305092407,2018-01-30T14:38:12.407,0.353,0.045,-0.228,-0.067
1517305092423,2018-01-30T14:38:12.423,0.369,0.051,-0.229,-0.091
