epoch (ms),time (05:00),elapsed (s),pitch (deg),roll (deg),yaw (deg),heading (deg)
1517304943420,2018-01-30T14:35:43.420,0.000,-33.767,-7.811,235.308,235.308
1517304943435,2018-01-30T14:35:43.435,0.015,-33.693,-7.645,236.908,236.908
1517304943450,2018-01-30T14:35:43.450,0.030,-33.497,-7.390,238.639,238.639
1517304943460,2018-01-30T14:35:43.460,0.040,-33.212,-7.037,240.526,240.526
1517304943465,2018-01-30T14:35:43.465,0.045,-32.883,-6.631,242.582,242.582
1517304943478,2018-01-30T14:35:43.478,0.058,-32.557,-6.222,244.799,244.799
1517304943484,2018-01-30T14:35:43.484,0.064,-32.253,-5.857,247.146,247.146
1517304943495,2018-01-30T14:35:43.495,0.075,-32.000,-5.564,249.588,249.588
1517304943503,2018-01-30T14:35:43.503,0.083,-31.822,-5.340,252.091,252.091
1517304943511,2018-01-30T14:35:43.511,0.091,-31.726,-5.151,254.596,254.596
1517304943526,2018-01-30T14:35:43.526,0.106,-31.698,-4.952,257.055,257.055
1517304943535,2018-01-30T14:35:43.535,0.115,-31.730,-4.700,259.454,259.454
1517304943543,2018-01-30T14:35:43.543,0.123,-31.813,-4.345,261.767,261.767
1517304943562,2018-01-30T14:35:43.562,0.142,-31.952,-3.866,263.966,263.966
1517304943574,2018-01-30T14:35:43.574,0.154,-32.167,-3.317,266.076,266.076
1517304943586,2018-01-30T14:35:43.586,0.166,-32.529,-2.744,268.197,268.197
1517304943593,2018-01-30T14:35:43.593,0.173,-33.227,-2.060,270.727,270.727
1517304943601,2018-01-30T14:35:43.601,0.181,-34.090,-1.479,273.689,273.689
1517304943608,2018-01-30T14:35:43.608,0.188,-34.923,-1.081,276.854,276.854
1517304943616,2018-01-30T14:35:43.616,0.196,-35.723,-0.787,280.081,280.081
1517304943624,2018-01-30T14:35:43.624,0.204,-36.598,-0.564,283.288,283.288
1517304943638,2018-01-30T14:35:43.638,0.218,-37.614,-0.418,286.487,286.487
1517304943647,2018-01-30T14:35:43.647,0.227,-38.756,-0.353,289.621,289.621
1517304943660,2018-01-30T14:35:43.660,0.240,-39.986,-0.341,292.575,292.575
1517304943669,2018-01-30T14:35:43.669,0.249,-41.213,-0.331,295.210,295.210
1517304943706,2018-01-30T14:35:43.706,0.286,-42.274,-0.206,297.319,297.319
1517304943706,2018-01-30T14:35:43.706,0.286,-43.057,0.182,298.678,298.678
1517304943707,2018-01-30T14:35:43.707,0.287,-43.688,0.756,299.559,299.559
1517304943709,2018-01-30T14:35:43.709,0.289,-44.348,1.371,300.362,300.362
1517304943714,2018-01-30T14:35:43.714,0.294,-45.181,1.933,301.317,301.317
1517304943727,2018-01-30T14:35:43.727,0.307,-46.245,2.390,302.490,302.490
1517304943736,2018-01-30T14:35:43.736,0.316,-47.463,2.719,303.811,303.811
1517304943751,2018-01-30T14:35:43.751,0.331,-48.745,2.949,305.178,305.178
1517304943760,2018-01-30T14:35:43.760,0.340,-50.003,3.184,306.504,306.504
1517304943772,2018-01-30T14:35:43.772,0.352,-51.234,3.506,307.860,307.860
1517304943781,2018-01-30T14:35:43.781,0.361,-52.476,3.819,309.401,309.401
1517304943795,2018-01-30T14:35:43.795,0.375,-53.776,4.029,311.175,311.175
1517304943805,2018-01-30T14:35:43.805,0.385,-54.979,4.248,312.882,312.882
1517304943819,2018-01-30T14:35:43.819,0.399,-56.125,4.472,314.606,314.606
1517304943827,2018-01-30T14:35:43.827,0.407,-57.251,4.631,316.372,316.372
1517304943841,2018-01-30T14:35:43.841,0.421,-58.403,4.696,318.190,318.190
1517304943849,2018-01-30T14:35:43.849,0.429,-59.571,4.640,320.055,320.055
1517304943870,2018-01-30T14:35:43.870,0.450,-60.729,4.484,321.955,321.955
1517304943879,2018-01-30T14:35:43.879,0.459,-61.859,4.259,323.857,323.857
1517304943892,2018-01-30T14:35:43.892,0.472,-62.962,3.965,325.723,325.723
1517304943902,2018-01-30T14:35:43.902,0.482,-64.055,3.598,327.539,327.539
1517304943915,2018-01-30T14:35:43.915,0.495,-65.120,3.188,329.315,329.315
