epoch (ms),time (05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1517304943527,2018-01-30T14:35:43.527,0.000,-0.086,0.523,0.848
1517304943537,2018-01-30T14:35:43.537,0.010,-0.082,0.524,0.848
1517304943558,2018-01-30T14:35:43.558,0.031,-0.076,0.526,0.847
1517304943563,2018-01-30T14:35:43.563,0.036,-0.067,0.528,0.847
1517304943577,2018-01-30T14:35:43.577,0.050,-0.058,0.531,0.845
1517304943591,2018-01-30T14:35:43.591,0.064,-0.048,0.537,0.842
1517304943594,2018-01-30T14:35:43.594,0.067,-0.036,0.548,0.836
1517304943602,2018-01-30T14:35:43.602,0.075,-0.026,0.560,0.828
1517304943609,2018-01-30T14:35:43.609,0.082,-0.019,0.572,0.820
1517304943617,2018-01-30T14:35:43.617,0.090,-0.014,0.584,0.812
1517304943625,2018-01-30T14:35:43.625,0.098,-0.010,0.596,0.803
1517304943640,2018-01-30T14:35:43.640,0.113,-0.007,0.610,0.792
1517304943653,2018-01-30T14:35:43.653,0.126,-0.006,0.626,0.780
1517304943662,2018-01-30T14:35:43.662,0.135,-0.006,0.643,0.766
1517304943675,2018-01-30T14:35:43.675,0.148,-0.006,0.659,0.752
1517304943706,2018-01-30T14:35:43.706,0.179,-0.004,0.673,0.740
1517304943706,2018-01-30T14:35:43.706,0.179,0.003,0.683,0.731
1517304943708,2018-01-30T14:35:43.708,0.181,0.013,0.691,0.723
1517304943711,2018-01-30T14:35:43.711,0.184,0.024,0.699,0.715
1517304943720,2018-01-30T14:35:43.720,0.193,0.034,0.709,0.704
1517304943729,2018-01-30T14:35:43.729,0.202,0.042,0.722,0.691
1517304943742,2018-01-30T14:35:43.742,0.215,0.047,0.736,0.675
1517304943755,2018-01-30T14:35:43.755,0.228,0.051,0.751,0.659
1517304943764,2018-01-30T14:35:43.764,0.237,0.056,0.765,0.642
1517304943774,2018-01-30T14:35:43.774,0.247,0.061,0.778,0.625
1517304943789,2018-01-30T14:35:43.789,0.262,0.067,0.791,0.608
1517304943796,2018-01-30T14:35:43.796,0.269,0.070,0.805,0.589
1517304943810,2018-01-30T14:35:43.810,0.283,0.074,0.817,0.572
1517304943821,2018-01-30T14:35:43.821,0.294,0.078,0.828,0.556
1517304943832,2018-01-30T14:35:43.832,0.305,0.081,0.838,0.539
1517304943842,2018-01-30T14:35:43.842,0.315,0.082,0.849,0.522
1517304943862,2018-01-30T14:35:43.862,0.335,0.081,0.859,0.505
1517304943872,2018-01-30T14:35:43.872,0.345,0.078,0.870,0.487
1517304943885,2018-01-30T14:35:43.885,0.358,0.074,0.879,0.470
1517304943894,2018-01-30T14:35:43.894,0.367,0.069,0.889,0.453
1517304943908,2018-01-30T14:35:43.908,0.381,0.063,0.897,0.437
1517304943917,2018-01-30T14:35:43.917,0.390,0.056,0.906,0.420
1517304943929,2018-01-30T14:35:43.929,0.402,0.048,0.913,0.404
1517304943939,2018-01-30T14:35:43.939,0.412,0.042,0.920,0.389
1517304943962,2018-01-30T14:35:43.962,0.435,0.036,0.926,0.375
1517304943969,2018-01-30T14:35:43.969,0.442,0.033,0.932,0.361
1517304943978,2018-01-30T14:35:43.978,0.451,0.030,0.937,0.348
1517304943985,2018-01-30T14:35:43.985,0.458,0.027,0.941,0.336
1517304943997,2018-01-30T14:35:43.997,0.470,0.024,0.945,0.325
1517304944006,2018-01-30T14:35:44.006,0.479,0.022,0.949,0.314
1517304944012,2018-01-30T14:35:44.012,0.485,0.020,0.953,0.303
1517304944020,2018-01-30T14:35:44.020,0.493,0.020,0.956,0.292
1517304944027,2018-01-30T14:35:44.027,0.500,0.019,0.959,0.282
1517304944035,2018-01-30T14:35:44.035,0.508,0.019,0.962,0.272
1517304944042,2018-01-30T14:35:44.042,0.515,0.017,0.965,0.263
1517304944051,2018-01-30T14:35:44.051,0.524,0.014,0.967,0.253
1517304944061,2018-01-30T14:35:44.061,0.534,0.010,0.970,0.244
1517304944066,2018-01-30T14:35:44.066,0.539,0.005,0.972,0.235
1517304944076,2018-01-30T14:35:44.076,0.549,0.000,0.974,0.227
1517304944082,2018-01-30T14:35:44.082,0.555,-0.006,0.976,0.218
1517304944090,2018-01-30T14:35:44.090,0.563,-0.012,0.978,0.209
1517304944112,2018-01-30T14:35:44.112,0.585,-0.020,0.980,0.199
1517304944123,2018-01-30T14:35:44.123,0.596,-0.028,0.982,0.188
1517304944136,2018-01-30T14:35:44.136,0.609,-0.035,0.983,0.178
1517304944142,2018-01-30T14:35:44.142,0.615,-0.042,0.985,0.168
1517304944150,2018-01-30T14:35:44.150,0.623,-0.048,0.986,0.158
1517304944158,2018-01-30T14:35:44.158,0.631,-0.053,0.987,0.148
1517304944197,2018-01-30T14:35:44.197,0.670,-0.059,0.988,0.139
1517304944219,2018-01-30T14:35:44.219,0.692,-0.064,0.989,0.130
1517304944225,2018-01-30T14:35:44.225,0.698,-0.068,0.991,0.119
1517304944228,2018-01-30T14:35:44.228,0.701,-0.071,0.992,0.109
1517304944232,2018-01-30T14:35:44.232,0.705,-0.075,0.992,0.099
1517304944235,2018-01-30T14:35:44.235,0.708,-0.079,0.993,0.090
1517304944240,2018-01-30T14:35:44.240,0.713,-0.080,0.993,0.083
1517304944243,2018-01-30T14:35:44.243,0.716,-0.079,0.994,0.077
1517304944247,2018-01-30T14:35:44.247,0.720,-0.078,0.994,0.073
1517304944259,2018-01-30T14:35:44.259,0.732,-0.075,0.995,0.071
1517304944273,2018-01-30T14:35:44.273,0.746,-0.074,0.995,0.070
1517304944281,2018-01-30T14:35:44.281,0.754,-0.074,0.995,0.068
1517304944293,2018-01-30T14:35:44.293,0.766,-0.076,0.995,0.063
1517304944296,2018-01-30T14:35:44.296,0.769,-0.079,0.995,0.056
1517304944301,2018-01-30T14:35:44.301,0.774,-0.084,0.995,0.050
1517304944320,2018-01-30T14:35:44.320,0.793,-0.089,0.995,0.043
1517304944328,2018-01-30T14:35:44.328,0.801,-0.093,0.995,0.035
1517304944331,2018-01-30T14:35:44.331,0.804,-0.097,0.995,0.027
1517304944340,2018-01-30T14:35:44.340,0.813,-0.099,0.995,0.020
1517304944346,2018-01-30T14:35:44.346,0.819,-0.098,0.995,0.015
1517304944352,2018-01-30T14:35:44.352,0.825,-0.092,0.996,0.013
1517304944374,2018-01-30T14:35:44.374,0.847,-0.084,0.996,0.012
1517304944382,2018-01-30T14:35:44.382,0.855,-0.075,0.997,0.012
1517304944388,2018-01-30T14:35:44.388,0.861,-0.066,0.998,0.013
1517304944398,2018-01-30T14:35:44.398,0.871,-0.059,0.998,0.015
1517304944408,2018-01-30T14:35:44.408,0.881,-0.055,0.998,0.018
1517304944415,2018-01-30T14:35:44.415,0.888,-0.054,0.998,0.019
1517304944427,2018-01-30T14:35:44.427,0.900,-0.055,0.998,0.018
1517304944435,2018-01-30T14:35:44.435,0.908,-0.057,0.998,0.015
1517304944449,2018-01-30T14:35:44.449,0.922,-0.056,0.998,0.012
1517304944468,2018-01-30T14:35:44.468,0.941,-0.048,0.999,0.010
1517304944477,2018-01-30T14:35:44.477,0.950,-0.035,0.999,0.011
1517304944482,2018-01-30T14:35:44.482,0.955,-0.017,1.000,0.014
1517304944488,2018-01-30T14:35:44.488,0.961,0.002,1.000,0.020
1517304944494,2018-01-30T14:35:44.494,0.967,0.019,0.999,0.027
1517304944509,2018-01-30T14:35:44.509,0.982,0.032,0.999,0.034
1517304944516,2018-01-30T14:35:44.516,0.989,0.039,0.998,0.040
1517304944531,2018-01-30T14:35:44.531,1.004,0.041,0.998,0.043
1517304944538,2018-01-30T14:35:44.538,1.011,0.038,0.998,0.045
1517304944546,2018-01-30T14:35:44.546,1.019,0.030,0.999,0.044
1517304944553,2018-01-30T14:35:44.553,1.026,0.020,0.999,0.041
1517304944571,2018-01-30T14:35:44.571,1.044,0.009,0.999,0.038
1517304944577,2018-01-30T14:35:44.577,1.050,-0.002,0.999,0.035
1517304944584,2018-01-30T14:35:44.584,1.057,-0.010,0.999,0.034
1517304944598,2018-01-30T14:35:44.598,1.071,-0.017,0.999,0.033
1517304944606,2018-01-30T14:35:44.606,1.079,-0.022,0.999,0.033
1517304944615,2018-01-30T14:35:44.615,1.088,-0.026,0.999,0.034
1517304944630,2018-01-30T14:35:44.630,1.103,-0.030,0.999,0.036
1517304944636,2018-01-30T14:35:44.636,1.109,-0.033,0.999,0.037
1517304944651,2018-01-30T14:35:44.651,1.124,-0.036,0.999,0.038
1517304944665,2018-01-30T14:35:44.665,1.138,-0.040,0.998,0.039
1517304944672,2018-01-30T14:35:44.672,1.145,-0.044,0.998,0.041
1517304944681,2018-01-30T14:35:44.681,1.154,-0.047,0.998,0.044
1517304944689,2018-01-30T14:35:44.689,1.162,-0.050,0.998,0.047
1517304944696,2018-01-30T14:35:44.696,1.169,-0.053,0.997,0.052
1517304944711,2018-01-30T14:35:44.711,1.184,-0.057,0.997,0.057
1517304944719,2018-01-30T14:35:44.719,1.192,-0.060,0.996,0.061
1517304944726,2018-01-30T14:35:44.726,1.199,-0.063,0.996,0.065
1517304944742,2018-01-30T14:35:44.742,1.215,-0.064,0.995,0.070
1517304944749,2018-01-30T14:35:44.749,1.222,-0.062,0.995,0.075
1517304944757,2018-01-30T14:35:44.757,1.230,-0.058,0.995,0.081
1517304944771,2018-01-30T14:35:44.771,1.244,-0.052,0.995,0.086
1517304944781,2018-01-30T14:35:44.781,1.254,-0.044,0.995,0.091
1517304944786,2018-01-30T14:35:44.786,1.259,-0.036,0.995,0.094
1517304944802,2018-01-30T14:35:44.802,1.275,-0.030,0.995,0.095
1517304944809,2018-01-30T14:35:44.809,1.282,-0.026,0.995,0.093
1517304944824,2018-01-30T14:35:44.824,1.297,-0.024,0.996,0.090
1517304944831,2018-01-30T14:35:44.831,1.304,-0.025,0.996,0.084
1517304944840,2018-01-30T14:35:44.840,1.313,-0.028,0.997,0.077
1517304944855,2018-01-30T14:35:44.855,1.328,-0.032,0.997,0.069
1517304944862,2018-01-30T14:35:44.862,1.335,-0.038,0.998,0.059
1517304944869,2018-01-30T14:35:44.869,1.342,-0.044,0.998,0.049
1517304944885,2018-01-30T14:35:44.885,1.358,-0.050,0.998,0.039
1517304944892,2018-01-30T14:35:44.892,1.365,-0.056,0.998,0.029
1517304944899,2018-01-30T14:35:44.899,1.372,-0.061,0.998,0.021
1517304944920,2018-01-30T14:35:44.920,1.393,-0.065,0.998,0.013
1517304944927,2018-01-30T14:35:44.927,1.400,-0.068,0.998,0.006
1517304944935,2018-01-30T14:35:44.935,1.408,-0.070,0.998,-0.001
1517304944951,2018-01-30T14:35:44.951,1.424,-0.071,0.997,-0.008
1517304944958,2018-01-30T14:35:44.958,1.431,-0.071,0.997,-0.015
1517304944966,2018-01-30T14:35:44.966,1.439,-0.069,0.997,-0.021
1517304944974,2018-01-30T14:35:44.974,1.447,-0.065,0.997,-0.027
1517304944983,2018-01-30T14:35:44.983,1.456,-0.059,0.998,-0.031
1517304944989,2018-01-30T14:35:44.989,1.462,-0.051,0.998,-0.033
1517304945004,2018-01-30T14:35:45.004,1.477,-0.039,0.999,-0.033
1517304945011,2018-01-30T14:35:45.011,1.484,-0.026,0.999,-0.032
1517304945019,2018-01-30T14:35:45.019,1.492,-0.011,1.000,-0.030
1517304945033,2018-01-30T14:35:45.033,1.506,0.003,1.000,-0.027
1517304945041,2018-01-30T14:35:45.041,1.514,0.017,1.000,-0.026
1517304945056,2018-01-30T14:35:45.056,1.529,0.029,0.999,-0.025
1517304945063,2018-01-30T14:35:45.063,1.536,0.040,0.999,-0.026
1517304945071,2018-01-30T14:35:45.071,1.544,0.051,0.998,-0.026
1517304945086,2018-01-30T14:35:45.086,1.559,0.061,0.998,-0.025
1517304945093,2018-01-30T14:35:45.093,1.566,0.071,0.997,-0.024
1517304945101,2018-01-30T14:35:45.101,1.574,0.081,0.996,-0.023
1517304945116,2018-01-30T14:35:45.116,1.589,0.091,0.996,-0.022
1517304945123,2018-01-30T14:35:45.123,1.596,0.101,0.995,-0.020
1517304945131,2018-01-30T14:35:45.131,1.604,0.112,0.994,-0.020
1517304945146,2018-01-30T14:35:45.146,1.619,0.123,0.992,-0.021
1517304945154,2018-01-30T14:35:45.154,1.627,0.133,0.991,-0.024
1517304945161,2018-01-30T14:35:45.161,1.634,0.143,0.989,-0.028
1517304945176,2018-01-30T14:35:45.176,1.649,0.153,0.988,-0.030
1517304945184,2018-01-30T14:35:45.184,1.657,0.164,0.986,-0.031
1517304945191,2018-01-30T14:35:45.191,1.664,0.176,0.984,-0.032
1517304945206,2018-01-30T14:35:45.206,1.679,0.188,0.982,-0.033
1517304945213,2018-01-30T14:35:45.213,1.686,0.200,0.979,-0.034
1517304945222,2018-01-30T14:35:45.222,1.695,0.210,0.977,-0.035
1517304945237,2018-01-30T14:35:45.237,1.710,0.221,0.975,-0.037
1517304945245,2018-01-30T14:35:45.245,1.718,0.231,0.972,-0.039
1517304945259,2018-01-30T14:35:45.259,1.732,0.241,0.970,-0.041
1517304945272,2018-01-30T14:35:45.272,1.745,0.251,0.967,-0.044
1517304945280,2018-01-30T14:35:45.280,1.753,0.260,0.964,-0.047
1517304945287,2018-01-30T14:35:45.287,1.760,0.269,0.962,-0.050
1517304945297,2018-01-30T14:35:45.297,1.770,0.279,0.959,-0.051
1517304945303,2018-01-30T14:35:45.303,1.776,0.289,0.956,-0.052
1517304945319,2018-01-30T14:35:45.319,1.792,0.298,0.953,-0.054
1517304945326,2018-01-30T14:35:45.326,1.799,0.305,0.951,-0.055
1517304945334,2018-01-30T14:35:45.334,1.807,0.311,0.949,-0.056
1517304945348,2018-01-30T14:35:45.348,1.821,0.316,0.947,-0.054
1517304945363,2018-01-30T14:35:45.363,1.836,0.322,0.946,-0.049
1517304945372,2018-01-30T14:35:45.372,1.845,0.326,0.945,-0.041
1517304945381,2018-01-30T14:35:45.381,1.854,0.328,0.944,-0.033
1517304945395,2018-01-30T14:35:45.395,1.868,0.328,0.944,-0.026
1517304945402,2018-01-30T14:35:45.402,1.875,0.325,0.945,-0.022
1517304945417,2018-01-30T14:35:45.417,1.890,0.320,0.947,-0.020
1517304945424,2018-01-30T14:35:45.424,1.897,0.315,0.949,-0.017
1517304945432,2018-01-30T14:35:45.432,1.905,0.314,0.949,-0.011
1517304945440,2018-01-30T14:35:45.440,1.913,0.320,0.947,-0.002
1517304945447,2018-01-30T14:35:45.447,1.920,0.333,0.943,0.009
1517304945461,2018-01-30T14:35:45.461,1.934,0.349,0.937,0.018
1517304945469,2018-01-30T14:35:45.469,1.942,0.367,0.930,0.025
1517304945479,2018-01-30T14:35:45.479,1.952,0.382,0.924,0.028
1517304945491,2018-01-30T14:35:45.491,1.964,0.395,0.918,0.029
1517304945500,2018-01-30T14:35:45.500,1.973,0.402,0.915,0.028
1517304945509,2018-01-30T14:35:45.509,1.982,0.405,0.914,0.024
1517304945522,2018-01-30T14:35:45.522,1.995,0.404,0.915,0.019
1517304945536,2018-01-30T14:35:45.536,2.009,0.398,0.917,0.012
1517304945544,2018-01-30T14:35:45.544,2.017,0.390,0.921,0.005
1517304945552,2018-01-30T14:35:45.552,2.025,0.380,0.925,-0.002
1517304945558,2018-01-30T14:35:45.558,2.031,0.369,0.929,-0.008
1517304945588,2018-01-30T14:35:45.588,2.061,0.356,0.934,-0.013
1517304945595,2018-01-30T14:35:45.595,2.068,0.341,0.940,-0.018
1517304945603,2018-01-30T14:35:45.603,2.076,0.322,0.947,-0.023
1517304945610,2018-01-30T14:35:45.610,2.083,0.299,0.954,-0.030
1517304945617,2018-01-30T14:35:45.617,2.090,0.275,0.961,-0.036
1517304945625,2018-01-30T14:35:45.625,2.098,0.253,0.967,-0.042
1517304945633,2018-01-30T14:35:45.633,2.106,0.236,0.971,-0.046
1517304945641,2018-01-30T14:35:45.641,2.114,0.228,0.973,-0.048
1517304945649,2018-01-30T14:35:45.649,2.122,0.228,0.972,-0.051
1517304945664,2018-01-30T14:35:45.664,2.137,0.234,0.971,-0.054
1517304945672,2018-01-30T14:35:45.672,2.145,0.244,0.968,-0.057
1517304945679,2018-01-30T14:35:45.679,2.152,0.252,0.966,-0.059
1517304945694,2018-01-30T14:35:45.694,2.167,0.256,0.965,-0.063
1517304945701,2018-01-30T14:35:45.701,2.174,0.256,0.964,-0.068
1517304945709,2018-01-30T14:35:45.709,2.182,0.252,0.965,-0.074
1517304945724,2018-01-30T14:35:45.724,2.197,0.244,0.966,-0.080
1517304945731,2018-01-30T14:35:45.731,2.204,0.234,0.968,-0.088
1517304945739,2018-01-30T14:35:45.739,2.212,0.220,0.971,-0.096
1517304945754,2018-01-30T14:35:45.754,2.227,0.209,0.973,-0.103
1517304945762,2018-01-30T14:35:45.762,2.235,0.202,0.973,-0.113
1517304945770,2018-01-30T14:35:45.770,2.243,0.200,0.972,-0.123
1517304945785,2018-01-30T14:35:45.785,2.258,0.200,0.971,-0.132
1517304945791,2018-01-30T14:35:45.791,2.264,0.200,0.970,-0.141
1517304945798,2018-01-30T14:35:45.798,2.271,0.200,0.968,-0.149
1517304945814,2018-01-30T14:35:45.814,2.287,0.200,0.967,-0.158
1517304945822,2018-01-30T14:35:45.822,2.295,0.200,0.966,-0.166
1517304945828,2018-01-30T14:35:45.828,2.301,0.197,0.965,-0.175
1517304945844,2018-01-30T14:35:45.844,2.317,0.193,0.964,-0.183
1517304945853,2018-01-30T14:35:45.853,2.326,0.189,0.963,-0.191
1517304945867,2018-01-30T14:35:45.867,2.340,0.186,0.962,-0.198
1517304945874,2018-01-30T14:35:45.874,2.347,0.183,0.962,-0.204
1517304945881,2018-01-30T14:35:45.881,2.354,0.179,0.961,-0.210
1517304945896,2018-01-30T14:35:45.896,2.369,0.174,0.961,-0.214
1517304945903,2018-01-30T14:35:45.903,2.376,0.169,0.961,-0.220
1517304945911,2018-01-30T14:35:45.911,2.384,0.165,0.961,-0.224
1517304945926,2018-01-30T14:35:45.926,2.399,0.161,0.961,-0.227
1517304945934,2018-01-30T14:35:45.934,2.407,0.157,0.961,-0.229
1517304945941,2018-01-30T14:35:45.941,2.414,0.154,0.960,-0.233
1517304945956,2018-01-30T14:35:45.956,2.429,0.151,0.959,-0.238
1517304945963,2018-01-30T14:35:45.963,2.436,0.146,0.959,-0.243
1517304945971,2018-01-30T14:35:45.971,2.444,0.140,0.959,-0.247
1517304945987,2018-01-30T14:35:45.987,2.460,0.135,0.959,-0.251
1517304945995,2018-01-30T14:35:45.995,2.468,0.129,0.959,-0.252
