epoch (ms),time (05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1517304943629,2018-01-30T14:35:43.629,0.000,0.107,-0.215,-0.098
1517304943645,2018-01-30T14:35:43.645,0.016,0.115,-0.136,-0.125
1517304943658,2018-01-30T14:35:43.658,0.029,0.134,-0.088,-0.129
1517304943668,2018-01-30T14:35:43.668,0.039,0.148,-0.062,-0.115
1517304943704,2018-01-30T14:35:43.704,0.075,0.146,-0.067,-0.094
1517304943706,2018-01-30T14:35:43.706,0.077,0.115,-0.167,-0.049
1517304943706,2018-01-30T14:35:43.706,0.077,0.128,-0.185,-0.044
1517304943708,2018-01-30T14:35:43.708,0.079,0.152,-0.166,-0.057
1517304943713,2018-01-30T14:35:43.713,0.084,0.173,-0.179,-0.019
1517304943722,2018-01-30T14:35:43.722,0.093,0.227,-0.182,0.047
1517304943734,2018-01-30T14:35:43.734,0.105,0.284,-0.156,0.096
1517304943743,2018-01-30T14:35:43.743,0.114,0.333,-0.132,0.143
1517304943758,2018-01-30T14:35:43.758,0.129,0.329,-0.122,0.180
1517304943766,2018-01-30T14:35:43.766,0.137,0.268,-0.199,0.207
1517304943779,2018-01-30T14:35:43.779,0.150,0.274,-0.474,0.358
1517304943791,2018-01-30T14:35:43.791,0.162,0.288,-0.380,0.227
1517304943803,2018-01-30T14:35:43.803,0.174,0.233,-0.310,0.193
1517304943811,2018-01-30T14:35:43.811,0.182,0.198,-0.293,0.217
1517304943825,2018-01-30T14:35:43.825,0.196,0.222,-0.301,0.279
1517304943834,2018-01-30T14:35:43.834,0.205,0.215,-0.290,0.272
1517304943847,2018-01-30T14:35:43.847,0.218,0.196,-0.250,0.270
1517304943864,2018-01-30T14:35:43.864,0.235,0.176,-0.246,0.286
1517304943877,2018-01-30T14:35:43.877,0.248,0.176,-0.258,0.304
1517304943887,2018-01-30T14:35:43.887,0.258,0.168,-0.288,0.298
1517304943900,2018-01-30T14:35:43.900,0.271,0.164,-0.333,0.292
1517304943909,2018-01-30T14:35:43.909,0.280,0.162,-0.371,0.295
1517304943923,2018-01-30T14:35:43.923,0.294,0.149,-0.391,0.308
1517304943931,2018-01-30T14:35:43.931,0.302,0.138,-0.390,0.297
1517304943941,2018-01-30T14:35:43.941,0.312,0.125,-0.376,0.254
1517304943963,2018-01-30T14:35:43.963,0.334,0.101,-0.371,0.221
1517304943970,2018-01-30T14:35:43.970,0.341,0.071,-0.394,0.189
1517304943979,2018-01-30T14:35:43.979,0.350,0.058,-0.406,0.158
