epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1525792224124,2018-05-08T20:10:24.124,0.000,-0.058,0.022,0.016
1525792224134,2018-05-08T20:10:24.134,0.010,-0.053,0.021,0.014
1525792224144,2018-05-08T20:10:24.144,0.020,-0.054,0.019,0.022
1525792224153,2018-05-08T20:10:24.153,0.029,-0.050,0.020,0.030
1525792224164,2018-05-08T20:10:24.164,0.040,-0.054,0.008,0.029
1525792224174,2018-05-08T20:10:24.174,0.050,-0.052,0.005,0.028
1525792224184,2018-05-08T20:10:24.184,0.060,-0.040,0.006,0.031
1525792224193,2018-05-08T20:10:24.193,0.069,-0.034,0.007,0.028
1525792224203,2018-05-08T20:10:24.203,0.079,-0.037,0.006,0.022
1525792224213,2018-05-08T20:10:24.213,0.089,-0.035,0.005,0.015
1525792224224,2018-05-08T20:10:24.224,0.100,-0.033,0.008,0.019
1525792224232,2018-05-08T20:10:24.232,0.108,-0.036,0.013,0.023
1525792224243,2018-05-08T20:10:24.243,0.119,-0.035,0.014,0.027
1525792224253,2018-05-08T20:10:24.253,0.129,-0.051,0.015,0.037
1525792224262,2018-05-08T20:10:24.262,0.138,-0.063,0.021,0.039
1525792224272,2018-05-08T20:10:24.272,0.148,-0.060,0.024,0.037
1525792224282,2018-05-08T20:10:24.282,0.158,-0.056,0.022,0.039
1525792224292,2018-05-08T20:10:24.292,0.168,-0.059,0.020,0.033
1525792224301,2018-05-08T20:10:24.301,0.177,-0.062,0.016,0.022
1525792224311,2018-05-08T20:10:24.311,0.187,-0.055,0.018,0.021
1525792224322,2018-05-08T20:10:24.322,0.198,-0.048,0.021,0.027
1525792224332,2018-05-08T20:10:24.332,0.208,-0.050,0.021,0.027
1525792224341,2018-05-08T20:10:24.341,0.217,-0.053,0.019,0.028
1525792224351,2018-05-08T20:10:24.351,0.227,-0.054,0.018,0.023
1525792224361,2018-05-08T20:10:24.361,0.237,-0.051,0.014,0.014
1525792224372,2018-05-08T20:10:24.372,0.248,-0.053,0.006,0.011
1525792224380,2018-05-08T20:10:24.380,0.256,-0.056,0.002,0.013
1525792224391,2018-05-08T20:10:24.391,0.267,-0.050,0.003,0.018
1525792224401,2018-05-08T20:10:24.401,0.277,-0.048,-0.004,0.020
1525792224410,2018-05-08T20:10:24.410,0.286,-0.052,-0.005,0.020
1525792224420,2018-05-08T20:10:24.420,0.296,-0.049,-0.002,0.016
1525792224430,2018-05-08T20:10:24.430,0.306,-0.049,-0.006,0.011
1525792224440,2018-05-08T20:10:24.440,0.316,-0.051,-0.010,0.016
1525792224451,2018-05-08T20:10:24.451,0.327,-0.050,-0.011,0.017
1525792224459,2018-05-08T20:10:24.459,0.335,-0.050,-0.014,0.018
1525792224470,2018-05-08T20:10:24.470,0.346,-0.035,-0.019,0.011
1525792224478,2018-05-08T20:10:24.478,0.354,-0.038,-0.009,0.016
1525792224489,2018-05-08T20:10:24.489,0.365,-0.050,-0.010,0.010
1525792224499,2018-05-08T20:10:24.499,0.375,-0.055,-0.017,0.012
1525792224509,2018-05-08T20:10:24.509,0.385,-0.049,-0.021,0.008
1525792224518,2018-05-08T20:10:24.518,0.394,-0.049,-0.022,0.008
1525792224528,2018-05-08T20:10:24.528,0.404,-0.051,-0.019,0.003
1525792224539,2018-05-08T20:10:24.539,0.415,-0.060,-0.017,0.010
1525792224549,2018-05-08T20:10:24.549,0.425,-0.069,-0.007,0.021
1525792224558,2018-05-08T20:10:24.558,0.434,-0.080,0.004,0.029
1525792224568,2018-05-08T20:10:24.568,0.444,-0.092,0.008,0.037
1525792224578,2018-05-08T20:10:24.578,0.454,-0.091,0.015,0.036
1525792224587,2018-05-08T20:10:24.587,0.463,-0.086,0.016,0.028
1525792224597,2018-05-08T20:10:24.597,0.473,-0.085,0.016,0.025
1525792224607,2018-05-08T20:10:24.607,0.483,-0.084,0.021,0.022
1525792224618,2018-05-08T20:10:24.618,0.494,-0.088,0.024,0.019
1525792224626,2018-05-08T20:10:24.626,0.502,-0.085,0.018,0.015
1525792224637,2018-05-08T20:10:24.637,0.513,-0.080,0.023,0.008
1525792224647,2018-05-08T20:10:24.647,0.523,-0.076,0.024,0.002
1525792224657,2018-05-08T20:10:24.657,0.533,-0.074,0.022,-0.004
1525792224666,2018-05-08T20:10:24.666,0.542,-0.068,0.016,-0.007
1525792224676,2018-05-08T20:10:24.676,0.552,-0.062,0.014,-0.009
1525792224686,2018-05-08T20:10:24.686,0.562,-0.056,0.009,-0.010
1525792224697,2018-05-08T20:10:24.697,0.573,-0.050,0.008,-0.011
1525792224706,2018-05-08T20:10:24.706,0.582,-0.050,0.008,-0.012
1525792224716,2018-05-08T20:10:24.716,0.592,-0.058,0.011,-0.013
1525792224726,2018-05-08T20:10:24.726,0.602,-0.064,0.011,-0.009
1525792224735,2018-05-08T20:10:24.735,0.611,-0.072,0.007,0.004
1525792224745,2018-05-08T20:10:24.745,0.621,-0.076,0.007,0.022
1525792224755,2018-05-08T20:10:24.755,0.631,-0.069,0.008,0.031
1525792224766,2018-05-08T20:10:24.766,0.642,-0.067,0.003,0.034
1525792224776,2018-05-08T20:10:24.776,0.652,-0.073,0.007,0.034
1525792224785,2018-05-08T20:10:24.785,0.661,-0.075,0.009,0.028
1525792224795,2018-05-08T20:10:24.795,0.671,-0.079,0.012,0.034
1525792224804,2018-05-08T20:10:24.804,0.680,-0.088,0.015,0.041
1525792224814,2018-05-08T20:10:24.814,0.690,-0.098,0.021,0.048
1525792224824,2018-05-08T20:10:24.824,0.700,-0.094,0.014,0.048
1525792224834,2018-05-08T20:10:24.834,0.710,-0.090,0.014,0.047
1525792224843,2018-05-08T20:10:24.843,0.719,-0.082,0.009,0.044
1525792224853,2018-05-08T20:10:24.853,0.729,-0.070,0.006,0.041
1525792224864,2018-05-08T20:10:24.864,0.740,-0.060,0.002,0.042
1525792224874,2018-05-08T20:10:24.874,0.750,-0.059,-0.004,0.041
1525792224883,2018-05-08T20:10:24.883,0.759,-0.057,-0.008,0.044
1525792224893,2018-05-08T20:10:24.893,0.769,-0.054,-0.010,0.047
1525792224903,2018-05-08T20:10:24.903,0.779,-0.051,-0.011,0.041
1525792224912,2018-05-08T20:10:24.912,0.788,-0.042,-0.015,0.034
1525792224922,2018-05-08T20:10:24.922,0.798,-0.036,-0.014,0.028
1525792224933,2018-05-08T20:10:24.933,0.809,-0.035,-0.014,0.020
1525792224943,2018-05-08T20:10:24.943,0.819,-0.038,-0.011,0.010
1525792224952,2018-05-08T20:10:24.952,0.828,-0.041,-0.001,0.006
1525792224962,2018-05-08T20:10:24.962,0.838,-0.058,0.002,0.007
1525792224972,2018-05-08T20:10:24.972,0.848,-0.070,0.009,0.010
1525792224982,2018-05-08T20:10:24.982,0.858,-0.076,0.014,0.013
1525792224991,2018-05-08T20:10:24.991,0.867,-0.078,0.017,0.021
1525792225001,2018-05-08T20:10:25.001,0.877,-0.075,0.021,0.023
1525792225012,2018-05-08T20:10:25.012,0.888,-0.075,0.021,0.017
1525792225022,2018-05-08T20:10:25.022,0.898,-0.073,0.025,0.011
1525792225031,2018-05-08T20:10:25.031,0.907,-0.076,0.031,0.021
1525792225041,2018-05-08T20:10:25.041,0.917,-0.082,0.037,0.023
1525792225051,2018-05-08T20:10:25.051,0.927,-0.082,0.028,0.022
1525792225060,2018-05-08T20:10:25.060,0.936,-0.076,0.025,0.029
1525792225070,2018-05-08T20:10:25.070,0.946,-0.070,0.023,0.032
1525792225081,2018-05-08T20:10:25.081,0.957,-0.066,0.019,0.024
1525792225091,2018-05-08T20:10:25.091,0.967,-0.063,0.014,0.019
