epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52579E+12,2018-05-08T20:23:32.446,95.785,-0.001,-0.022,-0.019
1.52579E+12,2018-05-08T20:23:32.456,95.795,0.009,-0.028,-0.004
1.52579E+12,2018-05-08T20:23:32.467,95.806,0.023,-0.033,0.02
1.52579E+12,2018-05-08T20:23:32.475,95.814,0.039,-0.03,0.034
1.52579E+12,2018-05-08T20:23:32.486,95.825,0.052,-0.028,0.035
1.52579E+12,2018-05-08T20:23:32.496,95.835,0.042,-0.034,0.023
1.52579E+12,2018-05-08T20:23:32.506,95.845,0.019,-0.035,0.015
1.52579E+12,2018-05-08T20:23:32.516,95.855,0.005,-0.035,0.004
1.52579E+12,2018-05-08T20:23:32.525,95.864,0.003,-0.034,0.009
1.52579E+12,2018-05-08T20:23:32.535,95.874,-0.002,-0.037,0.008
1.52579E+12,2018-05-08T20:23:32.546,95.885,0.006,-0.034,0.021
1.52579E+12,2018-05-08T20:23:32.554,95.893,0.014,-0.017,0.03
1.52579E+12,2018-05-08T20:23:32.565,95.904,0.038,-0.006,0.03
1.52579E+12,2018-05-08T20:23:32.575,95.914,0.064,0,0.029
1.52579E+12,2018-05-08T20:23:32.584,95.923,0.068,0.019,0.022
1.52579E+12,2018-05-08T20:23:32.594,95.933,0.065,0.008,0.018
1.52579E+12,2018-05-08T20:23:32.604,95.943,0.049,-0.026,0.021
1.52579E+12,2018-05-08T20:23:32.615,95.954,0.007,-0.036,0.031
1.52579E+12,2018-05-08T20:23:32.623,95.962,-0.03,-0.052,0.036
1.52579E+12,2018-05-08T20:23:32.634,95.973,-0.053,-0.065,0.031
1.52579E+12,2018-05-08T20:23:32.644,95.983,-0.06,-0.065,0.022
1.52579E+12,2018-05-08T20:23:32.654,95.993,-0.045,-0.061,0.021
1.52579E+12,2018-05-08T20:23:32.663,96.002,-0.015,-0.051,0.013
1.52579E+12,2018-05-08T20:23:32.673,96.012,0.025,-0.026,0.021
1.52579E+12,2018-05-08T20:23:32.683,96.022,0.048,-0.015,0.032
1.52579E+12,2018-05-08T20:23:32.692,96.031,0.033,-0.018,0.041
