epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1525792916661,2018-05-08T20:21:56.661,0.000,-0.014,0.009,-0.025
1525792916670,2018-05-08T20:21:56.670,0.009,-0.010,0.009,-0.019
1525792916680,2018-05-08T20:21:56.680,0.019,-0.012,0.013,-0.026
1525792916691,2018-05-08T20:21:56.691,0.030,-0.011,0.018,-0.032
1525792916699,2018-05-08T20:21:56.699,0.038,-0.010,0.028,-0.038
1525792916710,2018-05-08T20:21:56.710,0.049,-0.010,0.027,-0.044
1525792916720,2018-05-08T20:21:56.720,0.059,-0.007,0.025,-0.040
1525792916730,2018-05-08T20:21:56.730,0.069,-0.005,0.023,-0.031
1525792916739,2018-05-08T20:21:56.739,0.078,-0.004,0.018,-0.023
1525792916749,2018-05-08T20:21:56.749,0.088,-0.005,0.013,-0.015
1525792916760,2018-05-08T20:21:56.760,0.099,-0.001,0.008,-0.013
1525792916768,2018-05-08T20:21:56.768,0.107,0.009,0.002,-0.010
1525792916779,2018-05-08T20:21:56.779,0.118,0.014,0.002,-0.009
1525792916789,2018-05-08T20:21:56.789,0.128,0.019,0.008,-0.008
1525792916799,2018-05-08T20:21:56.799,0.138,0.011,0.012,-0.008
1525792916808,2018-05-08T20:21:56.808,0.147,0.001,0.012,-0.008
1525792916818,2018-05-08T20:21:56.818,0.157,-0.004,0.012,-0.009
1525792916828,2018-05-08T20:21:56.828,0.167,-0.002,0.009,-0.012
1525792916839,2018-05-08T20:21:56.839,0.178,0.004,0.008,-0.006
1525792916847,2018-05-08T20:21:56.847,0.186,0.003,0.007,-0.000
1525792916858,2018-05-08T20:21:56.858,0.197,0.002,0.002,0.003
1525792916868,2018-05-08T20:21:56.868,0.207,0.004,0.000,0.006
1525792916878,2018-05-08T20:21:56.878,0.217,0.007,-0.001,0.002
1525792916887,2018-05-08T20:21:56.887,0.226,0.006,0.001,-0.002
1525792916897,2018-05-08T20:21:56.897,0.236,0.004,0.003,0.001
1525792916908,2018-05-08T20:21:56.908,0.247,0.006,0.005,-0.001
1525792916916,2018-05-08T20:21:56.916,0.255,0.005,0.008,0.003
1525792916927,2018-05-08T20:21:56.927,0.266,0.004,0.010,0.001
1525792916937,2018-05-08T20:21:56.937,0.276,0.008,0.008,-0.001
1525792916947,2018-05-08T20:21:56.947,0.286,0.012,0.009,0.002
1525792916956,2018-05-08T20:21:56.956,0.295,0.015,0.010,0.005
1525792916966,2018-05-08T20:21:56.966,0.305,0.015,0.010,0.001
1525792916976,2018-05-08T20:21:56.976,0.315,0.014,0.005,-0.002
1525792916987,2018-05-08T20:21:56.987,0.326,0.014,0.002,0.003
1525792916995,2018-05-08T20:21:56.995,0.334,0.007,0.005,0.005
1525792917006,2018-05-08T20:21:57.006,0.345,-0.001,0.009,0.005
1525792917016,2018-05-08T20:21:57.016,0.355,-0.006,0.013,0.003
1525792917025,2018-05-08T20:21:57.025,0.364,-0.008,0.020,-0.003
1525792917035,2018-05-08T20:21:57.035,0.374,-0.008,0.024,-0.013
1525792917045,2018-05-08T20:21:57.045,0.384,-0.009,0.024,-0.016
1525792917055,2018-05-08T20:21:57.055,0.394,-0.010,0.016,-0.015
1525792917064,2018-05-08T20:21:57.064,0.403,-0.006,0.011,-0.010
1525792917074,2018-05-08T20:21:57.074,0.413,-0.006,0.010,-0.003
1525792917085,2018-05-08T20:21:57.085,0.424,-0.007,0.010,-0.007
1525792917095,2018-05-08T20:21:57.095,0.434,-0.012,0.013,-0.011
1525792917104,2018-05-08T20:21:57.104,0.443,-0.013,0.013,-0.018
1525792917114,2018-05-08T20:21:57.114,0.453,-0.009,0.009,-0.021
