epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52579E+12,2018-05-08T20:23:11.518,61.941,-0.049,-0.039,-0.007
1.52579E+12,2018-05-08T20:23:11.528,61.951,-0.052,-0.05,0.008
1.52579E+12,2018-05-08T20:23:11.538,61.961,-0.055,-0.055,0.008
1.52579E+12,2018-05-08T20:23:11.549,61.972,-0.052,-0.056,0.005
1.52579E+12,2018-05-08T20:23:11.557,61.98,-0.044,-0.052,0.006
1.52579E+12,2018-05-08T20:23:11.568,61.991,-0.049,-0.056,-0.001
1.52579E+12,2018-05-08T20:23:11.578,62.001,-0.048,-0.062,-0.006
1.52579E+12,2018-05-08T20:23:11.588,62.011,-0.053,-0.065,-0.004
1.52579E+12,2018-05-08T20:23:11.597,62.02,-0.049,-0.067,-0.002
1.52579E+12,2018-05-08T20:23:11.607,62.03,-0.05,-0.067,0.003
1.52579E+12,2018-05-08T20:23:11.617,62.04,-0.056,-0.059,0.009
1.52579E+12,2018-05-08T20:23:11.626,62.049,-0.062,-0.039,0.014
1.52579E+12,2018-05-08T20:23:11.637,62.06,-0.065,-0.025,0.013
1.52579E+12,2018-05-08T20:23:11.647,62.07,-0.064,-0.028,0.002
1.52579E+12,2018-05-08T20:23:11.657,62.08,-0.059,-0.026,-0.006
1.52579E+12,2018-05-08T20:23:11.666,62.089,-0.058,-0.027,-0.002
1.52579E+12,2018-05-08T20:23:11.676,62.099,-0.06,-0.032,0
1.52579E+12,2018-05-08T20:23:11.686,62.109,-0.053,-0.031,0.001
1.52579E+12,2018-05-08T20:23:11.697,62.12,-0.043,-0.049,0.004
1.52579E+12,2018-05-08T20:23:11.705,62.128,-0.041,-0.06,0.004
1.52579E+12,2018-05-08T20:23:11.716,62.139,-0.05,-0.056,0.004
1.52579E+12,2018-05-08T20:23:11.726,62.149,-0.038,-0.04,0.006
1.52579E+12,2018-05-08T20:23:11.736,62.159,-0.039,-0.03,0.01
1.52579E+12,2018-05-08T20:23:11.745,62.168,-0.052,-0.028,0.013
1.52579E+12,2018-05-08T20:23:11.755,62.178,-0.05,-0.023,0.011
1.52579E+12,2018-05-08T20:23:11.765,62.188,-0.044,-0.022,0.004
1.52579E+12,2018-05-08T20:23:11.774,62.197,-0.045,-0.023,-0.006
1.52579E+12,2018-05-08T20:23:11.784,62.207,-0.047,-0.018,-0.016
1.52579E+12,2018-05-08T20:23:11.795,62.218,-0.047,-0.012,-0.021
1.52579E+12,2018-05-08T20:23:11.805,62.228,-0.048,-0.005,-0.029
1.52579E+12,2018-05-08T20:23:11.815,62.238,-0.054,-0.003,-0.032
1.52579E+12,2018-05-08T20:23:11.824,62.247,-0.059,-0.002,-0.027
1.52579E+12,2018-05-08T20:23:11.834,62.257,-0.06,-0.004,-0.015
1.52579E+12,2018-05-08T20:23:11.843,62.266,-0.056,-0.014,-0.007
1.52579E+12,2018-05-08T20:23:11.853,62.276,-0.057,-0.018,0.006
1.52579E+12,2018-05-08T20:23:11.864,62.287,-0.06,-0.019,0.005
1.52579E+12,2018-05-08T20:23:11.874,62.297,-0.057,-0.028,-0.013
1.52579E+12,2018-05-08T20:23:11.883,62.306,-0.048,-0.041,-0.015
1.52579E+12,2018-05-08T20:23:11.893,62.316,-0.046,-0.051,-0.015
1.52579E+12,2018-05-08T20:23:11.903,62.326,-0.045,-0.058,-0.009
1.52579E+12,2018-05-08T20:23:11.913,62.336,-0.045,-0.055,0.008
1.52579E+12,2018-05-08T20:23:11.922,62.345,-0.046,-0.055,0.005
1.52579E+12,2018-05-08T20:23:11.932,62.355,-0.046,-0.057,-0.008
1.52579E+12,2018-05-08T20:23:11.943,62.366,-0.043,-0.054,-0.017
1.52579E+12,2018-05-08T20:23:11.951,62.374,-0.035,-0.055,-0.021
1.52579E+12,2018-05-08T20:23:11.962,62.385,-0.037,-0.056,-0.013
1.52579E+12,2018-05-08T20:23:11.972,62.395,-0.04,-0.053,0
1.52579E+12,2018-05-08T20:23:11.982,62.405,-0.043,-0.052,0.013
1.52579E+12,2018-05-08T20:23:11.991,62.414,-0.044,-0.051,0.012
1.52579E+12,2018-05-08T20:23:12.001,62.424,-0.047,-0.045,0.015
1.52579E+12,2018-05-08T20:23:12.012,62.435,-0.045,-0.045,0.01
1.52579E+12,2018-05-08T20:23:12.022,62.445,-0.04,-0.057,-0.005
1.52579E+12,2018-05-08T20:23:12.031,62.454,-0.04,-0.061,-0.014
1.52579E+12,2018-05-08T20:23:12.041,62.464,-0.04,-0.058,-0.011
1.52579E+12,2018-05-08T20:23:12.051,62.474,-0.04,-0.048,0.003
1.52579E+12,2018-05-08T20:23:12.061,62.484,-0.037,-0.042,0.016
1.52579E+12,2018-05-08T20:23:12.070,62.493,-0.033,-0.041,0.029
1.52579E+12,2018-05-08T20:23:12.080,62.503,-0.031,-0.04,0.037
1.52579E+12,2018-05-08T20:23:12.091,62.514,-0.022,-0.034,0.035
1.52579E+12,2018-05-08T20:23:12.099,62.522,-0.017,-0.027,0.032
1.52579E+12,2018-05-08T20:23:12.110,62.533,-0.015,-0.015,0.019
