epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1525792929577,2018-05-08T20:22:09.577,0.000,-0.005,-0.007,0.013
1525792929586,2018-05-08T20:22:09.586,0.009,-0.012,-0.015,0.024
1525792929596,2018-05-08T20:22:09.596,0.019,-0.009,-0.017,0.023
1525792929606,2018-05-08T20:22:09.606,0.029,-0.005,-0.017,0.025
1525792929616,2018-05-08T20:22:09.616,0.039,-0.007,-0.017,0.021
1525792929625,2018-05-08T20:22:09.625,0.048,-0.007,-0.020,0.017
1525792929636,2018-05-08T20:22:09.636,0.059,-0.007,-0.019,0.016
1525792929646,2018-05-08T20:22:09.646,0.069,-0.012,-0.015,0.022
1525792929656,2018-05-08T20:22:09.656,0.079,-0.021,-0.004,0.027
1525792929665,2018-05-08T20:22:09.665,0.088,-0.026,0.003,0.033
1525792929675,2018-05-08T20:22:09.675,0.098,-0.025,-0.001,0.032
1525792929685,2018-05-08T20:22:09.685,0.108,-0.023,-0.006,0.036
1525792929694,2018-05-08T20:22:09.694,0.117,-0.024,-0.013,0.035
1525792929704,2018-05-08T20:22:09.704,0.127,-0.024,-0.018,0.034
1525792929715,2018-05-08T20:22:09.715,0.138,-0.018,-0.028,0.032
1525792929725,2018-05-08T20:22:09.725,0.148,-0.019,-0.026,0.028
1525792929734,2018-05-08T20:22:09.734,0.157,-0.025,-0.027,0.033
1525792929744,2018-05-08T20:22:09.744,0.167,-0.021,-0.029,0.036
1525792929754,2018-05-08T20:22:09.754,0.177,-0.013,-0.025,0.036
1525792929764,2018-05-08T20:22:09.764,0.187,-0.014,-0.025,0.036
1525792929773,2018-05-08T20:22:09.773,0.196,-0.014,-0.011,0.039
1525792929783,2018-05-08T20:22:09.783,0.206,-0.021,0.008,0.042
1525792929794,2018-05-08T20:22:09.794,0.217,-0.027,0.008,0.030
1525792929803,2018-05-08T20:22:09.803,0.226,-0.013,-0.001,0.024
1525792929813,2018-05-08T20:22:09.813,0.236,-0.008,-0.004,0.019
1525792929823,2018-05-08T20:22:09.823,0.246,-0.014,0.001,0.015
1525792929833,2018-05-08T20:22:09.833,0.256,-0.015,0.007,0.018
1525792929842,2018-05-08T20:22:09.842,0.265,-0.012,0.008,0.009
1525792929852,2018-05-08T20:22:09.852,0.275,-0.006,0.007,0.004
1525792929863,2018-05-08T20:22:09.863,0.286,-0.002,0.008,0.008
1525792929873,2018-05-08T20:22:09.873,0.296,-0.005,0.004,0.009
1525792929882,2018-05-08T20:22:09.882,0.305,-0.007,-0.002,0.013
1525792929892,2018-05-08T20:22:09.892,0.315,-0.005,-0.000,0.018
1525792929902,2018-05-08T20:22:09.902,0.325,-0.005,-0.002,0.018
1525792929911,2018-05-08T20:22:09.911,0.334,-0.008,-0.007,0.014
1525792929921,2018-05-08T20:22:09.921,0.344,-0.014,-0.005,0.015
1525792929931,2018-05-08T20:22:09.931,0.354,-0.015,-0.009,0.024
1525792929942,2018-05-08T20:22:09.942,0.365,-0.016,-0.016,0.033
1525792929952,2018-05-08T20:22:09.952,0.375,-0.009,-0.021,0.031
1525792929961,2018-05-08T20:22:09.961,0.384,-0.007,-0.024,0.029
1525792929971,2018-05-08T20:22:09.971,0.394,-0.008,-0.017,0.032
1525792929981,2018-05-08T20:22:09.981,0.404,-0.013,-0.016,0.029
1525792929990,2018-05-08T20:22:09.990,0.413,-0.013,-0.012,0.024
1525792930000,2018-05-08T20:22:10.000,0.423,-0.008,-0.005,0.022
1525792930011,2018-05-08T20:22:10.011,0.434,-0.009,-0.003,0.026
1525792930019,2018-05-08T20:22:10.019,0.442,-0.014,-0.004,0.026
1525792930030,2018-05-08T20:22:10.030,0.453,-0.008,-0.007,0.025
1525792930040,2018-05-08T20:22:10.040,0.463,-0.006,-0.010,0.021
1525792930050,2018-05-08T20:22:10.050,0.473,-0.004,-0.009,0.019
1525792930059,2018-05-08T20:22:10.059,0.482,-0.006,-0.010,0.019
1525792930069,2018-05-08T20:22:10.069,0.492,-0.007,-0.008,0.021
1525792930079,2018-05-08T20:22:10.079,0.502,-0.008,-0.007,0.022
1525792930090,2018-05-08T20:22:10.090,0.513,-0.008,-0.010,0.023
1525792930098,2018-05-08T20:22:10.098,0.521,-0.004,-0.008,0.016
1525792930109,2018-05-08T20:22:10.109,0.532,-0.003,-0.004,0.006
1525792930119,2018-05-08T20:22:10.119,0.542,-0.002,-0.005,0.001
1525792930128,2018-05-08T20:22:10.128,0.551,-0.001,-0.003,-0.002
1525792930138,2018-05-08T20:22:10.138,0.561,0.001,-0.005,-0.003
1525792930148,2018-05-08T20:22:10.148,0.571,0.005,-0.013,0.007
1525792930158,2018-05-08T20:22:10.158,0.581,0.005,-0.016,0.014
1525792930167,2018-05-08T20:22:10.167,0.590,0.003,-0.015,0.015
1525792930178,2018-05-08T20:22:10.178,0.601,0.002,-0.018,0.028
1525792930188,2018-05-08T20:22:10.188,0.611,-0.004,-0.028,0.028
1525792930198,2018-05-08T20:22:10.198,0.621,-0.004,-0.031,0.036
1525792930207,2018-05-08T20:22:10.207,0.630,-0.003,-0.038,0.035
1525792930217,2018-05-08T20:22:10.217,0.640,0.005,-0.032,0.037
1525792930227,2018-05-08T20:22:10.227,0.650,-0.001,-0.028,0.039
1525792930238,2018-05-08T20:22:10.238,0.661,-0.007,-0.027,0.033
1525792930246,2018-05-08T20:22:10.246,0.669,-0.000,-0.027,0.030
1525792930257,2018-05-08T20:22:10.257,0.680,-0.002,-0.029,0.022
1525792930267,2018-05-08T20:22:10.267,0.690,-0.001,-0.022,0.019
1525792930277,2018-05-08T20:22:10.277,0.700,-0.001,-0.017,0.023
1525792930286,2018-05-08T20:22:10.286,0.709,-0.003,-0.016,0.027
1525792930296,2018-05-08T20:22:10.296,0.719,-0.004,-0.016,0.032
1525792930306,2018-05-08T20:22:10.306,0.729,-0.005,-0.018,0.035
1525792930315,2018-05-08T20:22:10.315,0.738,-0.002,-0.031,0.027
1525792930325,2018-05-08T20:22:10.325,0.748,0.001,-0.032,0.028
1525792930336,2018-05-08T20:22:10.336,0.759,-0.002,-0.016,0.042
1525792930345,2018-05-08T20:22:10.345,0.768,-0.009,-0.009,0.038
1525792930355,2018-05-08T20:22:10.355,0.778,-0.013,-0.013,0.025
1525792930365,2018-05-08T20:22:10.365,0.788,-0.009,-0.010,0.009
1525792930375,2018-05-08T20:22:10.375,0.798,-0.016,-0.017,0.010
1525792930384,2018-05-08T20:22:10.384,0.807,-0.014,-0.023,0.019
1525792930394,2018-05-08T20:22:10.394,0.817,-0.009,-0.029,0.019
1525792930405,2018-05-08T20:22:10.405,0.828,-0.006,-0.049,0.017
1525792930415,2018-05-08T20:22:10.415,0.838,-0.004,-0.047,0.027
1525792930424,2018-05-08T20:22:10.424,0.847,0.002,-0.036,0.034
1525792930434,2018-05-08T20:22:10.434,0.857,-0.004,-0.040,0.031
1525792930444,2018-05-08T20:22:10.444,0.867,-0.007,-0.038,0.033
1525792930453,2018-05-08T20:22:10.453,0.876,-0.007,-0.025,0.025
1525792930463,2018-05-08T20:22:10.463,0.886,-0.009,-0.021,0.011
1525792930473,2018-05-08T20:22:10.473,0.896,-0.007,-0.010,0.013
1525792930484,2018-05-08T20:22:10.484,0.907,-0.004,0.012,0.027
1525792930492,2018-05-08T20:22:10.492,0.915,-0.013,0.016,0.035
1525792930503,2018-05-08T20:22:10.503,0.926,-0.011,0.005,0.044
1525792930513,2018-05-08T20:22:10.513,0.936,-0.004,-0.009,0.051
1525792930523,2018-05-08T20:22:10.523,0.946,0.002,-0.010,0.049
1525792930532,2018-05-08T20:22:10.532,0.955,0.003,-0.007,0.050
1525792930542,2018-05-08T20:22:10.542,0.965,0.001,-0.005,0.049
1525792930553,2018-05-08T20:22:10.553,0.976,0.003,0.000,0.046
1525792930563,2018-05-08T20:22:10.563,0.986,0.002,0.001,0.040
1525792930572,2018-05-08T20:22:10.572,0.995,0.005,-0.004,0.029
1525792930582,2018-05-08T20:22:10.582,1.005,0.010,-0.009,0.024
1525792930592,2018-05-08T20:22:10.592,1.015,0.010,-0.012,0.023
1525792930602,2018-05-08T20:22:10.602,1.025,0.013,-0.012,0.023
1525792930611,2018-05-08T20:22:10.611,1.034,0.013,-0.023,0.022
1525792930621,2018-05-08T20:22:10.621,1.044,0.017,-0.025,0.021
1525792930632,2018-05-08T20:22:10.632,1.055,-0.017,-0.011,0.024
1525792930640,2018-05-08T20:22:10.640,1.063,-0.051,0.023,0.042
1525792930651,2018-05-08T20:22:10.651,1.074,-0.063,0.068,0.025
1525792930661,2018-05-08T20:22:10.661,1.084,-0.038,0.071,-0.005
1525792930670,2018-05-08T20:22:10.670,1.093,-0.019,0.029,0.005
1525792930681,2018-05-08T20:22:10.681,1.104,-0.006,-0.008,0.052
1525792930690,2018-05-08T20:22:10.690,1.113,0.015,-0.036,0.091
1525792930700,2018-05-08T20:22:10.700,1.123,0.029,-0.057,0.108
1525792930709,2018-05-08T20:22:10.709,1.132,0.035,-0.079,0.103
1525792930720,2018-05-08T20:22:10.720,1.143,0.025,-0.092,0.102
1525792930730,2018-05-08T20:22:10.730,1.153,0.020,-0.069,0.070
1525792930740,2018-05-08T20:22:10.740,1.163,0.027,-0.024,0.026
1525792930749,2018-05-08T20:22:10.749,1.172,0.025,0.006,-0.008
1525792930759,2018-05-08T20:22:10.759,1.182,0.005,0.023,-0.024
1525792930769,2018-05-08T20:22:10.769,1.192,-0.010,0.040,-0.039
1525792930778,2018-05-08T20:22:10.778,1.201,-0.009,0.053,-0.059
1525792930788,2018-05-08T20:22:10.788,1.211,-0.009,0.054,-0.059
1525792930799,2018-05-08T20:22:10.799,1.222,-0.022,0.050,-0.052
1525792930809,2018-05-08T20:22:10.809,1.232,-0.029,0.040,-0.037
1525792930818,2018-05-08T20:22:10.818,1.241,-0.019,0.019,-0.020
1525792930828,2018-05-08T20:22:10.828,1.251,-0.012,-0.016,-0.013
1525792930838,2018-05-08T20:22:10.838,1.261,-0.005,-0.047,-0.002
1525792930848,2018-05-08T20:22:10.848,1.271,0.001,-0.069,0.017
1525792930857,2018-05-08T20:22:10.857,1.280,0.015,-0.085,0.014
1525792930867,2018-05-08T20:22:10.867,1.290,0.006,-0.065,0.018
1525792930878,2018-05-08T20:22:10.878,1.301,0.011,-0.019,0.046
1525792930888,2018-05-08T20:22:10.888,1.311,-0.004,-0.027,0.037
