epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52579E+12,2018-05-08T20:28:02.159,111.713,-0.017,-0.017,-0.075
1.52579E+12,2018-05-08T20:28:02.168,111.722,-0.033,0.087,-0.161
1.52579E+12,2018-05-08T20:28:02.178,111.732,-0.015,0.308,-0.264
1.52579E+12,2018-05-08T20:28:02.189,111.743,-0.102,0.128,-0.185
1.52579E+12,2018-05-08T20:28:02.198,111.752,-0.088,-0.056,-0.112
1.52579E+12,2018-05-08T20:28:02.208,111.762,0.006,-0.311,0.009
1.52579E+12,2018-05-08T20:28:02.218,111.772,0.003,-0.316,0.131
1.52579E+12,2018-05-08T20:28:02.228,111.782,-0.058,-0.267,0.129
1.52579E+12,2018-05-08T20:28:02.237,111.791,-0.113,-0.267,0.015
1.52579E+12,2018-05-08T20:28:02.247,111.801,-0.096,-0.262,0.011
1.52579E+12,2018-05-08T20:28:02.258,111.812,-0.067,-0.241,-0.022
1.52579E+12,2018-05-08T20:28:02.268,111.822,-0.034,-0.201,-0.106
1.52579E+12,2018-05-08T20:28:02.277,111.831,0.035,-0.146,-0.113
1.52579E+12,2018-05-08T20:28:02.287,111.841,0.034,-0.062,-0.194
1.52579E+12,2018-05-08T20:28:02.297,111.851,-0.012,-0.015,-0.253
1.52579E+12,2018-05-08T20:28:02.307,111.861,-0.032,0.006,-0.226
1.52579E+12,2018-05-08T20:28:02.316,111.87,-0.052,0.025,-0.173
1.52579E+12,2018-05-08T20:28:02.326,111.88,-0.066,-0.009,-0.128
1.52579E+12,2018-05-08T20:28:02.337,111.891,-0.065,-0.083,-0.085
1.52579E+12,2018-05-08T20:28:02.345,111.899,-0.09,-0.063,-0.061
1.52579E+12,2018-05-08T20:28:02.356,111.91,-0.124,0.01,-0.087
1.52579E+12,2018-05-08T20:28:02.366,111.92,-0.127,0.047,-0.143
1.52579E+12,2018-05-08T20:28:02.376,111.93,-0.1,0.051,-0.196
1.52579E+12,2018-05-08T20:28:02.386,111.94,-0.088,0.054,-0.196
1.52579E+12,2018-05-08T20:28:02.395,111.949,-0.079,0.072,-0.187
1.52579E+12,2018-05-08T20:28:02.406,111.96,-0.08,0.05,-0.186
1.52579E+12,2018-05-08T20:28:02.414,111.968,-0.07,0.013,-0.169
1.52579E+12,2018-05-08T20:28:02.425,111.979,-0.067,-0.013,-0.135
1.52579E+12,2018-05-08T20:28:02.435,111.989,-0.094,-0.037,-0.106
1.52579E+12,2018-05-08T20:28:02.445,111.999,-0.061,-0.08,-0.087
1.52579E+12,2018-05-08T20:28:02.454,112.008,-0.023,-0.129,-0.055
1.52579E+12,2018-05-08T20:28:02.464,112.018,-0.056,-0.155,-0.032
1.52579E+12,2018-05-08T20:28:02.474,112.028,-0.091,-0.149,-0.004
1.52579E+12,2018-05-08T20:28:02.485,112.039,-0.073,-0.166,0.008
1.52579E+12,2018-05-08T20:28:02.493,112.047,-0.032,-0.05,0.012
1.52579E+12,2018-05-08T20:28:02.504,112.058,-0.054,-0.116,-0.049
1.52579E+12,2018-05-08T20:28:02.514,112.068,-0.099,-0.109,-0.09
1.52579E+12,2018-05-08T20:28:02.523,112.077,-0.141,0.087,-0.064
1.52579E+12,2018-05-08T20:28:02.533,112.087,-0.206,0.14,-0.082
1.52579E+12,2018-05-08T20:28:02.543,112.097,-0.232,-0.001,-0.038
1.52579E+12,2018-05-08T20:28:02.553,112.107,-0.144,-0.029,0.009
1.52579E+12,2018-05-08T20:28:02.562,112.116,-0.089,-0.07,-0.01
1.52579E+12,2018-05-08T20:28:02.573,112.127,-0.082,-0.086,-0.048
1.52579E+12,2018-05-08T20:28:02.583,112.137,-0.029,-0.093,-0.084
1.52579E+12,2018-05-08T20:28:02.593,112.147,0.013,-0.049,-0.079
1.52579E+12,2018-05-08T20:28:02.602,112.156,0.045,0.07,-0.055
1.52579E+12,2018-05-08T20:28:02.612,112.166,0.066,-0.001,-0.047
1.52579E+12,2018-05-08T20:28:02.622,112.176,0.03,-0.076,-0.005
1.52579E+12,2018-05-08T20:28:02.633,112.187,-0.016,-0.09,-0.014
1.52579E+12,2018-05-08T20:28:02.641,112.195,-0.059,-0.07,-0.021
1.52579E+12,2018-05-08T20:28:02.652,112.206,-0.151,-0.023,0.006
1.52579E+12,2018-05-08T20:28:02.662,112.216,-0.234,-0.007,0.066
1.52579E+12,2018-05-08T20:28:02.671,112.225,-0.184,-0.13,0.068
1.52579E+12,2018-05-08T20:28:02.681,112.235,-0.119,-0.205,0.04
1.52579E+12,2018-05-08T20:28:02.691,112.245,-0.132,-0.195,0.023
1.52579E+12,2018-05-08T20:28:02.701,112.255,-0.155,-0.115,0.054
1.52579E+12,2018-05-08T20:28:02.712,112.266,-0.12,-0.121,0.025
1.52579E+12,2018-05-08T20:28:02.720,112.274,0.011,-0.154,0.001
1.52579E+12,2018-05-08T20:28:02.731,112.285,0.105,-0.199,-0.001
1.52579E+12,2018-05-08T20:28:02.740,112.294,0.018,-0.144,0.009
1.52579E+12,2018-05-08T20:28:02.750,112.304,-0.035,-0.08,0.04
1.52579E+12,2018-05-08T20:28:02.760,112.314,0.041,-0.078,0.037
1.52579E+12,2018-05-08T20:28:02.770,112.324,0.105,-0.031,0.034
1.52579E+12,2018-05-08T20:28:02.779,112.333,0.093,0.003,0.06
1.52579E+12,2018-05-08T20:28:02.789,112.343,0.033,-0.03,0.054
1.52579E+12,2018-05-08T20:28:02.800,112.354,-0.031,-0.037,0.004
1.52579E+12,2018-05-08T20:28:02.810,112.364,-0.097,0,-0.041
1.52579E+12,2018-05-08T20:28:02.819,112.373,-0.126,0.001,-0.039
1.52579E+12,2018-05-08T20:28:02.829,112.383,-0.204,0.02,-0.047
1.52579E+12,2018-05-08T20:28:02.839,112.393,-0.265,0.001,-0.066
1.52579E+12,2018-05-08T20:28:02.848,112.402,-0.241,0,-0.078
1.52579E+12,2018-05-08T20:28:02.858,112.412,-0.195,0.001,-0.119
1.52579E+12,2018-05-08T20:28:02.868,112.422,-0.151,0.016,-0.136
1.52579E+12,2018-05-08T20:28:02.879,112.433,-0.043,0.031,-0.069
1.52579E+12,2018-05-08T20:28:02.887,112.441,0.057,0.039,-0.007
