epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1525793170446,2018-05-08T20:26:10.446,0.000,-0.004,0.006,0.015
1525793170456,2018-05-08T20:26:10.456,0.010,-0.005,-0.002,0.002
1525793170465,2018-05-08T20:26:10.465,0.019,-0.006,-0.004,0.006
1525793170475,2018-05-08T20:26:10.475,0.029,-0.000,0.008,0.001
1525793170486,2018-05-08T20:26:10.486,0.040,0.005,0.012,-0.010
1525793170496,2018-05-08T20:26:10.496,0.050,0.021,0.013,-0.005
1525793170505,2018-05-08T20:26:10.505,0.059,0.029,0.008,0.004
1525793170515,2018-05-08T20:26:10.515,0.069,0.013,0.001,-0.000
1525793170525,2018-05-08T20:26:10.525,0.079,0.000,0.001,-0.019
1525793170535,2018-05-08T20:26:10.535,0.089,-0.001,-0.006,-0.023
1525793170544,2018-05-08T20:26:10.544,0.098,0.000,-0.015,-0.021
1525793170554,2018-05-08T20:26:10.554,0.108,-0.009,-0.016,-0.026
1525793170565,2018-05-08T20:26:10.565,0.119,-0.016,-0.012,-0.037
1525793170573,2018-05-08T20:26:10.573,0.127,-0.008,-0.006,-0.027
1525793170584,2018-05-08T20:26:10.584,0.138,-0.006,-0.005,-0.019
1525793170594,2018-05-08T20:26:10.594,0.148,-0.006,-0.007,-0.009
1525793170604,2018-05-08T20:26:10.604,0.158,-0.007,0.000,0.009
1525793170613,2018-05-08T20:26:10.613,0.167,0.002,0.008,0.014
1525793170623,2018-05-08T20:26:10.623,0.177,0.002,0.006,0.010
1525793170634,2018-05-08T20:26:10.634,0.188,-0.014,0.007,0.001
1525793170644,2018-05-08T20:26:10.644,0.198,-0.015,0.007,-0.002
1525793170653,2018-05-08T20:26:10.653,0.207,-0.008,0.004,0.008
1525793170663,2018-05-08T20:26:10.663,0.217,-0.010,0.005,0.011
1525793170673,2018-05-08T20:26:10.673,0.227,-0.008,0.007,0.006
1525793170682,2018-05-08T20:26:10.682,0.236,-0.010,0.002,0.008
1525793170692,2018-05-08T20:26:10.692,0.246,-0.014,-0.010,0.013
1525793170702,2018-05-08T20:26:10.702,0.256,-0.019,-0.012,0.007
1525793170713,2018-05-08T20:26:10.713,0.267,-0.023,-0.009,-0.003
1525793170721,2018-05-08T20:26:10.721,0.275,-0.018,-0.007,0.000
1525793170732,2018-05-08T20:26:10.732,0.286,-0.012,-0.002,0.011
1525793170742,2018-05-08T20:26:10.742,0.296,-0.011,0.004,0.016
1525793170752,2018-05-08T20:26:10.752,0.306,-0.008,0.009,0.016
1525793170761,2018-05-08T20:26:10.761,0.315,-0.002,0.013,0.016
1525793170771,2018-05-08T20:26:10.771,0.325,-0.003,0.006,0.017
1525793170782,2018-05-08T20:26:10.782,0.336,-0.012,0.001,0.010
1525793170790,2018-05-08T20:26:10.790,0.344,-0.019,-0.009,0.005
1525793170801,2018-05-08T20:26:10.801,0.355,-0.026,-0.018,0.004
1525793170811,2018-05-08T20:26:10.811,0.365,-0.028,-0.016,0.012
1525793170821,2018-05-08T20:26:10.821,0.375,-0.022,-0.017,0.020
1525793170831,2018-05-08T20:26:10.831,0.385,-0.017,-0.011,0.025
1525793170840,2018-05-08T20:26:10.840,0.394,-0.012,-0.006,0.026
1525793170850,2018-05-08T20:26:10.850,0.404,-0.014,-0.002,0.020
1525793170861,2018-05-08T20:26:10.861,0.415,-0.015,0.003,0.010
1525793170869,2018-05-08T20:26:10.869,0.423,-0.011,0.006,0.009
1525793170880,2018-05-08T20:26:10.880,0.434,-0.004,-0.002,0.013
1525793170890,2018-05-08T20:26:10.890,0.444,-0.006,-0.015,0.021
1525793170899,2018-05-08T20:26:10.899,0.453,-0.018,-0.018,0.019
1525793170909,2018-05-08T20:26:10.909,0.463,-0.024,-0.009,0.015
1525793170919,2018-05-08T20:26:10.919,0.473,-0.018,-0.000,0.005
1525793170929,2018-05-08T20:26:10.929,0.483,-0.021,-0.005,-0.006
1525793170938,2018-05-08T20:26:10.938,0.492,-0.028,-0.021,-0.010
1525793170948,2018-05-08T20:26:10.948,0.502,-0.019,-0.030,-0.002
1525793170959,2018-05-08T20:26:10.959,0.513,-0.012,-0.022,0.008
1525793170969,2018-05-08T20:26:10.969,0.523,-0.015,-0.011,0.006
1525793170978,2018-05-08T20:26:10.978,0.532,-0.016,-0.005,0.005
1525793170988,2018-05-08T20:26:10.988,0.542,-0.005,0.008,0.016
1525793170998,2018-05-08T20:26:10.998,0.552,0.007,0.018,0.028
1525793171007,2018-05-08T20:26:11.007,0.561,0.003,0.014,0.023
1525793171017,2018-05-08T20:26:11.017,0.571,0.004,0.025,0.016
1525793171028,2018-05-08T20:26:11.028,0.582,0.012,0.028,0.031
1525793171038,2018-05-08T20:26:11.038,0.592,0.018,0.019,0.045
1525793171047,2018-05-08T20:26:11.047,0.601,0.012,0.014,0.046
1525793171057,2018-05-08T20:26:11.057,0.611,0.010,0.011,0.041
1525793171067,2018-05-08T20:26:11.067,0.621,0.007,-0.001,0.039
1525793171077,2018-05-08T20:26:11.077,0.631,-0.005,-0.009,0.036
1525793171086,2018-05-08T20:26:11.086,0.640,-0.010,-0.004,0.024
1525793171096,2018-05-08T20:26:11.096,0.650,-0.017,-0.001,0.005
1525793171107,2018-05-08T20:26:11.107,0.661,-0.020,-0.002,-0.006
1525793171115,2018-05-08T20:26:11.115,0.669,-0.010,-0.004,-0.007
1525793171126,2018-05-08T20:26:11.126,0.680,-0.013,-0.009,-0.015
1525793171136,2018-05-08T20:26:11.136,0.690,-0.018,-0.002,-0.018
1525793171146,2018-05-08T20:26:11.146,0.700,-0.021,0.001,-0.020
1525793171157,2018-05-08T20:26:11.157,0.711,-0.022,0.002,-0.018
1525793171165,2018-05-08T20:26:11.165,0.719,-0.026,0.007,-0.017
1525793171176,2018-05-08T20:26:11.176,0.730,-0.014,0.006,-0.015
1525793171186,2018-05-08T20:26:11.186,0.740,-0.000,0.011,-0.002
1525793171195,2018-05-08T20:26:11.195,0.749,0.002,0.022,0.002
1525793171205,2018-05-08T20:26:11.205,0.759,0.003,0.024,-0.005
1525793171215,2018-05-08T20:26:11.215,0.769,0.003,0.026,-0.019
1525793171224,2018-05-08T20:26:11.224,0.778,-0.008,0.031,-0.034
1525793171236,2018-05-08T20:26:11.236,0.790,-0.010,0.028,-0.040
1525793171244,2018-05-08T20:26:11.244,0.798,-0.007,0.021,-0.030
1525793171255,2018-05-08T20:26:11.255,0.809,-0.012,0.012,-0.022
1525793171263,2018-05-08T20:26:11.263,0.817,-0.016,0.006,-0.021
1525793171274,2018-05-08T20:26:11.274,0.828,-0.011,0.004,-0.020
1525793171284,2018-05-08T20:26:11.284,0.838,-0.006,0.003,-0.014
1525793171294,2018-05-08T20:26:11.294,0.848,-0.006,0.009,-0.005
1525793171303,2018-05-08T20:26:11.303,0.857,-0.003,0.014,-0.004
1525793171313,2018-05-08T20:26:11.313,0.867,-0.003,0.017,-0.003
1525793171323,2018-05-08T20:26:11.323,0.877,-0.003,0.018,-0.003
1525793171332,2018-05-08T20:26:11.332,0.886,-0.008,0.023,-0.006
