epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1.52579E+12,2018-05-08T20:23:03.548,21.535,0.0000145,-0.000006125,0.000047187
1.52579E+12,2018-05-08T20:23:03.587,21.574,0.0000145,-0.000003937,0.000046
1.52579E+12,2018-05-08T20:23:03.628,21.615,0.00001375,-0.0000025,0.000046812
1.52579E+12,2018-05-08T20:23:03.669,21.656,0.000013437,-0.000003625,0.000048
1.52579E+12,2018-05-08T20:23:03.709,21.696,0.00001525,-0.00000325,0.000047187
1.52579E+12,2018-05-08T20:23:03.750,21.737,0.000017063,-0.00000325,0.00004525
1.52579E+12,2018-05-08T20:23:03.791,21.778,0.000017437,-0.000000688,0.000044875
1.52579E+12,2018-05-08T20:23:03.830,21.817,0.000018875,0.000003688,0.000044
1.52579E+12,2018-05-08T20:23:03.871,21.858,0.000022125,0.00000475,0.000039313
1.52579E+12,2018-05-08T20:23:03.912,21.899,0.00002175,0.0000055,0.000039625
1.52579E+12,2018-05-08T20:23:03.952,21.939,0.0000225,0.000006938,0.000037313
1.52579E+12,2018-05-08T20:23:03.993,21.98,0.0000225,0.000011687,0.000035687
1.52579E+12,2018-05-08T20:23:04.033,22.02,0.00002175,0.000016375,0.000034125
1.52579E+12,2018-05-08T20:23:04.074,22.061,0.000018875,0.000020375,0.000033312
1.52579E+12,2018-05-08T20:23:04.115,22.102,0.000018875,0.000022938,0.00003175
1.52579E+12,2018-05-08T20:23:04.154,22.141,0.00001775,0.000024,0.000031312
1.52579E+12,2018-05-08T20:23:04.195,22.182,0.000016313,0.000022938,0.000033312
1.52579E+12,2018-05-08T20:23:04.236,22.223,0.000016313,0.00002475,0.0000325
1.52579E+12,2018-05-08T20:23:04.276,22.263,0.0000145,0.000026187,0.000030937
1.52579E+12,2018-05-08T20:23:04.317,22.304,0.00001525,0.000026937,0.000030937
1.52579E+12,2018-05-08T20:23:04.358,22.345,0.000015563,0.000026563,0.00002975
1.52579E+12,2018-05-08T20:23:04.397,22.384,0.000014125,0.000029438,0.00002775
1.52579E+12,2018-05-08T20:23:04.438,22.425,0.000010875,0.00003275,0.000025375
1.52579E+12,2018-05-08T20:23:04.478,22.465,0.000002125,0.000038187,0.000021375
1.52579E+12,2018-05-08T20:23:04.519,22.506,-0.0000055,0.000040375,0.000022187
1.52579E+12,2018-05-08T20:23:04.560,22.547,-0.000007688,0.00004075,0.000026187
1.52579E+12,2018-05-08T20:23:04.599,22.586,-0.000007313,0.000038562,0.0000305
1.52579E+12,2018-05-08T20:23:04.640,22.627,-0.000012,0.000037813,0.000035312
1.52579E+12,2018-05-08T20:23:04.681,22.668,-0.0000135,0.000037438,0.000035687
1.52579E+12,2018-05-08T20:23:04.721,22.708,-0.000016,0.000036,0.0000385
1.52579E+12,2018-05-08T20:23:04.762,22.749,-0.000025125,0.000033437,0.000039688
1.52579E+12,2018-05-08T20:23:04.803,22.79,-0.00003275,0.000026563,0.000042875
1.52579E+12,2018-05-08T20:23:04.843,22.83,-0.00004075,0.000021437,0.000041688
