epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52579E+12,2018-05-08T20:23:24.088,42.005,170.732,68.293,-61.707
1.52579E+12,2018-05-08T20:23:24.107,42.024,293.963,-30,-2.012
1.52579E+12,2018-05-08T20:23:24.127,42.044,381.159,-38.415,97.622
1.52579E+12,2018-05-08T20:23:24.146,42.063,297.988,9.878,100.549
1.52579E+12,2018-05-08T20:23:24.167,42.084,225.305,133.232,-1.22
1.52579E+12,2018-05-08T20:23:24.186,42.103,224.39,236.28,-72.744
1.52579E+12,2018-05-08T20:23:24.206,42.123,242.683,152.683,-48.72
1.52579E+12,2018-05-08T20:23:24.225,42.142,268.841,36.098,-22.5
1.52579E+12,2018-05-08T20:23:24.244,42.161,346.463,23.049,-8.841
1.52579E+12,2018-05-08T20:23:24.265,42.182,356.829,72.683,77.012
1.52579E+12,2018-05-08T20:23:24.284,42.201,272.317,113.963,149.878
1.52579E+12,2018-05-08T20:23:24.304,42.221,159.878,156.707,100.793
1.52579E+12,2018-05-08T20:23:24.324,42.241,-5.915,74.207,-37.866
1.52579E+12,2018-05-08T20:23:24.344,42.261,-58.598,37.744,-52.5
1.52579E+12,2018-05-08T20:23:24.363,42.28,-77.805,33.537,39.268
1.52579E+12,2018-05-08T20:23:24.384,42.301,-13.537,56.098,-61.951
1.52579E+12,2018-05-08T20:23:24.403,42.32,89.451,94.939,-79.695
1.52579E+12,2018-05-08T20:23:24.423,42.34,136.829,75.061,-80.366
1.52579E+12,2018-05-08T20:23:24.442,42.359,86.159,56.22,-42.5
1.52579E+12,2018-05-08T20:23:24.463,42.38,71.829,24.695,18.598
1.52579E+12,2018-05-08T20:23:24.482,42.399,88.11,-18.354,34.939
1.52579E+12,2018-05-08T20:23:24.501,42.418,62.439,22.622,-38.963
1.52579E+12,2018-05-08T20:23:24.521,42.438,66.28,15.183,-33.11
1.52579E+12,2018-05-08T20:23:24.540,42.457,43.841,-8.963,-30.366
1.52579E+12,2018-05-08T20:23:24.561,42.478,25.305,-15.366,-60.854
1.52579E+12,2018-05-08T20:23:24.580,42.497,10.854,-18.841,-87.378
1.52579E+12,2018-05-08T20:23:24.600,42.517,30.976,4.451,-134.085
1.52579E+12,2018-05-08T20:23:24.619,42.536,33.171,48.171,-187.378
1.52579E+12,2018-05-08T20:23:24.640,42.557,54.512,77.927,-142.988
1.52579E+12,2018-05-08T20:23:24.659,42.576,80.915,87.744,-51.28
1.52579E+12,2018-05-08T20:23:24.679,42.596,52.744,46.463,-49.634
1.52579E+12,2018-05-08T20:23:24.699,42.616,6.159,-10.061,-93.659
1.52579E+12,2018-05-08T20:23:24.718,42.635,-0.793,-35.366,-72.988
1.52579E+12,2018-05-08T20:23:24.738,42.655,2.378,-70.183,-37.134
1.52579E+12,2018-05-08T20:23:24.757,42.674,13.537,-114.146,3.902
1.52579E+12,2018-05-08T20:23:24.778,42.695,3.963,-120.366,58.354
1.52579E+12,2018-05-08T20:23:24.797,42.714,-11.768,-90.122,69.39
1.52579E+12,2018-05-08T20:23:24.817,42.734,-16.402,-54.268,52.866
1.52579E+12,2018-05-08T20:23:24.836,42.753,-9.268,-37.256,60.61
1.52579E+12,2018-05-08T20:23:24.857,42.774,-2.256,-13.171,30.488
1.52579E+12,2018-05-08T20:23:24.876,42.793,8.415,11.402,-22.012
1.52579E+12,2018-05-08T20:23:24.896,42.813,11.402,14.695,-46.463
1.52579E+12,2018-05-08T20:23:24.915,42.832,-3.72,7.012,-58.659
1.52579E+12,2018-05-08T20:23:24.934,42.851,-22.927,7.195,-89.39
1.52579E+12,2018-05-08T20:23:24.955,42.872,-29.024,12.073,-89.207
1.52579E+12,2018-05-08T20:23:24.974,42.891,-46.951,5.61,-70.061
1.52579E+12,2018-05-08T20:23:24.994,42.911,-65.854,0.366,-61.829
1.52579E+12,2018-05-08T20:23:25.013,42.93,-68.902,0.427,-58.232
1.52579E+12,2018-05-08T20:23:25.034,42.951,-58.78,3.415,-51.707
1.52579E+12,2018-05-08T20:23:25.053,42.97,-56.829,5.061,-41.585
1.52579E+12,2018-05-08T20:23:25.074,42.991,-80,13.72,-58.963
1.52579E+12,2018-05-08T20:23:25.093,43.01,-111.098,7.195,-83.963
1.52579E+12,2018-05-08T20:23:25.113,43.03,-111.159,-19.756,-90.671
1.52579E+12,2018-05-08T20:23:25.132,43.049,-85.488,-21.951,-77.195
1.52579E+12,2018-05-08T20:23:25.151,43.068,-77.195,17.5,-100.183
1.52579E+12,2018-05-08T20:23:25.172,43.089,-84.024,53.476,-124.817
1.52579E+12,2018-05-08T20:23:25.191,43.108,-83.232,61.159,-109.878
1.52579E+12,2018-05-08T20:23:25.211,43.128,-74.146,40.427,-65
1.52579E+12,2018-05-08T20:23:25.230,43.147,-68.72,18.963,-34.939
1.52579E+12,2018-05-08T20:23:25.251,43.168,-66.402,15.244,-10.61
1.52579E+12,2018-05-08T20:23:25.270,43.187,-54.451,17.805,6.341
1.52579E+12,2018-05-08T20:23:25.290,43.207,-35.671,-17.5,12.561
1.52579E+12,2018-05-08T20:23:25.309,43.226,-33.232,-92.378,24.268
1.52579E+12,2018-05-08T20:23:25.330,43.247,-53.537,-173.415,24.695
1.52579E+12,2018-05-08T20:23:25.349,43.266,-119.878,-245.854,62.317
1.52579E+12,2018-05-08T20:23:25.369,43.286,-214.146,-114.024,49.756
1.52579E+12,2018-05-08T20:23:25.388,43.305,-197.195,7.988,-29.817
1.52579E+12,2018-05-08T20:23:25.408,43.325,-143.476,-65.488,-32.256
1.52579E+12,2018-05-08T20:23:25.428,43.345,-101.829,-89.024,-32.988
1.52579E+12,2018-05-08T20:23:25.447,43.364,-92.988,-75,-48.354
1.52579E+12,2018-05-08T20:23:25.468,43.385,-137.439,-42.134,-71.159
1.52579E+12,2018-05-08T20:23:25.487,43.404,-197.073,-13.415,-94.817
1.52579E+12,2018-05-08T20:23:25.507,43.424,-195.549,-33.232,-87.195
1.52579E+12,2018-05-08T20:23:25.526,43.443,-172.866,-51.768,-63.659
1.52579E+12,2018-05-08T20:23:25.547,43.464,-153.049,-58.11,-50.488
1.52579E+12,2018-05-08T20:23:25.566,43.483,-147.012,-62.073,-45.488
1.52579E+12,2018-05-08T20:23:25.586,43.503,-167.805,-60.061,-40.793
1.52579E+12,2018-05-08T20:23:25.605,43.522,-176.22,-54.878,-37.866
1.52579E+12,2018-05-08T20:23:25.624,43.541,-138.293,-42.439,-46.341
1.52579E+12,2018-05-08T20:23:25.645,43.562,-57.195,-51.159,-39.512
1.52579E+12,2018-05-08T20:23:25.664,43.581,31.646,-84.451,18.11
1.52579E+12,2018-05-08T20:23:25.684,43.601,81.22,-9.939,79.756
1.52579E+12,2018-05-08T20:23:25.703,43.62,112.195,67.317,92.134
1.52579E+12,2018-05-08T20:23:25.724,43.641,147.988,51.159,148.049
1.52579E+12,2018-05-08T20:23:25.743,43.66,188.72,10.061,189.512
1.52579E+12,2018-05-08T20:23:25.763,43.68,219.024,40.671,157.988
1.52579E+12,2018-05-08T20:23:25.783,43.7,236.768,64.878,142.988
1.52579E+12,2018-05-08T20:23:25.803,43.72,240,32.378,146.951
1.52579E+12,2018-05-08T20:23:25.822,43.739,229.573,19.573,144.939
1.52579E+12,2018-05-08T20:23:25.841,43.758,228.354,26.037,141.646
1.52579E+12,2018-05-08T20:23:25.862,43.779,213.415,24.878,134.268
1.52579E+12,2018-05-08T20:23:25.881,43.798,185.61,0.244,141.28
1.52579E+12,2018-05-08T20:23:25.901,43.818,174.695,-36.402,175.244
1.52579E+12,2018-05-08T20:23:25.920,43.837,172.073,-41.098,187.683
1.52579E+12,2018-05-08T20:23:25.941,43.858,157.5,-64.085,182.012
1.52579E+12,2018-05-08T20:23:25.960,43.877,109.512,-88.537,191.22
1.52579E+12,2018-05-08T20:23:25.980,43.897,91.707,-96.22,213.11
1.52579E+12,2018-05-08T20:23:25.999,43.916,129.451,-104.085,232.744
1.52579E+12,2018-05-08T20:23:26.020,43.937,167.012,-110.122,248.537
1.52579E+12,2018-05-08T20:23:26.039,43.956,168.354,-103.049,273.963
1.52579E+12,2018-05-08T20:23:26.058,43.975,178.171,-92.317,305.915
1.52579E+12,2018-05-08T20:23:26.078,43.995,227.439,-87.012,341.768
1.52579E+12,2018-05-08T20:23:26.097,44.014,272.988,-91.098,388.78
1.52579E+12,2018-05-08T20:23:26.118,44.035,294.939,-83.049,447.561
1.52579E+12,2018-05-08T20:23:26.137,44.054,333.841,-71.463,512.317
1.52579E+12,2018-05-08T20:23:26.158,44.075,440.427,-42.622,606.951
1.52579E+12,2018-05-08T20:23:26.177,44.094,581.281,71.037,707.378
1.52579E+12,2018-05-08T20:23:26.197,44.114,805.488,171.28,729.573
1.52579E+12,2018-05-08T20:23:26.216,44.133,1043.537,222.866,655.854
1.52579E+12,2018-05-08T20:23:26.237,44.154,1039.329,290.915,467.866
1.52579E+12,2018-05-08T20:23:26.256,44.173,884.329,369.085,252.866
1.52579E+12,2018-05-08T20:23:26.275,44.192,833.598,441.89,102.805
1.52579E+12,2018-05-08T20:23:26.295,44.212,893.232,405.183,-25.061
1.52579E+12,2018-05-08T20:23:26.314,44.231,943.476,304.207,-122.866
1.52579E+12,2018-05-08T20:23:26.335,44.252,908.476,193.659,-177.683
1.52579E+12,2018-05-08T20:23:26.354,44.271,851.281,71.768,-219.329
1.52579E+12,2018-05-08T20:23:26.374,44.291,817.927,-70.488,-188.11
1.52579E+12,2018-05-08T20:23:26.393,44.31,789.451,-234.573,-93.11
1.52579E+12,2018-05-08T20:23:26.414,44.331,720.915,-330.427,-14.939
1.52579E+12,2018-05-08T20:23:26.433,44.35,637.195,-425.061,71.951
1.52579E+12,2018-05-08T20:23:26.453,44.37,575.732,-524.878,154.634
1.52579E+12,2018-05-08T20:23:26.472,44.389,527.927,-673.781,294.39
1.52579E+12,2018-05-08T20:23:26.493,44.41,376.829,-971.951,599.085
1.52579E+12,2018-05-08T20:23:26.512,44.429,54.634,-1215.061,1112.5
1.52579E+12,2018-05-08T20:23:26.531,44.448,-186.585,-358.659,1922.866
1.52579E+12,2018-05-08T20:23:26.552,44.469,1260.061,1496.037,1997.988
1.52579E+12,2018-05-08T20:23:26.571,44.488,1997.988,1796.342,1987.622
1.52579E+12,2018-05-08T20:23:26.591,44.508,1997.988,1512.744,1994.695
1.52579E+12,2018-05-08T20:23:26.610,44.527,1979.329,1434.39,1997.988
1.52579E+12,2018-05-08T20:23:26.631,44.548,1997.988,1349.329,1997.866
1.52579E+12,2018-05-08T20:23:26.650,44.567,1997.988,1239.329,1997.866
1.52579E+12,2018-05-08T20:23:26.670,44.587,1997.561,1126.89,1997.988
1.52579E+12,2018-05-08T20:23:26.689,44.606,1997.988,1009.39,1997.988
1.52579E+12,2018-05-08T20:23:26.710,44.627,1997.988,883.902,1997.988
1.52579E+12,2018-05-08T20:23:26.729,44.646,1997.988,753.841,1997.988
1.52579E+12,2018-05-08T20:23:26.748,44.665,1997.988,618.476,1997.988
1.52579E+12,2018-05-08T20:23:26.768,44.685,1997.988,477.683,1997.988
1.52579E+12,2018-05-08T20:23:26.787,44.704,1997.988,333.11,1997.988
1.52579E+12,2018-05-08T20:23:26.808,44.725,1997.988,183.72,1997.988
1.52579E+12,2018-05-08T20:23:26.827,44.744,1997.988,30.915,1997.988
1.52579E+12,2018-05-08T20:23:26.847,44.764,1997.988,-124.939,1997.988
1.52579E+12,2018-05-08T20:23:26.866,44.783,1997.988,-283.841,1997.988
1.52579E+12,2018-05-08T20:23:26.887,44.804,1997.988,-444.634,1997.988
1.52579E+12,2018-05-08T20:23:26.906,44.823,1997.988,-607.5,1997.988
1.52579E+12,2018-05-08T20:23:26.927,44.844,1997.988,-771.524,1997.988
1.52579E+12,2018-05-08T20:23:26.946,44.863,1997.988,-937.256,1997.988
1.52579E+12,2018-05-08T20:23:26.965,44.882,1997.988,-1103.781,1997.988
1.52579E+12,2018-05-08T20:23:26.985,44.902,1997.988,-1270,1997.988
1.52579E+12,2018-05-08T20:23:27.004,44.921,1997.988,-1437.5,1997.988
1.52579E+12,2018-05-08T20:23:27.025,44.942,1997.988,-1603.598,1997.988
1.52579E+12,2018-05-08T20:23:27.044,44.961,1997.988,-1768.171,1997.988
1.52579E+12,2018-05-08T20:23:27.064,44.981,1997.988,-1930.244,1997.988
1.52579E+12,2018-05-08T20:23:27.083,45,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.104,45.021,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.123,45.04,1997.988,-1996.524,1997.988
1.52579E+12,2018-05-08T20:23:27.143,45.06,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.162,45.079,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.181,45.098,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.202,45.119,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.221,45.138,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.241,45.158,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.261,45.178,1997.988,-1997.988,1997.988
1.52579E+12,2018-05-08T20:23:27.281,45.198,1670.854,-1997.988,1754.024
1.52579E+12,2018-05-08T20:23:27.300,45.217,-1492.988,-1997.988,-922.439
1.52579E+12,2018-05-08T20:23:27.321,45.238,-1997.988,-1997.988,-1712.134
1.52579E+12,2018-05-08T20:23:27.340,45.257,-1958.72,-1997.988,-1346.707
1.52579E+12,2018-05-08T20:23:27.360,45.277,-1979.39,-1997.988,-1333.049
1.52579E+12,2018-05-08T20:23:27.379,45.296,-1997.988,-1997.988,-1328.719
1.52579E+12,2018-05-08T20:23:27.398,45.315,-1997.866,-1997.988,-1292.073
1.52579E+12,2018-05-08T20:23:27.419,45.336,-1997.5,-1997.988,-1260
1.52579E+12,2018-05-08T20:23:27.438,45.355,-1997.988,-1997.988,-1227.5
1.52579E+12,2018-05-08T20:23:27.458,45.375,-1997.988,-1997.988,-1192.988
1.52579E+12,2018-05-08T20:23:27.477,45.394,-1997.988,-1997.988,-1157.256
1.52579E+12,2018-05-08T20:23:27.498,45.415,-1997.988,-1997.988,-1120.305
1.52579E+12,2018-05-08T20:23:27.517,45.434,-1997.988,-1997.988,-1082.317
1.52579E+12,2018-05-08T20:23:27.537,45.454,-1997.988,-1997.988,-1043.293
1.52579E+12,2018-05-08T20:23:27.556,45.473,-1997.988,-1997.988,-1003.476
1.52579E+12,2018-05-08T20:23:27.577,45.494,-1997.988,-1997.988,-963.049
1.52579E+12,2018-05-08T20:23:27.596,45.513,-1997.988,-1997.988,-922.012
1.52579E+12,2018-05-08T20:23:27.616,45.533,-1997.988,-1997.988,-880.488
1.52579E+12,2018-05-08T20:23:27.636,45.553,-1997.988,-1997.988,-838.476
1.52579E+12,2018-05-08T20:23:27.655,45.572,-1997.988,-1997.988,-796.402
1.52579E+12,2018-05-08T20:23:27.675,45.592,-1997.988,-1997.988,-754.146
1.52579E+12,2018-05-08T20:23:27.694,45.611,-1997.988,-1997.988,-711.768
1.52579E+12,2018-05-08T20:23:27.715,45.632,-1997.988,-1997.988,-669.573
1.52579E+12,2018-05-08T20:23:27.734,45.651,-1997.988,-1997.988,-627.744
1.52579E+12,2018-05-08T20:23:27.754,45.671,-1997.988,-1997.988,-586.22
1.52579E+12,2018-05-08T20:23:27.773,45.69,-1997.988,-1997.988,-545.183
1.52579E+12,2018-05-08T20:23:27.794,45.711,-1997.988,-1997.988,-504.756
1.52579E+12,2018-05-08T20:23:27.813,45.73,-1997.988,-1997.988,-465.122
1.52579E+12,2018-05-08T20:23:27.833,45.75,-1997.988,-1997.988,-426.341
1.52579E+12,2018-05-08T20:23:27.852,45.769,-1997.988,-1997.988,-388.415
1.52579E+12,2018-05-08T20:23:27.871,45.788,-1997.988,-1997.988,-498.415
1.52579E+12,2018-05-08T20:23:27.892,45.809,-1653.72,-1909.634,-948.659
1.52579E+12,2018-05-08T20:23:27.911,45.828,-240.671,-438.598,-94.39
1.52579E+12,2018-05-08T20:23:27.931,45.848,-62.378,159.207,86.341
1.52579E+12,2018-05-08T20:23:27.950,45.867,-60.976,55.427,24.146
1.52579E+12,2018-05-08T20:23:27.971,45.888,11.524,45.427,-29.573
1.52579E+12,2018-05-08T20:23:27.990,45.907,-46.585,-9.268,-16.037
1.52579E+12,2018-05-08T20:23:28.011,45.928,17.195,7.927,-13.963
1.52579E+12,2018-05-08T20:23:28.030,45.947,37.5,21.768,6.037
1.52579E+12,2018-05-08T20:23:28.050,45.967,6.28,2.5,-2.439
1.52579E+12,2018-05-08T20:23:28.069,45.986,-31.585,-25,-16.341
1.52579E+12,2018-05-08T20:23:28.088,46.005,-49.573,-45.61,-21.707
1.52579E+12,2018-05-08T20:23:28.109,46.026,-47.5,-47.683,-21.463
1.52579E+12,2018-05-08T20:23:28.128,46.045,-44.39,-41.098,-11.646
1.52579E+12,2018-05-08T20:23:28.148,46.065,-31.768,-37.744,-6.28
1.52579E+12,2018-05-08T20:23:28.167,46.084,-8.598,-51.341,-19.207
1.52579E+12,2018-05-08T20:23:28.188,46.105,-5.732,-64.268,-30.305
1.52579E+12,2018-05-08T20:23:28.207,46.124,-24.695,-60.244,-28.476
1.52579E+12,2018-05-08T20:23:28.227,46.144,-35.793,-55.183,-32.805
1.52579E+12,2018-05-08T20:23:28.246,46.163,-36.646,-55.366,-44.878
1.52579E+12,2018-05-08T20:23:28.267,46.184,-29.024,-54.573,-57.683
1.52579E+12,2018-05-08T20:23:28.286,46.203,-20.976,-50.366,-60.122
1.52579E+12,2018-05-08T20:23:28.305,46.222,-24.573,-47.073,-50.427
1.52579E+12,2018-05-08T20:23:28.325,46.242,-22.622,-45.366,-51.402
1.52579E+12,2018-05-08T20:23:28.345,46.262,-9.573,-39.817,-56.951
1.52579E+12,2018-05-08T20:23:28.365,46.282,2.256,-29.207,-57.5
1.52579E+12,2018-05-08T20:23:28.384,46.301,6.037,-22.256,-53.659
1.52579E+12,2018-05-08T20:23:28.405,46.322,5.061,-23.415,-48.476
1.52579E+12,2018-05-08T20:23:28.424,46.341,9.695,-27.073,-45.366
1.52579E+12,2018-05-08T20:23:28.444,46.361,16.707,-23.537,-36.646
1.52579E+12,2018-05-08T20:23:28.463,46.38,18.049,-10.305,-17.5
1.52579E+12,2018-05-08T20:23:28.484,46.401,22.805,4.268,7.988
1.52579E+12,2018-05-08T20:23:28.503,46.42,29.146,14.939,27.561
1.52579E+12,2018-05-08T20:23:28.523,46.44,36.646,24.146,38.415
1.52579E+12,2018-05-08T20:23:28.542,46.459,47.134,24.756,42.805
1.52579E+12,2018-05-08T20:23:28.561,46.478,54.207,22.561,50
1.52579E+12,2018-05-08T20:23:28.582,46.499,49.756,29.695,60.244
1.52579E+12,2018-05-08T20:23:28.601,46.518,42.927,40.366,65.976
1.52579E+12,2018-05-08T20:23:28.621,46.538,39.695,43.72,69.878
1.52579E+12,2018-05-08T20:23:28.640,46.557,40.305,31.951,71.829
1.52579E+12,2018-05-08T20:23:28.661,46.578,44.39,14.817,65.915
1.52579E+12,2018-05-08T20:23:28.680,46.597,40.854,8.11,59.756
1.52579E+12,2018-05-08T20:23:28.700,46.617,30.854,9.39,56.402
1.52579E+12,2018-05-08T20:23:28.720,46.637,27.622,11.951,52.378
1.52579E+12,2018-05-08T20:23:28.740,46.657,28.537,14.39,47.378
1.52579E+12,2018-05-08T20:23:28.759,46.676,27.988,11.829,40.427
1.52579E+12,2018-05-08T20:23:28.778,46.695,20.854,4.939,34.817
1.52579E+12,2018-05-08T20:23:28.799,46.716,9.512,-1.28,30.976
1.52579E+12,2018-05-08T20:23:28.818,46.735,1.524,-5.793,32.561
1.52579E+12,2018-05-08T20:23:28.838,46.755,-4.024,-10.366,37.622
1.52579E+12,2018-05-08T20:23:28.857,46.774,-9.085,-16.463,41.402
1.52579E+12,2018-05-08T20:23:28.878,46.795,-10,-23.537,48.049
1.52579E+12,2018-05-08T20:23:28.897,46.814,-3.841,-29.085,64.512
1.52579E+12,2018-05-08T20:23:28.917,46.834,2.195,-28.049,72.744
1.52579E+12,2018-05-08T20:23:28.936,46.853,-0.549,-23.11,70.915
1.52579E+12,2018-05-08T20:23:28.957,46.874,-6.524,-18.171,68.841
1.52579E+12,2018-05-08T20:23:28.976,46.893,-9.939,-14.878,66.829
1.52579E+12,2018-05-08T20:23:28.995,46.912,-11.524,-8.293,64.695
1.52579E+12,2018-05-08T20:23:29.015,46.932,-10.854,-1.768,61.22
1.52579E+12,2018-05-08T20:23:29.034,46.951,-3.78,1.768,51.768
1.52579E+12,2018-05-08T20:23:29.055,46.972,2.866,7.378,39.756
1.52579E+12,2018-05-08T20:23:29.074,46.991,1.951,16.707,32.317
