epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52579E+12,2018-05-08T20:23:45.139,63.037,0.63,0.109,0.715
1.52579E+12,2018-05-08T20:23:45.159,63.057,0.636,0.111,0.721
1.52579E+12,2018-05-08T20:23:45.178,63.076,0.636,0.121,0.714
1.52579E+12,2018-05-08T20:23:45.198,63.096,0.645,0.12,0.719
1.52579E+12,2018-05-08T20:23:45.218,63.116,0.648,0.111,0.718
1.52579E+12,2018-05-08T20:23:45.237,63.135,0.658,0.116,0.716
1.52579E+12,2018-05-08T20:23:45.258,63.156,0.662,0.117,0.736
1.52579E+12,2018-05-08T20:23:45.277,63.175,0.656,0.127,0.738
1.52579E+12,2018-05-08T20:23:45.297,63.195,0.658,0.136,0.731
1.52579E+12,2018-05-08T20:23:45.316,63.214,0.663,0.133,0.717
1.52579E+12,2018-05-08T20:23:45.337,63.235,0.666,0.139,0.7
1.52579E+12,2018-05-08T20:23:45.356,63.254,0.66,0.138,0.687
1.52579E+12,2018-05-08T20:23:45.376,63.274,0.658,0.138,0.697
1.52579E+12,2018-05-08T20:23:45.395,63.293,0.659,0.129,0.7
1.52579E+12,2018-05-08T20:23:45.414,63.312,0.653,0.128,0.689
1.52579E+12,2018-05-08T20:23:45.435,63.333,0.66,0.13,0.692
1.52579E+12,2018-05-08T20:23:45.454,63.352,0.653,0.138,0.678
1.52579E+12,2018-05-08T20:23:45.474,63.372,0.661,0.131,0.703
1.52579E+12,2018-05-08T20:23:45.493,63.391,0.65,0.134,0.697
1.52579E+12,2018-05-08T20:23:45.514,63.412,0.647,0.143,0.686
1.52579E+12,2018-05-08T20:23:45.533,63.431,0.65,0.139,0.679
1.52579E+12,2018-05-08T20:23:45.553,63.451,0.652,0.133,0.684
1.52579E+12,2018-05-08T20:23:45.573,63.471,0.667,0.126,0.685
1.52579E+12,2018-05-08T20:23:45.593,63.491,0.674,0.128,0.682
1.52579E+12,2018-05-08T20:23:45.612,63.51,0.671,0.119,0.685
1.52579E+12,2018-05-08T20:23:45.631,63.529,0.672,0.109,0.672
1.52579E+12,2018-05-08T20:23:45.652,63.55,0.674,0.131,0.671
1.52579E+12,2018-05-08T20:23:45.671,63.569,0.673,0.127,0.672
1.52579E+12,2018-05-08T20:23:45.691,63.589,0.659,0.12,0.69
1.52579E+12,2018-05-08T20:23:45.710,63.608,0.675,0.119,0.685
1.52579E+12,2018-05-08T20:23:45.731,63.629,0.68,0.136,0.689
1.52579E+12,2018-05-08T20:23:45.750,63.648,0.67,0.143,0.7
1.52579E+12,2018-05-08T20:23:45.770,63.668,0.672,0.143,0.727
1.52579E+12,2018-05-08T20:23:45.789,63.687,0.661,0.138,0.757
1.52579E+12,2018-05-08T20:23:45.810,63.708,0.644,0.162,0.771
1.52579E+12,2018-05-08T20:23:45.829,63.727,0.64,0.166,0.781
1.52579E+12,2018-05-08T20:23:45.849,63.747,0.631,0.172,0.778
1.52579E+12,2018-05-08T20:23:45.868,63.766,0.62,0.174,0.778
1.52579E+12,2018-05-08T20:23:45.887,63.785,0.617,0.179,0.78
1.52579E+12,2018-05-08T20:23:45.908,63.806,0.606,0.176,0.776
1.52579E+12,2018-05-08T20:23:45.927,63.825,0.604,0.196,0.754
1.52579E+12,2018-05-08T20:23:45.948,63.846,0.626,0.208,0.75
1.52579E+12,2018-05-08T20:23:45.967,63.865,0.612,0.215,0.768
1.52579E+12,2018-05-08T20:23:45.987,63.885,0.605,0.221,0.764
1.52579E+12,2018-05-08T20:23:46.006,63.904,0.62,0.26,0.727
1.52579E+12,2018-05-08T20:23:46.027,63.925,0.61,0.264,0.713
