epoch (ms),time (10:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1525792962102,2018-05-08T20:22:42.102,0.000,-0.118,-0.148,-0.996
1525792962123,2018-05-08T20:22:42.123,0.021,-0.120,-0.150,-1.004
1525792962142,2018-05-08T20:22:42.142,0.040,-0.111,-0.149,-1.003
1525792962162,2018-05-08T20:22:42.162,0.060,-0.105,-0.148,-1.008
1525792962181,2018-05-08T20:22:42.181,0.079,-0.102,-0.146,-1.019
1525792962200,2018-05-08T20:22:42.200,0.098,-0.101,-0.142,-1.022
1525792962221,2018-05-08T20:22:42.221,0.119,-0.103,-0.142,-1.017
1525792962240,2018-05-08T20:22:42.240,0.138,-0.112,-0.144,-1.008
1525792962261,2018-05-08T20:22:42.261,0.159,-0.116,-0.143,-1.007
1525792962280,2018-05-08T20:22:42.280,0.178,-0.112,-0.142,-1.015
1525792962300,2018-05-08T20:22:42.300,0.198,-0.108,-0.140,-1.018
1525792962319,2018-05-08T20:22:42.319,0.217,-0.111,-0.140,-1.018
1525792962340,2018-05-08T20:22:42.340,0.238,-0.122,-0.142,-1.017
1525792962359,2018-05-08T20:22:42.359,0.257,-0.120,-0.143,-1.016
1525792962379,2018-05-08T20:22:42.379,0.277,-0.108,-0.145,-1.015
1525792962398,2018-05-08T20:22:42.398,0.296,-0.106,-0.145,-1.014
1525792962417,2018-05-08T20:22:42.417,0.315,-0.116,-0.142,-1.011
1525792962438,2018-05-08T20:22:42.438,0.336,-0.119,-0.143,-1.006
1525792962457,2018-05-08T20:22:42.457,0.355,-0.115,-0.144,-1.016
1525792962477,2018-05-08T20:22:42.477,0.375,-0.109,-0.144,-1.023
1525792962496,2018-05-08T20:22:42.496,0.394,-0.110,-0.146,-1.018
1525792962517,2018-05-08T20:22:42.517,0.415,-0.112,-0.151,-1.007
1525792962536,2018-05-08T20:22:42.536,0.434,-0.119,-0.148,-0.995
1525792962556,2018-05-08T20:22:42.556,0.454,-0.123,-0.146,-0.986
1525792962575,2018-05-08T20:22:42.575,0.473,-0.123,-0.146,-0.988
1525792962596,2018-05-08T20:22:42.596,0.494,-0.116,-0.149,-0.995
1525792962615,2018-05-08T20:22:42.615,0.513,-0.106,-0.151,-1.003
1525792962634,2018-05-08T20:22:42.634,0.532,-0.105,-0.156,-1.000
1525792962655,2018-05-08T20:22:42.655,0.553,-0.110,-0.153,-1.000
1525792962674,2018-05-08T20:22:42.674,0.572,-0.109,-0.150,-1.006
1525792962694,2018-05-08T20:22:42.694,0.592,-0.102,-0.149,-1.020
1525792962713,2018-05-08T20:22:42.713,0.611,-0.104,-0.149,-1.023
1525792962734,2018-05-08T20:22:42.734,0.632,-0.111,-0.151,-1.020
1525792962753,2018-05-08T20:22:42.753,0.651,-0.113,-0.154,-1.012
1525792962773,2018-05-08T20:22:42.773,0.671,-0.111,-0.156,-1.000
1525792962792,2018-05-08T20:22:42.792,0.690,-0.116,-0.152,-0.993
1525792962813,2018-05-08T20:22:42.813,0.711,-0.125,-0.146,-0.997
1525792962832,2018-05-08T20:22:42.832,0.730,-0.116,-0.147,-1.000
