epoch (ms),time (10:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1525792962083,2018-05-08T20:22:42.083,0.000,-0.854,-0.610,1.402
1525792962102,2018-05-08T20:22:42.102,0.019,-0.732,-0.549,0.976
1525792962123,2018-05-08T20:22:42.123,0.040,-0.244,0.915,0.366
1525792962142,2018-05-08T20:22:42.142,0.059,-0.610,2.378,-0.488
1525792962162,2018-05-08T20:22:42.162,0.079,-1.585,1.646,-0.915
1525792962181,2018-05-08T20:22:42.181,0.098,-1.829,0.366,-0.305
1525792962200,2018-05-08T20:22:42.200,0.117,-1.220,0.671,0.610
1525792962221,2018-05-08T20:22:42.221,0.138,-0.061,0.549,2.073
1525792962240,2018-05-08T20:22:42.240,0.157,0.305,0.122,3.415
1525792962261,2018-05-08T20:22:42.261,0.178,0.122,1.159,2.561
1525792962280,2018-05-08T20:22:42.280,0.197,-0.244,3.049,1.341
1525792962300,2018-05-08T20:22:42.300,0.217,-0.427,2.561,1.341
1525792962319,2018-05-08T20:22:42.319,0.236,-0.244,0.366,2.500
1525792962340,2018-05-08T20:22:42.340,0.257,0.488,-0.671,2.805
1525792962359,2018-05-08T20:22:42.359,0.276,0.732,1.585,1.280
1525792962379,2018-05-08T20:22:42.379,0.296,0.427,2.988,0.244
1525792962398,2018-05-08T20:22:42.398,0.315,0.671,0.854,1.220
1525792962417,2018-05-08T20:22:42.417,0.334,1.220,-1.280,2.012
1525792962438,2018-05-08T20:22:42.438,0.355,1.402,-0.061,1.098
1525792962457,2018-05-08T20:22:42.457,0.374,0.671,1.463,-0.488
1525792962477,2018-05-08T20:22:42.477,0.394,1.037,0.671,-0.915
1525792962496,2018-05-08T20:22:42.496,0.413,1.890,0.122,0.061
1525792962517,2018-05-08T20:22:42.517,0.434,2.622,0.000,1.463
1525792962536,2018-05-08T20:22:42.536,0.453,2.439,-1.037,1.768
1525792962556,2018-05-08T20:22:42.556,0.473,1.585,-1.768,0.610
1525792962575,2018-05-08T20:22:42.575,0.492,0.671,-0.610,-0.732
1525792962596,2018-05-08T20:22:42.596,0.513,-0.122,1.280,-1.951
1525792962615,2018-05-08T20:22:42.615,0.532,-0.366,0.854,-1.829
1525792962636,2018-05-08T20:22:42.636,0.553,-0.244,-0.976,-0.427
1525792962655,2018-05-08T20:22:42.655,0.572,-0.549,-1.707,0.122
1525792962674,2018-05-08T20:22:42.674,0.591,-1.402,-0.305,-0.854
