epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1525792962013,2018-05-08T20:22:42.013,0.000,0.000013063,0.000005813,0.000051500
1525792962053,2018-05-08T20:22:42.053,0.040,0.000014875,0.000004375,0.000051937
1525792962094,2018-05-08T20:22:42.094,0.081,0.000014125,0.000004750,0.000051125
1525792962133,2018-05-08T20:22:42.133,0.120,0.000015563,0.000004750,0.000051937
1525792962174,2018-05-08T20:22:42.174,0.161,0.000014125,0.000005500,0.000051875
1525792962215,2018-05-08T20:22:42.215,0.202,0.000014125,0.000003688,0.000051875
1525792962255,2018-05-08T20:22:42.255,0.242,0.000014500,0.000003312,0.000051125
1525792962296,2018-05-08T20:22:42.296,0.283,0.000014125,0.000004000,0.000051125
1525792962337,2018-05-08T20:22:42.337,0.324,0.000014875,0.000003688,0.000051562
1525792962376,2018-05-08T20:22:42.376,0.363,0.000015250,0.000003312,0.000052688
1525792962417,2018-05-08T20:22:42.417,0.404,0.000014125,0.000004375,0.000053125
1525792962457,2018-05-08T20:22:42.457,0.444,0.000014875,0.000004375,0.000051937
1525792962498,2018-05-08T20:22:42.498,0.485,0.000014500,0.000004375,0.000051125
1525792962539,2018-05-08T20:22:42.539,0.526,0.000014125,0.000004750,0.000051562
1525792962578,2018-05-08T20:22:42.578,0.565,0.000014125,0.000004750,0.000051125
1525792962619,2018-05-08T20:22:42.619,0.606,0.000013750,0.000005500,0.000052313
1525792962660,2018-05-08T20:22:42.660,0.647,0.000014875,0.000004750,0.000051562
1525792962700,2018-05-08T20:22:42.700,0.687,0.000013750,0.000004375,0.000051500
1525792962741,2018-05-08T20:22:42.741,0.728,0.000014125,0.000004375,0.000051562
1525792962782,2018-05-08T20:22:42.782,0.769,0.000014500,0.000005125,0.000052313
1525792962822,2018-05-08T20:22:42.822,0.809,0.000014125,0.000005125,0.000051937
1525792962863,2018-05-08T20:22:42.863,0.850,0.000013437,0.000005125,0.000051125
1525792962904,2018-05-08T20:22:42.904,0.891,0.000014125,0.000004000,0.000051500
1525792962943,2018-05-08T20:22:42.943,0.930,0.000014125,0.000005500,0.000052313
1525792962984,2018-05-08T20:22:42.984,0.971,0.000015250,0.000004750,0.000051562
1525792963024,2018-05-08T20:22:43.024,1.011,0.000014125,0.000005125,0.000051937
1525792963065,2018-05-08T20:22:43.065,1.052,0.000014500,0.000004375,0.000052375
1525792963106,2018-05-08T20:22:43.106,1.093,0.000014125,0.000004750,0.000051562
1525792963145,2018-05-08T20:22:43.145,1.132,0.000013750,0.000005125,0.000053125
1525792963186,2018-05-08T20:22:43.186,1.173,0.000014500,0.000005125,0.000052750
1525792963227,2018-05-08T20:22:43.227,1.214,0.000014875,0.000004375,0.000051937
1525792963267,2018-05-08T20:22:43.267,1.254,0.000014875,0.000004750,0.000052375
1525792963308,2018-05-08T20:22:43.308,1.295,0.000014125,0.000004375,0.000052750
1525792963349,2018-05-08T20:22:43.349,1.336,0.000013750,0.000004375,0.000052688
1525792963388,2018-05-08T20:22:43.388,1.375,0.000014875,0.000005125,0.000049937
1525792963429,2018-05-08T20:22:43.429,1.416,0.000015250,0.000004000,0.000051125
1525792963469,2018-05-08T20:22:43.469,1.456,0.000014875,0.000005125,0.000051562
1525792963510,2018-05-08T20:22:43.510,1.497,0.000014875,0.000004375,0.000051188
1525792963551,2018-05-08T20:22:43.551,1.538,0.000014500,0.000005813,0.000051562
1525792963591,2018-05-08T20:22:43.591,1.578,0.000014125,0.000004750,0.000050750
1525792963632,2018-05-08T20:22:43.632,1.619,0.000013750,0.000004750,0.000051562
1525792963673,2018-05-08T20:22:43.673,1.660,0.000015563,0.000004750,0.000052750
1525792963712,2018-05-08T20:22:43.712,1.699,0.000014875,0.000005500,0.000051937
1525792963753,2018-05-08T20:22:43.753,1.740,0.000014875,0.000005125,0.000051125
1525792963794,2018-05-08T20:22:43.794,1.781,0.000015250,0.000004000,0.000051500
1525792963834,2018-05-08T20:22:43.834,1.821,0.000014875,0.000005125,0.000052688
1525792963875,2018-05-08T20:22:43.875,1.862,0.000015563,0.000003688,0.000051937
1525792963916,2018-05-08T20:22:43.916,1.903,0.000014500,0.000004750,0.000051562
1525792963955,2018-05-08T20:22:43.955,1.942,0.000014500,0.000004000,0.000051937
1525792963996,2018-05-08T20:22:43.996,1.983,0.000015563,0.000005125,0.000051125
1525792964036,2018-05-08T20:22:44.036,2.023,0.000014125,0.000005125,0.000051562
1525792964077,2018-05-08T20:22:44.077,2.064,0.000014125,0.000004375,0.000051125
1525792964118,2018-05-08T20:22:44.118,2.105,0.000014875,0.000005875,0.000051562
1525792964158,2018-05-08T20:22:44.158,2.145,0.000014875,0.000004750,0.000051562
1525792964199,2018-05-08T20:22:44.199,2.186,0.000014500,0.000005500,0.000051562
1525792964240,2018-05-08T20:22:44.240,2.227,0.000013437,0.000006938,0.000051937
1525792964279,2018-05-08T20:22:44.279,2.266,0.000014500,0.000004375,0.000051125
1525792964320,2018-05-08T20:22:44.320,2.307,0.000014875,0.000004750,0.000053125
1525792964361,2018-05-08T20:22:44.361,2.348,0.000014500,0.000005500,0.000050750
1525792964401,2018-05-08T20:22:44.401,2.388,0.000014500,0.000005500,0.000050750
1525792964442,2018-05-08T20:22:44.442,2.429,0.000014125,0.000005125,0.000051125
1525792964481,2018-05-08T20:22:44.481,2.468,0.000014875,0.000005125,0.000051937
1525792964522,2018-05-08T20:22:44.522,2.509,0.000015250,0.000004375,0.000052000
1525792964563,2018-05-08T20:22:44.563,2.550,0.000014500,0.000005813,0.000049937
1525792964603,2018-05-08T20:22:44.603,2.590,0.000014125,0.000004750,0.000051125
1525792964644,2018-05-08T20:22:44.644,2.631,0.000015250,0.000005875,0.000051937
1525792964685,2018-05-08T20:22:44.685,2.672,0.000014875,0.000005500,0.000051188
1525792964724,2018-05-08T20:22:44.724,2.711,0.000014500,0.000005500,0.000050375
1525792964765,2018-05-08T20:22:44.765,2.752,0.000014125,0.000006187,0.000050750
1525792964806,2018-05-08T20:22:44.806,2.793,0.000015250,0.000005875,0.000050813
1525792964846,2018-05-08T20:22:44.846,2.833,0.000013063,0.000005500,0.000051125
